EASER first step (shit)
topK[0, 300], l2_norm[1e-5, 1e-3], normalize_matrix[True,False]
 best: acc 0.01170665302844289 and parameters: {'topK': 299, 'l2_norm': 0.0009887174278351996, 'normalize_matrix': False}
trialid,accuracy,topK,l2_norm,normalize_matrix
0,0.005028639184003362,183,0.0008421010440557302,True
1,0.01052415033768596,151,0.0005883985094122984,False
2,0.005108192631447135,175,0.0009745516566961865,True
3,0.009839969352681222,214,0.00014500783085973106,False
4,0.00864311221620824,27,0.00015723782182790685,False
5,0.005816483222986803,26,0.0006675276551699516,True
6,0.005826847362396154,30,0.000757621586609652,True
7,0.010039012849192194,232,0.00028466064619324263,False
8,0.004856359931948792,196,0.0006728408735912954,True
9,0.010984633805144531,220,0.0007894568498640435,False
10,0.010568939865439211,294,0.00043300592270163166,False
11,0.010500745612140655,292,0.00042529833791331615,False
12,0.010677779955881142,300,0.000467786632800102,False
13,0.01044857685214776,253,0.00050485262515458,False
14,0.010834473064556416,105,0.0008560780924551024,False
15,0.010648611776861055,92,0.0009496804115997814,False
16,0.01064664296146242,84,0.00085245449419834,False
17,0.010591434882656348,109,0.0007816926015702141,False
18,0.011212316176766856,141,0.0009756864345091626,False
19,0.01100275206062293,135,0.0009908936173327453,False
20,0.011111460370650743,139,0.000999555431486166,False
21,0.010945530781791427,137,0.0009937223312165627,False
22,0.011234666180396483,141,0.0009994071705781544,False
23,0.010839089291478376,63,0.0009074695123662178,False
24,0.01108815193562173,126,0.0009135715842807509,False
25,0.011148896412373113,160,0.0009968625217970275,False
26,0.005074657465215638,171,0.0008923835374129784,True
27,0.011052530827642721,156,0.0009052292660643912,False
28,0.010728496169458082,72,0.0008102796539095605,False
29,0.004992021533921666,199,0.0008497513872575358,True
30,0.011032844768472973,169,0.0009256452289207175,False
31,0.010977357871114523,117,0.0009645049522273719,False
32,0.011230563270738795,153,0.000994775376059995,False
33,0.011185587151200474,157,0.000997486179470506,False
34,0.01119901202815779,195,0.0009297865496040254,False
35,0.010994869328270773,181,0.0009300398888421155,False
36,0.004930639576912101,191,0.0007389862097805654,True
37,0.011130287380311953,249,0.0008581283915571204,False
38,0.010833720590917284,143,0.000722379546037748,False
39,0.005582885116891415,56,0.0008214192464642655,True
40,0.01128726064604221,228,0.0009443622064037114,False
41,0.011332215682015003,207,0.0009381854168987096,False
42,0.011355750365821057,215,0.0008867685451235878,False
43,0.011095133746067257,237,0.0008746391271942304,False
44,0.011469701203766709,278,0.0009478383111439921,False
45,0.011190598986346606,281,0.0008206321730505268,False
46,0.011256988970075264,258,0.0008848257834078541,False
47,0.004562125799467543,265,0.0006892840337518187,True
48,0.011122340785434162,212,0.0007681845207299293,False
49,0.010931699775932632,275,0.0006153318296988478,False
50,0.011132394618754702,229,0.000868842998147641,False
51,0.011217935182594303,249,0.000946738936894202,False
52,0.011420194861691985,211,0.0009473524505657984,False
53,0.011321731374597657,210,0.0008914913460643658,False
54,0.01136961453935016,215,0.0009467803925827274,False
55,0.011190265784640533,211,0.0008202856170982108,False
56,0.01131019237038798,209,0.0008973646022474671,False
57,0.01091324001583726,241,0.0007854135206667348,False
58,0.011201756631775113,225,0.0009578280936399994,False
59,0.011043984058611352,182,0.0008570946152181888,False
60,0.004918696986479044,201,0.0009282387273248118,True
61,0.011379734269134727,216,0.0008886208833580963,False
62,0.011363459279999096,214,0.0008937842017959444,False
63,0.011361243767884126,220,0.0009499560813578359,False
64,0.011238096616531528,241,0.000961860306453348,False
65,0.011169620570999987,218,0.0008409999240255351,False
66,0.011112507452046918,189,0.0008990030542524083,False
67,0.011499386070461814,274,0.0009657376533467942,False
68,0.011557281412772721,283,0.000964466098969491,False
69,0.011634046402538883,286,0.0009742879538835439,False
70,0.01162294509579466,288,0.0009713115432546341,False
71,0.011638828667743233,287,0.0009728173537085977,False
72,0.011601494583043189,286,0.0009693689755425277,False
73,0.01158315267332321,291,0.0009649249136508737,False
74,0.011644909589477899,300,0.000979989868774584,False
75,0.01170665302844289,299,0.0009887174278351996,False
76,0.01161559353869306,291,0.000982111453042702,False
77,0.01164568849346116,300,0.0009805514014410927,False
78,0.004543294364268984,300,0.0009848376329297057,True
79,0.01151438643365869,290,0.0009130818710309177,False
