EASER no processing
topK[1000,20000], l2_norm[100,1000]
best: topK=16354, l2_norm=100.66668137437608, accuracy=0.08491534217440083
trial,topK,l2_norm,accuracy
0,4395,221.58455585842734,0.0832684106929457
1,18566,832.2022354203408,0.0779573314435378
2,12441,359.54618241607767,0.08227029281096075
3,9966,446.988784485021,0.08097630788582279
4,15214,293.8415605354241,0.0830031526133503
5,18163,872.673896043889,0.07770613052419574
6,13288,747.6123483332464,0.0783867325490052
7,6253,537.0004946302749,0.0799902976095393
8,2488,639.4375450178024,0.07945216473702993
9,10133,170.8194083242736,0.08403318585963315
10,8347,109.90975192701632,0.08400307323763007
11,8088,105.51511453359979,0.08392126762451552
12,9364,101.5895678510692,0.08410731939823672
13,10757,235.58410270511,0.08333087613480739
14,15238,357.43074409972905,0.08229698963372285
15,6392,168.03628465826756,0.08359344278640876
16,10822,999.5312260549849,0.07668387386001717
17,1392,219.23233374305283,0.08445889068802116
18,1205,284.5724391233272,0.08347090670739478
19,4330,444.99832025471915,0.08090378112773161
20,3842,110.66652129805908,0.08377699415451592
21,7991,197.31734631981195,0.0834697419810218
22,13047,169.58503623074694,0.08417383631452795
23,16075,277.48129561621204,0.08317621876100742
24,12973,176.1265747155045,0.08400798377531371
25,16751,103.6338117955496,0.0849024027880019
26,16824,339.66972550984764,0.08256375320806388
27,19794,240.9811469694675,0.08364185384693118
28,14006,170.34177020720267,0.0842609662392994
29,17667,215.77991362078012,0.08387272888994296
30,15157,246.54093535698738,0.08343614606793566
31,13855,170.49816880755807,0.08424560306027758
32,14033,157.66599106822363,0.08440737159959699
33,11819,288.8191256690122,0.08289049428681522
34,14386,134.66660049394127,0.08463230198962135
35,19653,316.6854921661477,0.08280241280806087
36,16855,231.28230495418762,0.08369337192084604
37,11760,382.6519525501116,0.08196819547195949
38,17919,145.65969950949244,0.08467553624668495
39,18673,266.48805740238913,0.08333172704294006
40,18509,140.49887114493487,0.08463955065037844
41,18739,135.5213566157409,0.08468567294383837
42,18698,134.88115343769945,0.0846797800040931
43,18897,142.66700962301775,0.08459159988137188
44,17703,105.03632877842406,0.08487021599692844
45,17554,205.74316655119304,0.08391646126005471
46,16225,102.51264840501793,0.0848777642020969
47,16354,100.66668137437608,0.08491534217440083
