Trial,SLIM_w_group_0,RP3b_w_group_0,ItemKNN_w_group_0,SLIM_w_group_1,RP3b_w_group_1,ItemKNN_w_group_1,SLIM_w_group_2,RP3b_w_group_2,ItemKNN_w_group_2,SLIM_w_group_3,RP3b_w_group_3,ItemKNN_w_group_3,SLIM_w_group_4,RP3b_w_group_4,ItemKNN_w_group_4,SLIM_w_group_5,RP3b_w_group_5,ItemKNN_w_group_5,SLIM_w_group_6,RP3b_w_group_6,ItemKNN_w_group_6,SLIM_w_group_7,RP3b_w_group_7,ItemKNN_w_group_7,SLIM_w_group_8,RP3b_w_group_8,ItemKNN_w_group_8,SLIM_w_group_9,RP3b_w_group_9,ItemKNN_w_group_9,Accuracy_val,Accuracy_test
0,0.05830564050212278,0.2648618294226514,0.6768325300752258,0.7754504475943595,0.1856685614193596,0.03888099098628081,0.10665603215394204,0.04104445606176558,0.8522995117842924,0.04297111627543843,0.26325991905574,0.6937689646688215,0.40913793228420137,0.06918735052510433,0.5216747171906944,0.028554613384889013,0.8790447167788793,0.09240066983623159,0.004162908520962464,0.2775449939777732,0.7182920975012643,0.08166097150908933,0.49094529951394655,0.42739372897696415,0.6334206482844551,0.06893018358429899,0.297649168131246,0.8014823188959089,0.0599370850457893,0.1385805960583018,0.07593510784759508,0.09540946978010595
1,0.7548941133399655,0.04516846576718156,0.19993742089285307,0.0822274680984453,0.2713801320860511,0.6463923998155036,0.10754619567109967,0.02056753917021707,0.8718862651586833,0.38188538549755086,0.09664830708707027,0.5214663074153789,0.9287427901250803,0.05843684776321526,0.012820362111704342,0.05497739411945283,0.03376001302332656,0.9112625928572207,0.5786075595665077,0.3156987623347156,0.1056936780987768,0.5377479141658671,0.2687775622409831,0.19347452359314973,0.05882488267353452,0.3427933741527532,0.5983817431737124,0.3773037386256778,0.5523252492741988,0.07037101210012348,0.07703375429436336,0.09660032647537133
2,0.1588303980923061,0.7053182150225422,0.1358513868851516,0.1196021801377582,0.14913107232267728,0.7312667475395646,0.4434219886028083,0.2602455980847139,0.29633241331247784,0.13092472580875958,0.6800619523438927,0.18901332184734784,0.4761323645604218,0.35944191669549147,0.1644257187440867,0.19489883648640963,0.5512186398349534,0.2538825236786368,0.4827511660651087,0.0902141179057725,0.42703471602911885,0.2033513694886212,0.2630166216136661,0.5336320088977127,0.021760312908035775,0.2702082539213651,0.7080314331705991,0.3801986642670289,0.44208521380778215,0.1777161219251887,0.07757790166097701,0.09718970633995402
3,0.5314199138871719,0.1390581904458586,0.3295218956669694,0.1742037461195416,0.47148845579406823,0.35430779808639024,0.4482372987329814,0.004180197794148525,0.5475825034728701,0.16592117182999058,0.1950347197186766,0.6390441084513329,0.19991797872835607,0.08344301130428099,0.716639009967363,0.025978282861178884,0.02517437686098978,0.9488473402778314,0.5959801884406455,0.22653855573163165,0.1774812558277229,0.13206129897645869,0.760437724398894,0.10750097662464728,0.011351596417025257,0.5383592935824721,0.4502891100005025,0.1355134390945976,0.0030916439408544866,0.8613949169645478,0.07597525617182897,0.09427136922988041
4,0.08757017000023823,0.8663955675507744,0.04603426244898732,0.453962316722712,0.2624893590990603,0.2835483241782278,0.3629931020239715,0.5686338756592515,0.06837302231677708,0.6096534436171764,0.12733496501391492,0.2630115913689085,0.4064683860907617,0.09367534357656086,0.4998562703326775,0.020188533474180963,0.4419212225808805,0.5378902439449385,0.46892511722876973,0.06180003123828569,0.46927485153294457,0.6855421979969915,0.1507677018847913,0.16369010011821739,0.8189418768570932,0.060927977019714634,0.12013014612319214,0.7869324370191488,0.032015373174863006,0.18105218980598803,0.07751198642829661,0.09833458482498661
5,0.7790604353381755,0.1945757225871122,0.0263638420747122,0.08965796662224389,0.17299785468415843,0.7373441786935977,0.3816629943246196,0.44779290327025695,0.17054410240512327,0.20251880734932176,0.09804432725167929,0.699436865398999,0.3734259012034212,0.27109748237867975,0.355476616417899,0.4057849170917842,0.38918901016696583,0.20502607274125004,0.31957897645656486,0.03771628069679396,0.6427047428466411,0.4963397128702284,0.09198619584650426,0.4116740912832674,0.22833625405586613,0.4059365811504211,0.3657271647937128,0.652285495230671,0.24435458686492725,0.10335991790440179,0.07807533166146403,0.09762145857682591
6,0.2881323349853656,0.2998850391382858,0.4119826258763486,0.09215250668384459,0.3606554681716289,0.5471920251445265,0.08991071698863845,0.40940805301373845,0.5006812299976231,0.3556617488333614,0.572753475368803,0.0715847757978357,0.22791073989009103,0.21818054346975363,0.5539087166401554,0.2776173317835593,0.006911895846747149,0.7154707723696936,0.19995281742838286,0.10987820364700786,0.6901689789246093,0.5686891474834482,0.07723801306852592,0.3540728394480257,0.2207794269838537,0.7680346428783636,0.01118593013778275,0.29531676162386106,0.028993761171617324,0.6756894772045215,0.07677482232731288,0.09568399519469026
7,0.4977998486454297,0.24542509376699076,0.25677505758757957,0.7364266340026597,0.2304829699546504,0.033090396042689915,0.2008182926093608,0.5555872414720525,0.24359446591858674,0.1982352446784581,0.32831699730715114,0.4734477580143907,0.12602184702219096,0.8293913651206696,0.044586787857139425,0.07670699385241901,0.7726252559886914,0.1506677501588896,0.24035868347613437,0.17610884186564021,0.5835324746582253,0.22460563803119696,0.21836445047297628,0.5570299114958267,0.44680310988578814,0.15275500272722337,0.40044188738698855,0.04423357035132141,0.6307787589008734,0.32498767074780516,0.0767098119531758,0.09655060593163875
8,0.40330204193057645,0.34728780951237975,0.24941014855704371,0.550090423356108,0.11962812731283717,0.3302814493310548,0.32192219256402826,0.2471814080347018,0.4308963994012699,0.062281778164595104,0.6023565682254284,0.33536165360997655,0.08013739549664853,0.5703703303348807,0.3494922741684708,0.0012073345008800306,0.7362291683168481,0.26256349718227173,0.20556460373441207,0.4867880346608869,0.307647361604701,0.4766570971378408,0.41774367500654064,0.10559922785561861,0.09155435040067701,0.6013152073930934,0.3071304422062297,0.29175603639539116,0.5699042922111724,0.13833967139343642,0.07724685983381584,0.0970262852925303
9,0.0705102994851758,0.8002365987909406,0.1292531017238837,0.26919817374942623,0.5911242673034942,0.1396775589470797,0.13952791006954005,0.11383530934245875,0.7466367805880012,0.21939003863896003,0.3222725622350518,0.45833739912598825,0.4053876109698365,0.2679451894722526,0.326667199557911,0.29238521436209636,0.36082421261065145,0.3467905730272522,0.43311029964330233,0.28240203609820114,0.2844876642584964,0.335151908566402,0.5337750314715244,0.13107305996207358,0.07029713690868025,0.5513705659644703,0.37833229712684946,0.5511649833365382,0.32883507037404197,0.1199999462894198,0.07811938138125966,0.09809344687437864
