Primo tentativo di split userwise.
Non ha miglirato probabilmente a causa di overfitting sul validation
Trial,SLIM_w_group_0,RP3b_w_group_0,ItemKNN_w_group_0,SLIM_w_group_1,RP3b_w_group_1,ItemKNN_w_group_1,SLIM_w_group_2,RP3b_w_group_2,ItemKNN_w_group_2,SLIM_w_group_3,RP3b_w_group_3,ItemKNN_w_group_3,SLIM_w_group_4,RP3b_w_group_4,ItemKNN_w_group_4,SLIM_w_group_5,RP3b_w_group_5,ItemKNN_w_group_5,Accuracy
0,0.45476267730998754,0.055232850266336335,0.4900044724236762,0.4727003352241407,0.23658677719856852,0.2907128875772908,0.08072909867309797,0.6964562604749908,0.22281464085191122,0.6981804401415576,0.273804822328962,0.02801473752948053,0.292293722242968,0.5677061735835679,0.14000010417346412,0.3520071700559385,0.3814257719538294,0.26656705799023206,0.09831903767948358
1,0.0032250022384052767,0.3979515421959634,0.5988234555656313,0.41382179100983485,0.2929726066686756,0.29320560232148957,0.24347636436138334,0.4546321819331391,0.30189145370547765,0.6018663934256515,0.33967300536654665,0.05846060120780181,0.7792962136567432,0.1832150868941568,0.03748869944910007,0.3364198385322786,0.4254091254613705,0.23817103600635092,0.09888337335510028
2,0.8761929730768981,0.12133536533457913,0.0024716615885226746,0.4293184460810605,0.15813494416378007,0.4125466097551594,0.48346065926163495,0.011281343864124457,0.5052579968742404,0.7301270339229992,0.08713695832409372,0.18273600775290713,0.5299863887864127,0.21396634398416708,0.2560472672294203,0.5965006758137419,0.13614876867207715,0.267350555514181,0.09872090369018172
3,0.007463106198542832,0.9018439014671131,0.09069299233434402,0.7837101631163383,0.09615223721322017,0.1201375996704414,0.11374213935039541,0.21210376670844178,0.6741540939411629,0.2829473208781366,0.2856322067511849,0.4314204723706786,0.5336478660140043,0.011979401684795459,0.4543727323012002,0.7924042195752777,0.004920217502803796,0.20267556292191838,0.09750026598818842
4,0.10275633964110202,0.18246942032134114,0.7147742400375567,0.564547303770509,0.425708628897584,0.009744067331906947,0.020055952442730517,0.09940576797741824,0.8805382795798513,0.39035351542609353,0.5844571605931217,0.025189323980784693,0.4681823186219156,0.1624368494871358,0.3693808318909486,0.5245750445992399,0.1532822684468754,0.3221426869538848,0.09696006398321567
5,0.009771203080229069,0.6378438913572706,0.35238490556250035,0.06159479467153362,0.4467036748587658,0.49170153046970067,0.056148681620357674,0.4535453525380823,0.49030596584156,0.315844717131867,0.5246700002805099,0.15948528258762312,0.49274128476847395,0.4937596945407154,0.013499020690810675,0.2507373612493149,0.717540447469437,0.03172219128124811,0.0980562893748278
6,0.2892147020696109,0.5031670873704656,0.2076182105599235,0.10210350723589652,0.7334501846549294,0.16444630810917402,0.056578843760437356,0.8128041646421914,0.13061699159737125,0.03895722027363166,0.40332098066736893,0.5577217990589995,0.19008030458116915,0.5609745057683359,0.24894518965049495,0.20341345133008631,0.36399821060637855,0.4325883380635351,0.09649263796784166
7,0.10312086137685313,0.07269611022798443,0.8241830283951626,0.40897489970596546,0.5313976246818528,0.059627475612181784,0.379656194924655,0.5963359186146838,0.024007886460661213,0.11935146674690031,0.6938214905146638,0.18682704273843595,0.5507909461494958,0.1739641842897399,0.2752448695607645,0.23293170988986742,0.7555932992483472,0.01147499086178544,0.09823946205776134
8,0.2963308952002141,0.22453507049136878,0.4791340343084171,0.4352856054399891,0.39868308934775976,0.16603130521225115,0.13878301030040846,0.010583415978894806,0.8506335737206967,0.7244216240493306,0.2502561478414056,0.025322228109263826,0.07181672625417823,0.8036842961617106,0.12449897758411135,0.22119026253495833,0.6022525049740016,0.17655723249104016,0.09638400709440391
9,0.03275426180963837,0.2705501662681926,0.696695571922169,0.8168431569006652,0.1573813042407626,0.02577553885857213,0.46302643668195553,0.3194755051372137,0.21749805818083087,0.0158185859079651,0.9397174428983982,0.04446397119363665,0.7215625712674751,0.2747029638036091,0.0037344649289158182,0.17533133928230618,0.14759137303262246,0.6770772876850714,0.09614534721597555
