trialid,accuracy,alpha,beta
best -> 0.08028442378047912, alpha = 0.442949599358078
hybrid similarities, alpha * slim + beta * rp3_beta + (1-alpha-beta) * knn,
NO TOPK
32,0.080284424,0.442949599,0.229285295
161,0.080277342,0.446542537,0.215288821
181,0.080270297,0.448114046,0.212754779
178,0.080259932,0.454921153,0.217606075
162,0.080258239,0.444501908,0.217975551
133,0.080257067,0.446674106,0.220630757
121,0.080249133,0.436474228,0.234880224
187,0.080244512,0.472109178,0.210669136
41,0.080243693,0.439572752,0.223490977
31,0.080243521,0.451135891,0.218124642
35,0.080240567,0.445606137,0.21772997
90,0.08024034,0.445796761,0.248158258
152,0.080239473,0.467167289,0.214910139
192,0.08023822,0.46404322,0.216484001
196,0.080234109,0.440752606,0.213839271
83,0.080232836,0.477856221,0.206911458
45,0.080232433,0.420570372,0.263070559
165,0.080231774,0.478441075,0.210266043
148,0.080229492,0.447859276,0.201304196
146,0.080226428,0.474956065,0.206880387
166,0.08022642,0.47683188,0.208934622
65,0.080225833,0.469959416,0.242873301
145,0.080224814,0.440133717,0.211368306
102,0.080222405,0.450751082,0.234356509
81,0.080221036,0.435443653,0.217202219
29,0.080219807,0.471226159,0.204099163
118,0.080219218,0.515013437,0.226607892
101,0.080219166,0.43377453,0.223564404
191,0.080217338,0.438708437,0.222418919
114,0.080217277,0.467486031,0.220139695
137,0.080216565,0.513733103,0.223009849
138,0.080215135,0.444806179,0.204942851
156,0.080214367,0.481870018,0.212217472
61,0.080212639,0.426483445,0.21539212
182,0.080212347,0.455754571,0.197005056
122,0.080211833,0.468450456,0.237668499
93,0.080211513,0.475765742,0.202389351
170,0.080210875,0.514468958,0.209865789
141,0.080210514,0.431682859,0.220374711
183,0.080210344,0.422455556,0.260549791
149,0.080209105,0.451342926,0.210740398
155,0.080208821,0.432500802,0.217864459
194,0.080208646,0.463092873,0.203273026
30,0.08020741,0.434216256,0.219547494
189,0.080207397,0.459544277,0.194693937
150,0.080206728,0.477697734,0.2042775
85,0.080205719,0.460828068,0.185849367
113,0.080204611,0.446218966,0.241261227
124,0.080203591,0.414510582,0.265629771
130,0.080203441,0.477034683,0.200417729
95,0.080202107,0.446255485,0.195401763
74,0.080200675,0.459542626,0.192746824
136,0.080199129,0.477305666,0.237692191
197,0.080198181,0.434764131,0.22015919
198,0.080196698,0.44895109,0.245376957
167,0.080196512,0.479223117,0.20106551
169,0.080194578,0.466853174,0.187056854
37,0.08019393,0.467777668,0.243155657
33,0.080193722,0.46573182,0.245343928
172,0.0801932,0.482952985,0.213452317
28,0.080192363,0.4392047,0.206365469
58,0.080190551,0.505937609,0.187073769
39,0.080189694,0.388325135,0.317320748
163,0.080188561,0.450098446,0.245663736
103,0.080182828,0.453752787,0.234984948
88,0.080182741,0.406200012,0.286060099
171,0.080181696,0.44261704,0.196219439
