hybrid slim * alpha + rp3 *(1-alpha) e topk della matrice ibrida
best -> accuracy = 0.079778872, alpha = 0.747434136, topk = 8401
KFOLD -> 0.09565513438458673
SUBMIT -> 0,14069
alpha,topK,result
0.747434136,8401,0.079778872
0.74740934,7713,0.07977842
0.747537344,7580,0.079777711
0.746943789,6776,0.079771064
0.74665731,7767,0.079770444
0.746960143,7549,0.079770199
0.7476499,7463,0.079768158
0.747710364,6541,0.079764402
0.748485325,2568,0.07975604
0.748203179,7895,0.0797554
0.748233706,7181,0.079755131
0.748347126,6628,0.079754968
0.748434676,7409,0.07975459
0.749777435,7280,0.079748562
0.749694191,6439,0.079748408
0.746038278,6367,0.079747653
0.74609245,8591,0.079747452
0.744276453,7923,0.079747268
0.745955171,9941,0.079746871
0.745761626,7276,0.07974632
0.744050761,7350,0.079745371
0.744164932,7093,0.079744835
0.743679293,7639,0.079744626
0.749204093,7601,0.079744495
0.750489873,7443,0.079744233
0.744883453,6689,0.079743899
0.743540714,6445,0.079743766
0.744919925,5556,0.079743684
0.751288958,7448,0.079743413
0.730950713,6965,0.079742386
0.73116474,6865,0.079741772
0.741485803,8238,0.079741593
0.741553212,9192,0.079741325
0.741560966,6711,0.079741304
0.748913182,7209,0.079741156
0.745143993,7810,0.079740196
0.745167597,5989,0.079740062
0.745208444,6808,0.079739607
0.718909836,7035,0.079739362
0.750041743,7239,0.079738019
0.750720238,8211,0.079737834
0.752632368,8954,0.07973779
0.75250967,7969,0.079736686
0.739442317,8699,0.07973596
0.743385975,6938,0.079735866
0.75288899,8814,0.079734984
0.743023913,6543,0.079734809
0.740301092,6009,0.079732683
0.736237402,8656,0.079732613
0.724144731,7327,0.079732526
0.733983861,9649,0.07973125
0.740135394,7147,0.079730832
0.733593265,9649,0.079730379
0.729048068,8002,0.079729664
0.739730984,7361,0.079729447
0.724448192,9794,0.079729134
0.730148275,7769,0.079728978
0.728664905,2293,0.079727626
0.754618067,8496,0.079725893
0.73786679,6806,0.079725882
0.734062558,6969,0.079725178
0.755643058,8901,0.079723491
0.75393146,1580,0.07972282
0.753640375,8923,0.079722718
0.754089126,3142,0.079722656
0.753713183,8427,0.079722501
0.755831611,7109,0.079722254
0.723847885,7359,0.079721888
0.735066923,7620,0.079721003
0.734776969,6131,0.079720081
0.738694362,4872,0.079719091
0.751760212,1931,0.079718736
