alpha * slim + beta* rp3_beta + gamma * knn + delta * p3_alpha
alpha,beta,gamma,delta,accuracy
0,0,0,1,0.05792277942919243
0,0,0.1,0.9,0.058191872424710175
0,0,0.2,0.8,0.058281380688985085
0,0,0.3,0.7,0.05840983989113675
0,0,0.4,0.6,0.05854096892553314
0,0,0.5,0.5,0.05870545958768132
0,0,0.6,0.4,0.05878826178247438
0,0,0.7,0.3,0.058992410926339056
0,0,0.8,0.2,0.0599707551929038
0,0,0.9,0.1,0.06207808360913135
0,0,1,0,0.07132005322814838
0,0.1,0,0.9,0.05807331529683876
0,0.1,0.1,0.8,0.05827577897315345
0,0.1,0.2,0.7,0.05842159113660394
0,0.1,0.3,0.6,0.058502578649194434
0,0.1,0.4,0.5,0.05868651859129573
0,0.1,0.5,0.4,0.058859814055548965
0,0.1,0.6,0.3,0.05903515718275708
0,0.1,0.7,0.2,0.05999767108648878
0,0.1,0.8,0.1,0.06203074836198256
0,0.1,0.9,0,0.07241988760605468
0,0.2,0,0.8,0.058118341616288816
0,0.2,0.1,0.7,0.058370429200819536
0,0.2,0.2,0.6,0.05848471584575028
0,0.2,0.3,0.5,0.05863705898886123
0,0.2,0.4,0.4,0.0588486509406404
0,0.2,0.5,0.3,0.059165116275399714
0,0.2,0.6,0.2,0.06003019349701703
0,0.2,0.8,0,0.07343235589885296
0,0.3,0,0.7,0.05825656002467002
0,0.3,0.1,0.6,0.05844114460565809
0,0.3,0.2,0.5,0.0586215756809013
0,0.3,0.3,0.4,0.058874049725910926
0,0.3,0.4,0.3,0.05920882735424543
0,0.3,0.5,0.2,0.05996227674332222
0,0.3,0.7,0,0.0742355591482326
0,0.4,0,0.6,0.05828209339082061
0,0.4,0.1,0.5,0.05854009317129504
0,0.4,0.2,0.4,0.05881944153259455
0,0.4,0.3,0.3,0.05914205449892278
0,0.4,0.4,0.2,0.05988536357547193
0,0.4,0.5,0.1,0.06180290123926384
0,0.4,0.6,0,0.07479932560446094
0,0.5,0,0.5,0.05845450036544015
0,0.5,0.1,0.4,0.058790430298292645
0,0.5,0.2,0.3,0.0591406396590496
0,0.5,0.3,0.2,0.05977330404899026
0,0.5,0.4,0.1,0.06184591981432503
0,0.5,0.5,0,0.07569722787480307
0,0.6,0,0.4,0.05868021741468897
0,0.6,0.1,0.3,0.05910899583717225
0,0.6,0.2,0.2,0.05972785936145607
0,0.6,0.4,0,0.07641152213230663
0,0.7,0,0.3,0.05894379788381667
0,0.7,0.1,0.2,0.059718089394174154
0,0.7,0.3,0,0.07657459527097012
0,0.8,0,0.2,0.05974542706019896
0,0.8,0.1,0.1,0.061651278217717445
0,0.8,0.2,0,0.0764361814734301
0,0.9,0,0.1,0.06153458410277229
0,0.9,0.1,0,0.07624509964075232
0,1,0,0,0.07488631709861289
0.1,0,0,0.9,0.0584661818496705
0.1,0,0.1,0.8,0.058587668303737885
0.1,0,0.2,0.7,0.05866952798015419
0.1,0,0.3,0.6,0.05874760440687369
0.1,0,0.4,0.5,0.05893408138178888
0.1,0,0.5,0.4,0.05911586785160869
0.1,0,0.6,0.3,0.05944746879073472
0.1,0,0.7,0.2,0.06033276090568865
0.1,0,0.8,0.1,0.062362373288236676
0.1,0,0.9,0,0.07374755575485381
0.1,0.1,0,0.8,0.058495216025221085
0.1,0.1,0.1,0.7,0.05862260149722482
0.1,0.1,0.2,0.6,0.058702748075971346
0.1,0.1,0.3,0.5,0.058881210723285324
0.1,0.1,0.4,0.4,0.05908666635520913
0.1,0.1,0.5,0.3,0.059468064826284944
0.1,0.1,0.6,0.2,0.060378904121768114
0.1,0.1,0.8,0,0.07464654414516966
0.1,0.2,0,0.7,0.058537025213949365
0.1,0.2,0.1,0.6,0.058684140252733316
0.1,0.2,0.2,0.5,0.0588591345327367
0.1,0.2,0.3,0.4,0.05906559990785122
0.1,0.2,0.4,0.3,0.05946297669018813
0.1,0.2,0.5,0.2,0.060426790944619294
0.1,0.2,0.6,0.1,0.06235269319052958
0.1,0.2,0.7,0,0.0754423932389254
0.1,0.3,0,0.6,0.05859540469207141
0.1,0.3,0.1,0.5,0.058793539638730394
0.1,0.3,0.2,0.4,0.05904740487587561
0.1,0.3,0.3,0.3,0.05941506221327716
0.1,0.3,0.4,0.2,0.06030643265369182
0.1,0.3,0.5,0.1,0.06241040642120677
0.1,0.3,0.6,0,0.07664496430228303
0.1,0.4,0,0.5,0.05876242292869916
0.1,0.4,0.1,0.4,0.05905653589069719
0.1,0.4,0.2,0.3,0.05943575116285033
0.1,0.4,0.3,0.2,0.060209814207481165
0.1,0.4,0.4,0.1,0.062309813287095624
0.1,0.4,0.5,0,0.0773502368451573
0.1,0.5,0,0.4,0.059071197710038874
0.1,0.5,0.1,0.3,0.05940786137800534
0.1,0.5,0.2,0.2,0.06007689538017934
0.1,0.5,0.4,0,0.07777567356177038
0.1,0.6,0,0.3,0.05942243677373231
0.1,0.6,0.1,0.2,0.06011388443745949
0.1,0.6,0.3,0,0.07790223742292843
0.1,0.7,0,0.2,0.06003126286035723
0.1,0.7,0.2,0,0.07839703710327056
0.1,0.8,0,0.1,0.061976136818686606
0.1,0.8,0.1,0,0.07781855944642041
0.1,0.9,0,0,0.07727985140700348
0.2,0,0,0.8,0.05859471981973701
0.2,0,0.1,0.7,0.0587033692033021
0.2,0,0.2,0.6,0.05880748004986233
0.2,0,0.3,0.5,0.0589923354838925
0.2,0,0.4,0.4,0.059218284843189195
0.2,0,0.5,0.3,0.0595872178101244
0.2,0,0.6,0.2,0.060477040839712407
0.2,0,0.8,0,0.0753260249266278
0.2,0.1,0,0.7,0.05865730078733746
0.2,0.1,0.1,0.6,0.058756585198232424
0.2,0.1,0.2,0.5,0.05893716391105489
0.2,0.1,0.3,0.4,0.0591684751337943
0.2,0.1,0.4,0.3,0.05964140409507431
0.2,0.1,0.5,0.2,0.060457129107381186
0.2,0.1,0.6,0.1,0.06270295424694387
0.2,0.1,0.7,0,0.07616365113021728
0.2,0.2,0,0.6,0.05872701473201221
0.2,0.2,0.1,0.5,0.058864553279455126
0.2,0.2,0.2,0.4,0.059197173111939214
0.2,0.2,0.3,0.3,0.05951362240490245
0.2,0.2,0.4,0.2,0.06043245179324362
0.2,0.2,0.5,0.1,0.06265319893732704
0.2,0.2,0.6,0,0.07720981372369613
0.2,0.3,0,0.5,0.058900733621227386
0.2,0.3,0.1,0.4,0.059158252870439375
0.2,0.3,0.2,0.3,0.05943616951090255
0.2,0.3,0.3,0.2,0.06031127037946847
0.2,0.3,0.4,0.1,0.06262274970380294
0.2,0.3,0.5,0,0.07825473612626768
0.2,0.4,0,0.4,0.05909267092397776
0.2,0.4,0.1,0.3,0.059498756003590246
0.2,0.4,0.2,0.2,0.06025766576738505
0.2,0.4,0.4,0,0.07851132576769246
0.2,0.5,0,0.3,0.05942294791709453
0.2,0.5,0.1,0.2,0.0601817214858583
0.2,0.5,0.3,0,0.0789373590528912
0.2,0.6,0,0.2,0.06012254799808806
0.2,0.6,0.1,0.1,0.06222538615882586
0.2,0.6,0.2,0,0.07911832881567077
0.2,0.8,0,0,0.07830751195006237
0.3,0,0,0.7,0.058669456683938324
0.3,0,0.1,0.6,0.05879368758578165
0.3,0,0.2,0.5,0.058958357454633896
0.3,0,0.3,0.4,0.0592543888492788
0.3,0,0.4,0.3,0.05964788561897832
0.3,0,0.5,0.2,0.06051196392798064
0.3,0,0.7,0,0.07661580957212177
0.3,0.1,0,0.6,0.05877646270601684
0.3,0.1,0.1,0.5,0.05892260164112522
0.3,0.1,0.2,0.4,0.05927225511632155
0.3,0.1,0.3,0.3,0.05960040060864469
0.3,0.1,0.4,0.2,0.06041848149677307
0.3,0.1,0.5,0.1,0.0629184593902481
0.3,0.1,0.6,0,0.07775244095412835
0.3,0.2,0,0.5,0.05889447523209841
0.3,0.2,0.1,0.4,0.05927343373611802
0.3,0.2,0.2,0.3,0.05954644664019106
0.3,0.2,0.3,0.2,0.0603522240439558
0.3,0.2,0.4,0.1,0.06273176859261698
0.3,0.2,0.5,0,0.07864714958788592
0.3,0.3,0,0.4,0.05923605115823961
0.3,0.3,0.1,0.3,0.05946789026975307
0.3,0.3,0.2,0.2,0.06036835823913643
0.3,0.3,0.4,0,0.0793035906075875
0.3,0.4,0,0.3,0.059463364711659514
0.3,0.4,0.1,0.2,0.060315076817601634
0.3,0.4,0.3,0,0.07978219616408024
0.3,0.5,0,0.2,0.06012147851848756
0.3,0.5,0.1,0.1,0.06232675453616418
0.3,0.5,0.2,0,0.07984904683318153
0.3,0.7,0,0,0.07900080622457298
0.4,0,0,0.6,0.05876780446750029
0.4,0,0.1,0.5,0.059015206104525895
0.4,0,0.2,0.4,0.05931264050804118
0.4,0,0.3,0.3,0.05966572050074327
0.4,0,0.4,0.2,0.060506789539021916
0.4,0,0.5,0.1,0.06285779198986308
0.4,0,0.6,0,0.07777925314324984
0.4,0.1,0,0.5,0.05895603007101955
0.4,0.1,0.1,0.4,0.05932037234104414
0.4,0.1,0.2,0.3,0.05956887150930754
0.4,0.1,0.3,0.2,0.06054728381498437
0.4,0.1,0.4,0.1,0.06284114370838813
0.4,0.1,0.5,0,0.07871404364781943
0.4,0.2,0,0.4,0.0592727134774617
