IALS first try
"validation_every_n": 3,"stop_on_validation": True,"evaluator_object": evaluator_validation,"lower_validations_allowed": 5,"validation_metric": "MAP", "epochs": 500,num_factors[1, 200],confidence_scaling["linear", "log"],alpha=[1e-3,50.0]log=True,epsilon=[1e-3,10.0]log=True,reg=[1e-5,1e-2]log=True
best: 0.028552565010624604 and parameters: {'num_factors': 183, 'confidence_scaling': 'log', 'alpha': 0.5078497804679399, 'epsilon': 0.010250389368481442, 'reg': 0.004694471088493774}
trialid,accuracy,num_factors,confidence_scaling,alpha,epsilon,reg
0,0.025653740028170856,119,log,0.008502381055304464,0.06000913400367788,3.686838632933196e-05
1,0.024678211262244457,58,linear,0.0014459175236451508,0.18345636195285073,0.0017528185621476663
2,0.022103026039583838,135,linear,30.090374965720706,1.0695667255950154,0.0067753817763122615
3,0.019921462058465022,97,log,14.93662739760808,0.12093887307154827,0.009841597110081963
4,0.020846194122021298,15,linear,2.554279583201687,0.001533872848167006,3.6761219422101456e-05
5,0.02738934421621879,118,log,0.7618684219008753,0.0027162366670761126,0.00017958991551074357
6,0.027410283652062613,170,log,0.11374477204525535,0.002442886046425108,0.004305993020966487
7,0.028488987824210114,177,log,1.0753580574858252,0.04236261971112986,0.008358829748319637
8,0.025470031110018998,111,linear,0.0024954689992550353,0.9595036805319219,0.0023766334354430076
9,0.026834218290506973,146,log,3.7857167146925037,0.202608608049227,1.1906386060916414e-05
10,0.025050620032153973,195,log,0.13230836386262773,4.757846529632649,0.0008620115172757538
11,0.026641286384026554,194,log,0.08106547991194576,0.010502138671560654,0.004414641804667247
12,0.028355240440133867,164,log,0.4120990493706995,0.011394483307847267,0.009468920533716214
13,0.02845578586927388,163,log,0.5229454800618583,0.018502617270629514,0.00922817714991774
14,0.02576066164602037,74,log,1.3788364462025888,0.025431219682010908,0.0007132064980386239
15,0.023037061396112293,157,log,8.370575187310765,0.03493282716935846,0.003836073373818131
16,0.028373409365770177,182,log,0.46159113823708203,0.0084926614453996,0.0015559728115405761
17,0.02427543930655339,143,log,4.962588115216111,0.027457755430700136,0.0033682849971453242
18,0.02721788577146276,89,linear,1.3994718669276887,0.00506123703732392,0.009377483017930175
19,0.024707373893602762,42,log,0.041185749548721,0.0010181026155837518,0.00040837077997872676
20,0.02740607568873281,178,log,0.298197103216677,0.06602772178328452,0.0015724593028269326
21,0.028552565010624604,183,log,0.5078497804679399,0.010250389368481442,0.004694471088493774
22,0.028465848041128977,198,log,0.9390891099282447,0.017291260116608496,0.005660788268954623
23,0.02758207536108998,200,log,1.4363349961208958,0.007747541463659609,0.005550267437267402
24,0.028016579696737758,182,log,0.1945398459589597,0.003587408049018665,0.0028379039923655783
25,0.025909662897166782,132,log,2.4767109548714275,0.017773821359505414,0.0055369791805669494
26,0.027754742390733656,153,linear,0.8421933139165101,0.004406214866019796,0.002936223183123951
27,0.020639385573110194,182,log,48.46424551236146,0.04892606814947232,0.005330624824066359
28,0.02796767416872658,171,log,0.26780666444626705,0.016835016911199024,0.0019373600396347496
29,0.026297534326219976,133,log,0.05204464391190987,0.05654160765514896,0.0012011703484521173
30,0.02540430175915349,190,log,0.02657156398324114,0.03494136786904789,0.002597455770728295
31,0.0282797058922731,160,log,0.7157406236419306,0.01511385406532184,0.007141820613140373
32,0.02833273907897018,171,log,0.3567650212944946,0.006801787748087411,0.009981460332420266
