trialid,accuracy,num_factors,confidence_scaling,alpha,epsilon,reg
0,0.02494851455093024,44,linear,0.05829153914515595,0.005435379956867234,0.008538946829523861
1,0.02745066743355622,105,log,0.07096727312122,0.0017631418386846334,8.659531215010846e-05
2,0.023733030571732195,118,linear,18.321214908593706,0.007695534068224416,0.004900575982954851
3,0.022398570869381157,29,log,4.076551587227648,0.11646679317763607,0.0001202084498695758
4,0.026045258465741666,100,linear,0.001653148687820401,0.2732624320552823,0.0003590530177157295
5,0.028916125450348083,156,linear,1.7092259365848848,0.008565776198958588,0.00162856588626543
6,0.025938229443765434,87,log,0.019513498087801277,3.2670797216842735,2.935157559249418e-05
7,0.02695402656952737,104,linear,0.3120550516932651,0.0017185005800508912,4.343827810090196e-05
8,0.023192812807055516,48,linear,11.68953997305628,0.005357695573223297,0.00047196640513483913
9,0.025310758022383587,65,linear,0.04166337655302881,2.9814829836760097,7.536905601798722e-05
10,0.027812104073302004,179,log,2.317317921523829,0.026077394994229643,0.0013603026598221813
11,0.028812072119571038,183,log,1.3108707203435201,0.03149023651998709,0.0014216167930461428
12,0.029053218938976583,192,log,0.7846133683100175,0.0335698462106725,0.0017369412377729002
