topK,alpha,result
42.0,0.34456954608871865,0.08040045272743321
55.0,0.3286557438180375,0.08121961106368401
27.0,0.17173860554483256,0.07730682072254083
25.0,0.32155242348179613,0.07748946324190106
18.0,0.30535200231996484,0.07365431261163417
19.0,0.21244517899564563,0.07365091135420629
29.0,0.1820038740024928,0.0778162110298112
68.0,0.22087734789833774,0.08107589159222828
49.0,0.2223103598419635,0.08041207373818687
51.0,0.27719077714352025,0.08078740840200756
68.0,0.2748506946292954,0.08130330232305596
69.0,0.27604853755180386,0.08131184460154357
70.0,0.26400931568496255,0.08127483123223168
62.0,0.2879525966802488,0.08116116620777429
61.0,0.25102942131486305,0.0811339956608798
43.0,0.29713118222784934,0.080446335653191
62.0,0.2682240767808488,0.08114289433274997
37.0,0.24454501540516238,0.07953696673795312
57.0,0.29678280629457277,0.08112267521399955
70.0,0.2819593880761086,0.08139400359947287
64.0,0.3096386999377186,0.08135763207338403
64.0,0.3078332186595242,0.08133494842583638
64.0,0.31391715602942516,0.08133826755389838
56.0,0.32153660120711175,0.08123161132697707
65.0,0.34918736102803144,0.08143388940369144
51.0,0.3483536908173266,0.08101835983101922
59.0,0.3298213789600388,0.08127713148710988
67.0,0.33788616752221046,0.08146652089147219
66.0,0.33753108658019126,0.0814473614748589
44.0,0.3402150565419762,0.08052028401084663
39.0,0.34033517506710004,0.08012033120578525
66.0,0.34190659841120946,0.08146563287949879
66.0,0.3498165787047453,0.08148242163345217
55.0,0.3329320515076498,0.08120266911288743
66.0,0.3338162151656975,0.08142379958605277
59.0,0.32141239220972606,0.08130634694988637
55.0,0.3399835836831019,0.08120389480596102
33.0,0.3494586550114242,0.07924464056129929
67.0,0.32459793845244655,0.08138555405510749
59.0,0.3183675767364062,0.0813128705000528
48.0,0.3295360412472879,0.08086904877918649
65.0,0.34793979884691184,0.08142334823677667
66.0,0.3346562497400696,0.08142756737938667
21.0,0.3496384112263757,0.07555295302810053
61.0,0.3398119932576799,0.08129935781297243
70.0,0.32476532584896906,0.08145713649604525
70.0,0.31624473413346754,0.08152706169923771
70.0,0.315503079535901,0.08152333606403214
68.0,0.31457428840451535,0.08140872529874187
70.0,0.3049369829229985,0.08151311139327386
70.0,0.3035836089652666,0.08149796687962214
70.0,0.3021004479919774,0.0815081495614111
70.0,0.3031572193823514,0.0814845789141617
70.0,0.294509445024019,0.08150836757318655
70.0,0.29339604356781346,0.08148170173999317
63.0,0.30022065397608083,0.0812454660804745
15.0,0.28929742649073464,0.07103262876617755
68.0,0.30191020438094607,0.08141185548244922
61.0,0.30694417798960527,0.08123583833285652
68.0,0.2835801439635435,0.08137007631902568
63.0,0.31198486603397185,0.08130358928567286
70.0,0.30312994546185146,0.08148633107410694
70.0,0.29308865434797504,0.0814794275063
68.0,0.306021401337966,0.08145262065798585
69.0,0.31353663451205593,0.08146628321737023
