topK,alpha,result
53.0,0.318102384614002,0.03797166172985344
41.0,0.35339954472607826,0.03826227762335284
28.0,0.4416559112346813,0.03820375597898577
29.0,0.3175334821804662,0.038453157080287285
38.0,0.4074366920474548,0.03823009631987402
50.0,0.17403950792769962,0.03793916837494856
30.0,0.2710798168004541,0.03846023424660434
35.0,0.2537860994742283,0.03843344583187363
29.0,0.18495797203464545,0.03832180743386553
40.0,0.4472925804961879,0.038177599668425835
25.0,0.11630215979108838,0.038111592790492275
33.0,0.27924125085576673,0.03851029849719297
34.0,0.2552540899552991,0.038424584371504915
33.0,0.27643595961629036,0.03851801576899938
45.0,0.2359061304059932,0.0381251710281859
35.0,0.3063599943228602,0.038372531793240044
45.0,0.36147894387686225,0.038121330395249634
32.0,0.21952086770358356,0.03856661577828069
26.0,0.21418438717356894,0.038286529620081916
32.0,0.2092320089608263,0.038492955639089756
38.0,0.1500695097937501,0.03830551274850154
33.0,0.2831888435813339,0.03852335664917638
37.0,0.22158926059045067,0.03840080445257426
31.0,0.284546436712924,0.03844865233790578
43.0,0.24750118955579484,0.03819537459773416
27.0,0.23083155490063248,0.038397279871723346
36.0,0.29230043098178976,0.03834093458602022
32.0,0.19858706352042393,0.03848261793543618
33.0,0.2575019420186149,0.0384851423514601
55.0,0.3305080157839302,0.037902074261838684
39.0,0.30139377362428127,0.03852312861159577
40.0,0.2982663891904553,0.0384149067766373
42.0,0.27207880089499337,0.038343711043580496
48.0,0.3328558196251835,0.038043985648835356
39.0,0.3047123132499285,0.0385275613421097
39.0,0.3147605799618854,0.0384852503692614
44.0,0.3543605086904225,0.038126039171255885
48.0,0.2993647420896858,0.038059584219479824
36.0,0.33386023940596016,0.038354360798660156
30.0,0.23778159608958843,0.03858325452034539
28.0,0.2365783070030423,0.038467671472259095
30.0,0.26147595435212606,0.038443995570470436
30.0,0.24870681444082265,0.03846711938127445
41.0,0.2882042025007954,0.038334657551565
37.0,0.26935011358179284,0.03844533579133887
35.0,0.3136249185452707,0.03838368963205191
29.0,0.237841023328051,0.0383885824383863
39.0,0.278730342061579,0.03852217245402093
34.0,0.19187310857721263,0.038492415550083134
25.0,0.2650998949995709,0.0383808691672392
28.0,0.17572113969664466,0.03825577255131696
38.0,0.2811507986862526,0.0383870021779594
31.0,0.29578982436610957,0.03847118005047283
41.0,0.21714757220956724,0.03830237623160348
39.0,0.2794745064431663,0.03852415678103803
34.0,0.2478699149497831,0.03841577491970722
37.0,0.30126613354327136,0.03849957272958629
39.0,0.2651527387416404,0.03844160317620393
42.0,0.22564781170028922,0.038337986100109786
32.0,0.28345248805928464,0.03852417678433465
31.0,0.24248786078251072,0.03862739779515709
32.0,0.20814728936313343,0.03848632654661532
31.0,0.24718436431767182,0.03863588719421005
31.0,0.24165922901511278,0.03863138245182851
27.0,0.24084634920387193,0.03838864644893527
31.0,0.22706333956566024,0.03854898087204814
29.0,0.22624637146008153,0.03840474910265257
31.0,0.2035568678414831,0.03836445846275504
30.0,0.2143033430668237,0.03842300411107791
26.0,0.2510601568724503,0.03838350560172362
27.0,0.22793216627732063,0.03839721586117439
32.0,0.25594836521989306,0.03861206326802709
33.0,0.2561374856077055,0.03849331169776836
31.0,0.23945850355756823,0.038573500912950885
31.0,0.2391431126950342,0.03857499315887301
29.0,0.239595338002486,0.03840112850597823
31.0,0.244871464831111,0.03862800189471269
30.0,0.24504991005852106,0.03852686922804918
33.0,0.2564595089693974,0.038500176829142016
32.0,0.2359272754198085,0.03861553183964769
34.0,0.23139489782586184,0.03844836829109483
31.0,0.2356629054253158,0.038589703583150906
28.0,0.25868058564156643,0.03843155752067982
32.0,0.22128929979070858,0.03857004034264888
31.0,0.24801086775243117,0.03864820922488068
