range -> range dacrema
best -> accuracy =0.038191298779786345,topk = 37,alpha = 0.2753517853081757 beta = 0.21829699320562032,normalize_similarity = True
trialid,accuracy,topk,alpha,beta,normalize_similarity
0,0.0013241129785247414,537,1.2727585398312935,1.3473688630399616,False
1,0.0027900886381950164,241,1.5329018174238498,0.7141416004522076,True
2,0.0008305993630328833,847,1.8573704357778167,1.2906829220293323,True
3,0.0006524076525587397,139,1.779126890457283,1.5777006249784438,True
4,0.0006554893646956497,943,1.8452678303630157,1.8634164668096516,True
5,0.0010041904889809795,767,0.5386533646173757,1.46753327025569,True
6,0.001255623824872413,834,1.3946079071843702,1.359912172770664,False
7,0.0008660970095800867,964,1.6850715561604668,1.9350188807274256,False
8,0.0035486294974611,651,0.9665360050227212,0.8755708599348409,True
9,0.0009275793650793646,295,0.5414353619116712,1.3857204024626997,False
10,0.030157403143906195,593,0.9557525846126637,0.005052798588026208,True
11,0.029763723411739235,624,1.0061357220607223,0.08042005387827415,True
12,0.03115250038371532,483,0.9483249672486835,0.0566752317475587,True
13,0.029197803550644115,401,0.0023746681150071947,0.06346070289080696,True
14,0.028930765799470615,451,1.0030728144830947,0.34221978002463316,True
15,0.02115678919969816,625,1.1869542430295072,0.4096117551937306,True
16,0.03282991107401891,344,0.7798343576327312,0.037068706566381636,True
17,0.03187106292288632,352,0.6868267838764109,0.3858476834809944,True
18,0.029263011140529403,79,0.6354596192919398,0.4777479841541964,False
19,0.021725810758093305,339,0.7318334972950487,0.6371128217115465,True
20,0.033678185315222375,192,0.35325860250400787,0.24671477562127345,True
21,0.03333441253213648,199,0.33958392825708567,0.25864309750226355,True
22,0.03373717352237727,188,0.3192256903268832,0.2367035722346457,True
23,0.03491070629164937,7,0.31828832867002665,0.24785833162410287,True
24,0.038191298779786345,37,0.2753517853081757,0.21829699320562032,True
25,0.03155465382500052,48,0.04055641736579202,0.5510470814361974,True
26,0.03751440130846904,11,0.21982021185456302,0.2229041358976711,True
27,0.014996722433265521,26,0.1789994884724625,0.793716880808809,False
28,0.03026260104498432,114,0.22004687245566978,0.57122974230126,True
29,0.03113721573104155,29,0.46379326171016294,0.19773278377424747,False
30,0.033056303000652605,129,0.20865766158256394,0.48067867999925284,True
31,0.03398589687016388,183,0.39810403923799154,0.20982370765861802,True
32,0.03721430410063606,12,0.45014442421854645,0.1801183450019058,True
33,0.03571986157476724,12,0.1437762112535159,0.40068869340024793,True
34,0.01743158279293449,93,0.12404299472940544,0.7109867721598214,True
35,0.03164499875292601,247,0.09588910083610758,0.38003473228187556,True
36,0.03716478886075019,79,0.2055428577556448,0.1411628788442918,True
37,0.037020795761227306,82,0.2648782048440785,0.15864956516490908,True
38,0.032627049678319135,260,0.42790429783647843,0.1290302870826995,True
39,0.026092940600897896,143,0.49970679825907194,0.136746224808462,False
40,0.03698250418889051,72,0.25188972177858115,0.00047321499699098934,True
41,0.03646539209291058,76,0.26399069491034344,0.3111411871336523,True
42,0.03429568688205916,147,0.03776015390379908,0.15940256199166103,True
43,0.02717361830576986,733,0.42475573150620866,0.14023415153222157,True
44,0.03539089779747552,112,0.5740522658200127,0.31956558409823566,True
45,0.03730866604632755,57,0.13228781882121637,0.12765450514003818,True
46,0.002864441438675932,52,0.11566468853969017,1.0488806260278702,True
47,0.019935435932363823,151,0.19751173667558614,0.0005604811533639342,False
48,0.03690495775935987,12,0.06778551594005877,0.3114007677129348,True
49,0.03243161876622828,284,0.46035448652066957,0.09290224205949049,True
50,0.031398733580190324,225,0.024146096564808484,0.4634563094712514,True
51,0.03720168546870834,76,0.2633084703152842,0.1566611917393797,True
52,0.03756937649489057,56,0.3651920323780863,0.09171891339794694,True
53,0.0378570868986869,46,0.36842543839272707,0.09742259797546339,True
54,0.029176823126511053,532,0.5385010648252606,0.07705922405274276,True
55,0.02795883935766095,915,0.3438734469529114,0.3019516867098385,True
56,0.03762259698399946,41,0.5977678299469251,0.24123496688827958,True
57,0.03579147241088259,152,0.38222699202348237,0.04321399132659043,True
58,0.03284219795224051,53,0.6075806155750666,0.21131475990600448,False
59,0.036421940351483384,115,0.30309393339158186,0.08303881154529366,True
