KFold search
topK[5, 200],alpha[0.01, 1],beta[0.01, 1]
best: acc=0.08560899339601591 with {'topK': 35, 'alpha': 0.3640454616932409, 'beta': 0.24726782706950345}
topK,alpha,beta,result
100.0,0.6338252291812301,0.9306760721542913,0.008934099970222337
125.0,0.07013993826108035,0.15371656597650285,0.08230141002531728
173.0,0.9430027841681364,0.43018192502411073,0.07105570721613909
160.0,0.3086186319429173,0.5993297596306892,0.06958575260714375
146.0,0.7570792557163268,0.23151504793978275,0.08126481304419111
174.0,0.45036492610985235,0.47947234729655974,0.07820719029378358
52.0,0.6915051196749682,0.955209672903224,0.007873425877948426
140.0,0.6975389263555751,0.04849637963491807,0.08183845580729422
148.0,0.9342785591301769,0.3582614336157838,0.07474296342545309
136.0,0.45667925515695196,0.6819940480719083,0.054111619339495806
76.0,0.03182118667219422,0.06897391370110377,0.08234195298680928
77.0,0.014041854819990762,0.02722439558917128,0.0808849268318159
17.0,0.020486683078687524,0.173435249837037,0.08050522063828328
106.0,0.17788078243288288,0.21947516354193142,0.08380348726327101
73.0,0.19593048796573842,0.2766689352895004,0.08488031826307596
200.0,0.2127572850333273,0.3101659133182354,0.07961774138714299
35.0,0.22848821590974894,0.2949444538583097,0.08535613378618542
5.0,0.28014638772200606,0.3220690482416959,0.06950389455294202
41.0,0.36656380624444507,0.4013767357247724,0.08359389586614062
43.0,0.1568671278258577,0.5613216301455966,0.07382290327569654
64.0,0.3815614127997081,0.2738703419388491,0.08553369655337661
70.0,0.3598888198978436,0.2721815761684331,0.08548359352837756
58.0,0.3803520432480706,0.12948646536136416,0.08477496310236192
31.0,0.508148611475782,0.2771599913680803,0.08483271985315359
96.0,0.2766355992235341,0.36966636512502327,0.08286936563052397
67.0,0.36694646062648156,0.2216192101777249,0.08560540701268624
64.0,0.36259650760233764,0.12257925345222759,0.08464803208905856
89.0,0.526035485575413,0.2111061052749715,0.08468873553539993
116.0,0.41583479193076467,0.2204172284927854,0.08403024024264909
85.0,0.5256268964880024,0.11127520393167836,0.08412199146475305
108.0,0.573087203378063,0.4490956601308598,0.0800530647360109
28.0,0.3035956950379655,0.3277837046545704,0.08486148430799019
65.0,0.11971662726368326,0.2778940519160497,0.0848959640602555
46.0,0.25647077111078265,0.39006538664689383,0.0836970319598904
31.0,0.3348198239119975,0.1721197148301285,0.08438279039412984
57.0,0.2492269293763698,0.42885082676673947,0.08224018919361796
21.0,0.426731259807705,0.25519948397102976,0.0835857706470503
89.0,0.10473202257027016,0.16665841262998599,0.083839352686185
68.0,0.3248624430228406,0.34480371714136426,0.08459283357755953
52.0,0.22669935240156988,0.5164009486991505,0.07775590554832494
41.0,0.45832940325668564,0.011450789228588165,0.08035006768909482
66.0,0.10015534665990844,0.2748934372659781,0.08477478370933575
81.0,0.12518596679288166,0.21644354047840894,0.08458230094839139
96.0,0.14766239606020967,0.31766723373665817,0.0830960906840686
60.0,0.22835572554690525,0.25186109618118946,0.08554635733377988
54.0,0.31118682866332015,0.10683607755387856,0.08411917299313765
6.0,0.22488571187471568,0.07878177987227741,0.057697155042136
74.0,0.39931242966645697,0.17107634847567518,0.08517492420750719
35.0,0.3640454616932409,0.24726782706950345,0.08560899339601591
125.0,0.34584641297044527,0.23470987889521683,0.08352706260450914
18.0,0.43814921119198297,0.3628533873462692,0.08233567358905365
36.0,0.2878427371082059,0.30330844779283606,0.08540830500642951
49.0,0.36915225294218657,0.20077710100445778,0.08558082612402551
46.0,0.3880242190121561,0.2025864078133309,0.08548666008628121
47.0,0.3906567392869649,0.20629817216466817,0.08553696375426077
24.0,0.46550375954500334,0.06296235695415198,0.07924994013079614
51.0,0.40584098474510427,0.1489997349581663,0.0849038947200663
57.0,0.33788064347822555,0.18083880154312237,0.08549545801877598
11.0,0.19564128702351968,0.2472760478511553,0.07998944029423097
38.0,0.37444859106015266,0.14520820903765147,0.0843637478862052
