RP3beta con kfold, ulteriore run
topK[30, 80],alpha[0.2, 0.5],beta[0.15, 0.35]
best: 0.08587529780710541 and parameters: {'topK': 47, 'alpha': 0.38902987595136235, 'beta': 0.239545804948921}
topK,alpha,beta,result
75.0,0.25542868346534076,0.3114460485816498,0.08459415678468374
40.0,0.33888290670869947,0.27714866073777833,0.08560136939239184
74.0,0.4171442347674371,0.2704013143518515,0.08522875098027922
59.0,0.2446058422823693,0.3402802918176115,0.08473445231781114
66.0,0.44675668250477235,0.19548137972208182,0.0853169834345465
49.0,0.487930301446355,0.2939769817642993,0.08505060830735398
44.0,0.24273890889948932,0.1662542678278611,0.08492146988223766
77.0,0.43277944332768603,0.24067411240150488,0.08519563302905112
33.0,0.22889255667222447,0.1601907277551812,0.08434789556405571
49.0,0.30561935562771725,0.3311611504638101,0.08510407358430286
30.0,0.33191417000770973,0.24147948748204717,0.08529007711256094
64.0,0.3795902692727687,0.20748965657874463,0.08552934391704733
63.0,0.374622027157049,0.2142423489816508,0.0856426718715893
41.0,0.36436422468786805,0.2722462816153543,0.08561049218682366
55.0,0.3729029880115243,0.23101254986785602,0.08582177758157523
56.0,0.3911243627446792,0.2100687871494218,0.0856513136039161
53.0,0.40424018405498907,0.2227643318638481,0.08576596859184185
51.0,0.40660653385299367,0.2301843972979105,0.08576684854995179
69.0,0.45947535996824646,0.252284054803524,0.08522428077141476
50.0,0.4058098731680259,0.1863102530704619,0.08544430853155614
57.0,0.49129294866895945,0.22951559198130653,0.08539876181304688
53.0,0.4126923742305788,0.2516734144298467,0.08576163723062447
44.0,0.3902197141080899,0.2235574740911448,0.08563464921595997
61.0,0.354568535025787,0.22246276298176154,0.08574988092626672
53.0,0.4281212498329814,0.1949550475652184,0.08545077108890414
46.0,0.40120731890589106,0.2357645116299538,0.08576516580458528
36.0,0.4527971363495684,0.2563475306344545,0.08537285920234597
53.0,0.3659190001936244,0.2273752321593366,0.08579933204921042
70.0,0.3245878098881474,0.23765373214254018,0.08552410290611384
59.0,0.36905527316533626,0.17424359560717145,0.0854417820734837
48.0,0.27624869457624196,0.26180826279983477,0.08575267352405197
53.0,0.3569156382213643,0.22579288636044081,0.0857572583736325
54.0,0.38248776371239956,0.21398349893687915,0.08573054677032288
51.0,0.34586615401211024,0.20076671280838662,0.08569644094467985
58.0,0.394942609312099,0.2443676753696859,0.08571789763016029
40.0,0.41817170609037396,0.2273977636441988,0.08553746911582712
61.0,0.3671637300246305,0.2640943166872901,0.0855515796678053
46.0,0.33996760425405964,0.2789753812213994,0.08565329529210128
56.0,0.4098389715885856,0.21599332095976675,0.08575101829536812
51.0,0.43174930906543335,0.248471453625691,0.08561592797140904
43.0,0.20204419760128473,0.18979583026141456,0.08506330869012492
47.0,0.38902987595136235,0.239545804948921,0.08587529780710541
48.0,0.3832387458941458,0.23503721473189096,0.0858263671988343
47.0,0.3827922521678638,0.23468705505730098,0.08579330300198448
37.0,0.3815051377841943,0.24027559343669144,0.0855323423613912
46.0,0.3525265489215758,0.23345719400717135,0.08571640329516914
48.0,0.3712040357863954,0.2435106234247313,0.08579108237970523
43.0,0.38837586740542357,0.20355244727084507,0.08551969755504545
48.0,0.3334662892700876,0.21712934516299795,0.08578457158288118
38.0,0.3609911833999768,0.25624260417216943,0.08568803899091673
42.0,0.37773647739670496,0.23603167967683808,0.08577890338149632
80.0,0.3741909984156717,0.244277608948567,0.08531277133993924
47.0,0.39607957488297674,0.2454990677983315,0.0857566379517057
50.0,0.37031612915270745,0.23264017353034,0.08581952367134263
55.0,0.34588704156695654,0.2191763139877009,0.08567639426661974
49.0,0.3621122112258578,0.23233786275427473,0.08583261640412893
50.0,0.3633301482303744,0.20615865282034346,0.08566086083798233
45.0,0.32795958883771364,0.2272783225008043,0.08570888636309519
52.0,0.3547510751058409,0.2110371613482129,0.08575897434378794
61.0,0.3882899544111333,0.22083688129657564,0.08571192456561312
56.0,0.4013793160575284,0.23052715148097513,0.08580531476103696
55.0,0.40216284525957885,0.23299404831848292,0.08582106386979224
55.0,0.39876825011556793,0.24003404460568836,0.08582284806949894
50.0,0.4117529993295995,0.24995856223039342,0.08570667435874813
58.0,0.4224164605659815,0.23494842236423227,0.08568709117228918
55.0,0.40006292004468863,0.24211891236795124,0.08579652113012295
66.0,0.43895290158105543,0.2547874196366772,0.0854334908490899
49.0,0.3911557920921212,0.22310516179888162,0.08570963354142322
60.0,0.3741379717264069,0.23951042397573674,0.08561467759166101
63.0,0.4158340889122385,0.2101674910977163,0.08560781285509492
