best -> topk=21.0,alpha = 0.4029792567152519,beta = 0.19680626151757433,accuracy = 0.03931838484259118
topK,alpha,beta,result
22.0,0.42585933112510055,0.18597686611628755,0.03900088050012455
22.0,0.46513473903059044,0.20429164376823677,0.03885332468842346
24.0,0.44106960695237585,0.18229590776588814,0.038974925757830896
24.0,0.41492896285777864,0.21782942442554049,0.03884630470107082
25.0,0.4673263523534728,0.21652507258140585,0.038824052061571454
22.0,0.4357456352672927,0.18830260747449404,0.038977331124078994
23.0,0.42675426711542086,0.19115345175271875,0.03904658646111045
21.0,0.4755582348302341,0.2008223091874657,0.03890136397473815
20.0,0.4245806425281785,0.2123722490158848,0.039135721089579356
24.0,0.40058862448603644,0.21351515946410793,0.03893280583371411
28.0,0.4478662129245102,0.1720363628693332,0.0389777593673212
20.0,0.42488451626588986,0.1965100927453768,0.03921205244578962
20.0,0.4143739705756257,0.20689396250417336,0.03909232844255584
20.0,0.4496378784229471,0.19881617552857794,0.03901158257890514
26.0,0.4269737554663007,0.2095298216282826,0.03877024149717098
20.0,0.41410869914207526,0.19554198496996733,0.03923125135076765
21.0,0.40534779488796113,0.19571211387074214,0.039257986536353214
21.0,0.40303347424073693,0.19352555717081668,0.0391970599300408
21.0,0.40922631822300737,0.20187228250299724,0.03910359884414401
27.0,0.40749424891739366,0.1957796081627818,0.03898810924605231
23.0,0.4151438289444195,0.2051139095799787,0.03905880139919533
20.0,0.4004445325990801,0.19730546010638103,0.03917362261764729
21.0,0.41860628714690756,0.19431707836080453,0.03914269705192602
20.0,0.4091818989275462,0.19935590710478981,0.03915679305845759
21.0,0.4205671306204047,0.19094956941628888,0.03909613060218255
22.0,0.40815853687017833,0.20253614060894368,0.03910644045818084
20.0,0.43212429664417523,0.19640144990518052,0.03917487933146073
23.0,0.42067998553734365,0.20739343772412897,0.03906826277325579
21.0,0.4131490274897347,0.20048535228545625,0.03903828574630445
22.0,0.40534980523719344,0.18515652827969464,0.03911845128032771
22.0,0.4220091910640066,0.19200856277497086,0.039103959048740214
21.0,0.40442891608479375,0.1942611698300727,0.03920901071808841
20.0,0.40452534911484245,0.19685710027555953,0.03916783533046819
21.0,0.41187748261260454,0.19380822821356464,0.03921465392342904
23.0,0.4119715018049153,0.18851879940304028,0.038994989153839886
21.0,0.4168768641962239,0.20274199648524163,0.03908639307126502
22.0,0.4114383167658729,0.19825516868851878,0.03914816815951522
20.0,0.4154371505146232,0.18929225064369612,0.03904221197640305
25.0,0.4186491108814477,0.18563489395658725,0.039223799117899485
25.0,0.41086090289794003,0.1847597571961881,0.039135500964548375
25.0,0.4178038113095779,0.18159382357412526,0.03917251799021895
26.0,0.4246105892422296,0.19206607654762411,0.03904452529036537
24.0,0.4294377570738794,0.19488448684805776,0.03907503461966444
26.0,0.42280521124063514,0.1873115382997975,0.03911640611867594
25.0,0.41725128762693414,0.19033969331251147,0.03920872655668468
20.0,0.41212735870670936,0.19969134965510243,0.03911763881884947
24.0,0.4272825452633497,0.1928935193645786,0.03908256689799858
21.0,0.41876764487710794,0.19689840221217764,0.0391340321302505
27.0,0.40662330514072026,0.19454869912744366,0.03902572661271658
23.0,0.40201679318188427,0.19016121273786432,0.039142036676832956
20.0,0.41359121163293355,0.19880827224471243,0.03919906907123283
21.0,0.40412300159778575,0.1930879159187588,0.039207141656461435
22.0,0.4068978146195144,0.19497287634266058,0.039190051949507934
21.0,0.4009550242195503,0.20073391979674296,0.0392013663761022
20.0,0.4090502227394355,0.196104495510353,0.03922050524698074
20.0,0.4097731239752828,0.19767863477339406,0.039215166214410235
20.0,0.4102964603190059,0.1974566035214796,0.0392287779458737
20.0,0.4088164400060267,0.20391452769258236,0.039101641732504515
20.0,0.4094323431434324,0.1970983640156205,0.0391989810212205
20.0,0.41508610047792244,0.19914659450259894,0.03920480032658587
20.0,0.4026317890183392,0.20152424486994025,0.03914067590391386
21.0,0.40649167542467657,0.1979374821430764,0.03924199345228146
20.0,0.4069634255100314,0.1980178779487956,0.039157697572221456
21.0,0.4002539239522155,0.1963558301647727,0.03924562751642994
21.0,0.40009440212160785,0.19519373044079816,0.03924117698853002
22.0,0.4006139710940124,0.2001626601822932,0.039147435743502934
21.0,0.4045746222018296,0.19220904811606485,0.03918797476966974
21.0,0.40283028277747,0.19561076497132204,0.039257878474974334
21.0,0.4032687493881106,0.195781682043173,0.03925666978844039
22.0,0.40236473391159716,0.195467666618883,0.03915877418373698
21.0,0.4004966442167418,0.19563710009390997,0.03923164357355032
21.0,0.4007019087781185,0.19550834564608838,0.03923787911533805
21.0,0.4002252819427777,0.19335769715763945,0.039205764874449246
21.0,0.4054340367379426,0.19575403823449944,0.03926215290284938
21.0,0.40384104194167486,0.19129681173628502,0.03915372731711666
21.0,0.40642640030858146,0.19874077309676172,0.03921426970519314
22.0,0.40294850649874125,0.2004589833623407,0.03914700750026075
22.0,0.4056833912898537,0.19382985933655178,0.03915340313298012
21.0,0.4029859653711817,0.19650679588127234,0.03930460901792277
22.0,0.40559517906931597,0.2020064941719359,0.03913052213657416
21.0,0.4029792567152519,0.19680626151757433,0.03931838484259118
21.0,0.4034707673615334,0.19657051315064428,0.039299858319526086
21.0,0.4034498995094855,0.19812874618471366,0.03922842174355092
21.0,0.4076994354588161,0.19648256179103077,0.039260403909421135
22.0,0.40296298800304625,0.19673721751298498,0.039180850723211404
21.0,0.4083031490085165,0.1996145276078893,0.03918640587853957
21.0,0.40477297450754746,0.1941258332035751,0.03921543836899413
21.0,0.41152110472853654,0.19271974878869358,0.03926505855325877
23.0,0.4123669232126198,0.19235244003146046,0.03914086000848536
22.0,0.4076930124694657,0.19286069709319303,0.03909771150013263
22.0,0.4105695905145477,0.19100727943850965,0.039098760095734895
21.0,0.40228158705918265,0.1965016148899001,0.03927952276893335
21.0,0.40566335152376676,0.19401031294190818,0.039221141608434124
21.0,0.402672889920182,0.1966481242765931,0.03929335462542782
21.0,0.40211711696833446,0.1970217279011907,0.03927538041607692
21.0,0.4074039705178659,0.19867507724186734,0.03920361165141859
22.0,0.4048273891346379,0.1973595500271758,0.039186646014937085
21.0,0.4019150783430801,0.19963951030355107,0.039220765394744804
21.0,0.4083037794796736,0.20108973978216432,0.03911890353720968
21.0,0.41073174431009124,0.19475551437335897,0.039185641444340905
22.0,0.4021168653951317,0.19700049383863752,0.03918843903337158
21.0,0.40401260870079425,0.1943151251838243,0.03920964707954172
21.0,0.40602032162628454,0.19629529932195675,0.03928179606016275
28.0,0.41314055217491824,0.19610667763556344,0.03890079565193084
21.0,0.405908639729292,0.19889519736872943,0.03922977851419664
20.0,0.40808643719115323,0.19313645913259828,0.03923098720073049
21.0,0.4052844226242897,0.19659269610602076,0.03930967189363617
21.0,0.4102232906748272,0.19795415595998514,0.03920277917857399
21.0,0.4018206924421194,0.19663562644691263,0.03927609682299607
21.0,0.4018180611155224,0.20014492325013641,0.039202995301331735
20.0,0.4045874976810298,0.19474178434940326,0.039235769917313486
21.0,0.40690491781782123,0.19642895253511106,0.03928382921499471
21.0,0.40185241469217386,0.1972287101172991,0.039268112287780044
21.0,0.401775993588294,0.19714753228714363,0.039261512539122814
21.0,0.4036806743781574,0.1980044188749413,0.03922820562079319
22.0,0.4018937297378221,0.19885899993702658,0.03918363630542209
21.0,0.40707847270337016,0.19646776679243427,0.039273715470387764
20.0,0.4065763989050785,0.19671590645046738,0.03921337719824908
21.0,0.40007890926920703,0.19958639515164414,0.03920641724499575
22.0,0.4092587580425476,0.20136136686046352,0.03911992411689899
20.0,0.40408608457506584,0.1950526878019552,0.039236818512915835
21.0,0.4070132501380235,0.1934513612229749,0.039216030705441204
21.0,0.40192364161830074,0.19762426262664376,0.03927072176996594
21.0,0.40183425231102626,0.19748400935079455,0.039273015072561826
21.0,0.40291370413031485,0.1964517309274639,0.03929835346476857
21.0,0.40353897012986195,0.19605063190144814,0.03929789720561337
21.0,0.4052366705550524,0.19612567999883065,0.03929919394215973
21.0,0.4037699100623899,0.19489681353370522,0.03924445485035556
21.0,0.40515683695175936,0.19599302871570773,0.03927468402052423
20.0,0.4092686975031096,0.1985253841858823,0.039166822755325424
22.0,0.4000842072885104,0.1939118460551751,0.03922341890193689
21.0,0.40537373055238046,0.19607453566715466,0.039276348966213376
21.0,0.4032493543749063,0.19544577000896615,0.03924339424793336
21.0,0.4057625553512922,0.19625647933369683,0.03928358507632393
21.0,0.4060262230378576,0.19627579495075018,0.0392767531958158
21.0,0.40553312891535603,0.191687243119031,0.03919271746351983
21.0,0.4087744372518811,0.19459537832877621,0.03919894099848768
21.0,0.4057460703077969,0.19905610902292079,0.03922370306334056
21.0,0.41365674604815983,0.19604944458593174,0.03914633511834773
22.0,0.41134612326732334,0.20014869346548217,0.03914521448182627
21.0,0.4064682566306096,0.1982260892434743,0.03921248469130525
21.0,0.4037908557114207,0.19620073858228135,0.03930413674967441
21.0,0.4039638198168296,0.19377178328888556,0.039212724827702675
21.0,0.4072181183494097,0.1958287963660675,0.03922050524698084
21.0,0.4049770857500137,0.19499456056562053,0.039234685301251654
21.0,0.40327853901220273,0.19804516068099026,0.03925994765026594
21.0,0.40822210714601637,0.19650010835993129,0.03926258514836485
20.0,0.4097538906764466,0.1931671141532753,0.03925474469498723
21.0,0.40469599641854415,0.19212881034234208,0.03919167687246412
22.0,0.41540769266944333,0.19446750056253154,0.03913406414843688
21.0,0.40001009366329765,0.19554244513777314,0.039236030065077504
21.0,0.40308456428174755,0.19738647948149152,0.039285013887888895
21.0,0.4031859127608494,0.19754186365370632,0.03926745191268698
21.0,0.4064569076529215,0.1992159777211543,0.03919513083431446
21.0,0.40507620581311315,0.1966681987013023,0.03931151694162342
21.0,0.4032980477243492,0.19698433262763151,0.039286410681267536
21.0,0.40316915786013363,0.19815221035315675,0.03922649264782455
21.0,0.43914775486246477,0.20056954025566834,0.03909999679818185
21.0,0.4040041870509113,0.19710836356366526,0.039283957287740014
20.0,0.4077804506653159,0.19734196712048585,0.03918203139383216
21.0,0.40127987563473294,0.19967826727898122,0.0392163909100375
21.0,0.4039621240840114,0.1966205430043666,0.0392985175579735
21.0,0.40420791668901834,0.1952746777973611,0.03925556115873872
21.0,0.4032767951622147,0.198473276932561,0.039239732167871945
21.0,0.40496743200172763,0.19663530634448023,0.03930994404821997
21.0,0.40135253898359624,0.19744005307470008,0.03926459428955707
21.0,0.4044639045416473,0.19436529366967376,0.039222910613228856
21.0,0.40010217844087326,0.19698731422141558,0.0392522672878201
22.0,0.40782281766535994,0.19891727963303976,0.039136421487405454
27.0,0.40279694029495344,0.19521868643687695,0.03899640595858508
