topK,alpha,beta,result
20.0,0.3881672914882097,0.20368109270563772,0.038867001569507
21.0,0.42777965866737094,0.2012884254720262,0.038749649305906866
21.0,0.3306810446017169,0.2084971413267377,0.039012325194024616
18.0,0.331631922216941,0.20217150946526094,0.03883464553043435
18.0,0.3533729548101313,0.20270255930101921,0.03868242826201668
22.0,0.38857910090775744,0.18683719198969279,0.03896780507981453
20.0,0.38204383657184277,0.1947769629609162,0.0389767347534246
17.0,0.42604611129369596,0.1994866616369497,0.038688203692749217
17.0,0.34947174870905406,0.1912486011188901,0.038746499070961705
22.0,0.3633938814025086,0.18551982549076737,0.039100423558307146
15.0,0.3674804587330316,0.1800381293574047,0.03884293794277683
22.0,0.3340354487075649,0.19641785103988768,0.03894400196869706
20.0,0.34693311822728495,0.2098099353572901,0.03909602685635476
20.0,0.36511979390055527,0.20672409712587367,0.03900299472716472
21.0,0.3501232867327352,0.20977351206179512,0.038924972305187024
19.0,0.3581280570511536,0.18793956066321618,0.03899451394199452
22.0,0.3737455437789229,0.1967018039199104,0.03885129848997193
19.0,0.34079844661499703,0.2055523120678809,0.03895585743303207
21.0,0.36195172582348717,0.20676504118829428,0.03897455443814455
20.0,0.34370101281278953,0.20995913578487285,0.039057779156507225
15.0,0.37327029961523106,0.19989063424991171,0.03880369226773672
20.0,0.34203158542023127,0.2086450738443724,0.03901633713445715
19.0,0.34580805985774676,0.20556389506952227,0.03896453460689457
22.0,0.3576710343027797,0.20938711256024084,0.03897342019324711
21.0,0.3419866394427276,0.20545699211623877,0.03899018938282706
20.0,0.3535396424835581,0.20971308486672258,0.03907421568768977
17.0,0.35798997608085326,0.2033832555059294,0.03874136891736181
19.0,0.35233797322228794,0.19926185239369046,0.038911998627684484
18.0,0.36722060670127776,0.20781675227301463,0.03886770696562691
21.0,0.3382241618298851,0.20437226777741946,0.03905085745707964
20.0,0.3504295831471058,0.20413627990404987,0.03908555412873227
20.0,0.3496414479681193,0.2073655558453248,0.03909422729466224
20.0,0.34849055612230867,0.20695995663887162,0.039055057770339685
21.0,0.337758032703386,0.20443721028588416,0.03904098992726463
19.0,0.3468521096271166,0.20748346876940843,0.03895501576720707
21.0,0.33053381659286435,0.20289326407543137,0.039011467496469686
18.0,0.35546456070084553,0.2012889753192676,0.038684668696284175
22.0,0.3358166077516417,0.20751604355933093,0.0389623743312771
20.0,0.36282817194464473,0.20373246568426828,0.038998233303354675
16.0,0.34586203156776935,0.20120611499922864,0.03870419133549179
19.0,0.3531224922580222,0.2086421353031078,0.03888500520229703
20.0,0.3523781607887352,0.20869320123210636,0.0391115936661848
20.0,0.349509795841714,0.20834503526098136,0.039084083217504756
20.0,0.3599042879797939,0.20600928211592345,0.039099449630709784
21.0,0.36084687802912685,0.20601925959501946,0.038976434158487075
22.0,0.35685424399881954,0.2081752500400963,0.038985800696739605
21.0,0.36672570792335635,0.20616602598963604,0.03887019188377693
18.0,0.37088594044902035,0.19303391848300436,0.03865776344541156
19.0,0.3611120724715789,0.2050656473579749,0.03891606667917208
20.0,0.3800564880502984,0.20725853420609805,0.0388868528591795
22.0,0.3349342082193045,0.20987497021780216,0.03896699547744957
20.0,0.34976380750780944,0.2041736488296224,0.03906543430758225
20.0,0.35439660499745257,0.20673632248147883,0.03913205416159731
21.0,0.3531401222135263,0.2065715445946196,0.03901204063081711
19.0,0.34438348221319903,0.20908517947389832,0.03891290041249706
20.0,0.3583954942978449,0.20838977300215233,0.03904230853705725
19.0,0.36399732068464097,0.20626080938074892,0.0389219182606221
20.0,0.34124050089710717,0.1810502621380149,0.03904840059445711
21.0,0.3544619699479046,0.20524770514620266,0.03901941522661712
20.0,0.3463546966300295,0.20263038875134967,0.039107786130309755
18.0,0.37079366109217154,0.2028758972320332,0.038724030601366734
20.0,0.3467856247638983,0.2074979463623397,0.0390694783114747
20.0,0.3436071197170108,0.2089841269700963,0.03905920998840972
19.0,0.3594156766960171,0.2065090404693436,0.03893134892579464
20.0,0.35145705649013653,0.20527097771172592,0.03905619201523728
21.0,0.3555243179607724,0.20913274206564644,0.038901433717614446
