EASER step2 recall optimization
topK [150, 500],l2_norm[40, 90],normalize_matrix = False
best -> 0.14100370207660598 and parameters: {'topK': 316, 'l2_norm': 66.5440287618409}
topK,l2_norm,result
183.0,85.45410591101353,0.1403117683721596
480.0,83.51777563796591,0.13923098005863502
351.0,62.42567395329194,0.1405359541390828
307.0,66.37494989284495,0.1408930424048272
460.0,53.02744470654021,0.14028314854134144
334.0,85.74104073165714,0.1396748606736301
393.0,83.79502601211976,0.13917304066006506
451.0,55.60574824495093,0.14018242948623783
342.0,60.572607243990156,0.1402144391820814
164.0,70.83903059848546,0.1404428982610167
242.0,41.778691120146654,0.1400197960096942
268.0,67.82553424138781,0.14065731555043662
262.0,73.00021031726392,0.14070975453736076
265.0,74.5553023802577,0.14079203050592237
219.0,77.72627717538886,0.14048552321360802
296.0,75.86565747806812,0.14029742122905792
396.0,49.86825617638272,0.14072907606395366
301.0,64.58454464453979,0.14055119376209754
207.0,78.68358394414811,0.1403772227614128
407.0,69.7767974413081,0.13939201172339194
298.0,59.40832719173484,0.14056749031870783
373.0,43.42042336320311,0.14007663037195497
414.0,48.66676249014664,0.14042418542259477
372.0,47.70193683586351,0.1401989145983641
305.0,55.6600473579814,0.1404880365824124
430.0,67.09953555272017,0.13963500842910648
265.0,73.82203429865095,0.14067116531071897
320.0,65.05554515082564,0.14076554728951368
234.0,89.9043962541572,0.1402747932118952
194.0,65.48642509980415,0.1406770454767972
319.0,80.3094522333824,0.1401869500528004
284.0,62.96506336579147,0.1401807535041209
361.0,58.644769310442,0.14046993660382218
332.0,71.91504993456991,0.13947711839927743
496.0,50.915699726249606,0.1396061707912981
322.0,68.1504752487343,0.14083258118094202
319.0,68.21150102308911,0.14080402326438826
247.0,69.279071063403,0.14059196850722108
279.0,80.91387014614402,0.14032253218320828
341.0,75.98733209976811,0.14004350115048358
320.0,62.06930345329925,0.1405498482043819
316.0,66.5440287618409,0.14100370207660598
354.0,67.6607779202048,0.14012619184835312
290.0,74.4743563458213,0.14085958571134177
311.0,71.30085518850284,0.14045544651842817
281.0,57.33189336784028,0.14039322348782327
335.0,62.483088326556725,0.14070521395337596
363.0,69.51905861146118,0.13969682353479448
252.0,66.00058689283073,0.14070315941708925
290.0,72.90070103293164,0.140494562403227
