{'similarity': 'tversky', 'topK': 19, 'shrink': 58, 'tversky_alpha': 0.4887535976845104, 'tversky_beta': 4.914103478159176}
trialid,accuracy,similarity,topk,shrink,asymmetric_alpha,normalize,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode
0,0.11485545276414387,jaccard,736,184,,,,,,
1,0.10567927769449766,tversky,362,12,,,4.454953264849701,0.9265853644245697,,
2,0.12080770521228924,dice,391,91,,,,,,
3,0.12570690184837194,jaccard,893,25,,,,,,
4,0.1157172571759457,dice,448,170,,,,,,
5,0.11021747485966171,asymmetric,576,195,0.6262949896428236,,,,,
6,0.12008182574058701,dice,982,81,,,,,,
7,0.12010211363985498,dice,437,98,,,,,,
8,0.07039838159567863,euclidean,198,145,,True,,,True,lin
9,0.11599710605989082,jaccard,713,147,,,,,,
10,0.1218770969420177,cosine,978,4,,,,,,
11,0.12132478483085612,cosine,992,3,,,,,,
12,0.1188293844293271,cosine,821,45,,,,,,
13,0.11895068671218635,cosine,860,44,,,,,,
14,0.12496253933207697,jaccard,609,42,,,,,,
15,0.1253455814828433,jaccard,25,48,,,,,,
16,0.1250996882299872,jaccard,21,71,,,,,,
17,0.12582373704595776,jaccard,242,29,,,,,,
18,0.04165196632933338,euclidean,251,27,,False,,,False,log
19,0.1235485434731447,tversky,160,126,,,0.17038309713253152,4.240331247932764,,
20,0.06098850184171475,asymmetric,549,62,1.9767276091331367,,,,,
21,0.1280251846293523,jaccard,89,26,,,,,,
22,0.12727073666510572,jaccard,132,19,,,,,,
23,0.1277015999811476,jaccard,127,21,,,,,,
24,0.12735956283870795,jaccard,120,16,,,,,,
25,0.1253768158935517,jaccard,89,62,,,,,,
26,0.12173485373874142,jaccard,332,0,,,,,,
27,0.1201137078762191,jaccard,294,120,,,,,,
28,0.09570452503130253,tversky,91,35,,,4.75395880949009,0.4071565408730571,,
29,0.1261854876524374,jaccard,80,56,,,,,,
30,0.13223736615089698,asymmetric,214,11,0.07975129634597256,,,,,
31,0.12751095813862592,asymmetric,188,19,0.07755245265399231,,,,,
32,0.13154810359373864,asymmetric,209,11,0.07007155414062546,,,,,
33,0.1301670950770659,asymmetric,304,10,0.04362618264628207,,,,,
34,0.1301039236261809,asymmetric,292,9,0.024896307721409876,,,,,
