{'similarity': 'tversky',
 'topK': 186,
 'shrink': 49,
 'tversky_alpha': 0.457927493309229,
 'tversky_beta': 1.7403219296132904}
best -> 0.4333118755316039
KFOLD -> 0.4638778337724706
similarity,topK,shrink,tversky_alpha,tversky_beta,result,normalize_avg_row,similarity_from_distance_mode,normalize,asymmetric_alpha
tversky,147,148,1.8528435891128063,1.995389875605565,0.416162221493847,,,,
jaccard,703,198,,,0.39114387426370784,,,,
euclidean,443,96,,,0.31223097334386796,True,log,True,
tversky,135,93,1.2438496283136968,1.3335650547695468,0.41584716406706934,,,,
cosine,366,13,,,0.41582699650319704,,,,
dice,526,127,,,0.39764189580393344,,,,
euclidean,604,23,,,0.047180112455327355,True,exp,False,
euclidean,270,168,,,0.037631363370585216,False,log,False,
euclidean,168,93,,,0.03561223822911982,False,log,False,
dice,753,9,,,0.4056753625960262,,,,
tversky,12,152,1.9493288966695153,1.9752420375619704,0.36759719621916576,,,,
tversky,7,72,1.4254763218059219,1.6117202720646218,0.3216488527867144,,,,
tversky,189,59,0.6228772428415923,0.7946570837479664,0.4140932939678769,,,,
asymmetric,962,124,,,0.389356852774061,,,,0.5556901573640458
tversky,138,145,1.2186819400742497,1.2965870575823435,0.40937215558556495,,,,
tversky,365,194,0.03373332334885015,0.3933872511131473,0.3738584261890514,,,,
asymmetric,285,48,,,0.2571960229292728,,,,1.9237939195396667
jaccard,107,118,,,0.4092635539826584,,,,
cosine,267,166,,,0.3904350584661538,,,,
tversky,973,104,1.957286258982157,1.87750738858982,0.40683643869481345,,,,
tversky,85,79,1.4974290258955534,1.3352390666062408,0.4174176983239861,,,,
tversky,90,80,1.5412947779987611,1.3728409753494017,0.41769033665016075,,,,
tversky,66,74,1.6281052979883095,1.3934604525297003,0.416590553397067,,,,
tversky,59,72,1.6020042414795714,1.2118793823701022,0.41390817952495723,,,,
tversky,221,48,1.572543807842709,1.5165489005541741,0.41869829139277853,,,,
tversky,217,39,1.5489007190942787,0.9775621717031677,0.4128580260933775,,,,
asymmetric,373,34,,,0.4257777306330392,,,,0.19746356889393946
asymmetric,364,33,,,0.4286996599240184,,,,0.03578114031046517
asymmetric,395,30,,,0.4295990278420946,,,,0.0807064845625896
asymmetric,459,29,,,0.427031321553444,,,,0.008660065447188378
asymmetric,554,1,,,0.21774288075253723,,,,0.02485248627100202
asymmetric,429,28,,,0.428616419944,,,,0.06516015474692675
asymmetric,463,25,,,0.4250460718725393,,,,0.0119048945338661
asymmetric,650,58,,,0.41239640633904234,,,,0.08377393097696952
asymmetric,414,26,,,0.4200181789665105,,,,0.4166391703951851
asymmetric,475,16,,,0.4045702705557198,,,,0.005725495472578002
asymmetric,399,0,,,0.3445935055774377,,,,0.5091344575633029
jaccard,317,42,,,0.4155696142268279,,,,
asymmetric,556,58,,,0.4077993605098119,,,,0.3559133307591332
asymmetric,512,31,,,0.42156877512262075,,,,0.27862766826581287
cosine,729,16,,,0.4146481735060063,,,,
asymmetric,350,34,,,0.42826535222756734,,,,0.16948159964264256
asymmetric,330,47,,,0.4253474806785542,,,,0.013731208044001603
dice,444,18,,,0.4141612257622136,,,,
asymmetric,337,7,,,0.3781496553153344,,,,0.2705239741036453
asymmetric,636,32,,,0.4234722539199142,,,,0.21508266107927204
euclidean,408,60,,,0.31466131244737133,False,lin,True,
asymmetric,476,39,,,0.4025873986216539,,,,0.6905607645389283
dice,570,23,,,0.4127498822594493,,,,
asymmetric,839,8,,,0.40030650884393904,,,,0.24060221116013558
asymmetric,280,51,,,0.42176844052068896,,,,0.19841945804178948
asymmetric,397,32,,,0.427991846480004,,,,0.17611289617113063
asymmetric,425,27,,,0.4266425931956503,,,,0.018553625834180604
jaccard,359,39,,,0.4153832832609911,,,,
cosine,305,18,,,0.416358689664532,,,,
asymmetric,528,65,,,0.41023646838773864,,,,0.19028510811757668
euclidean,232,86,,,0.33535905413168865,True,lin,True,
asymmetric,478,10,,,0.3872840028530505,,,,0.15526145624833015
asymmetric,379,33,,,0.4217237700130385,,,,0.3321687789655087
asymmetric,259,105,,,0.4035648320118212,,,,0.17847069041201918
dice,439,50,,,0.41140338365715207,,,,
asymmetric,433,27,,,0.4252588949181641,,,,0.0018404584626235954
asymmetric,354,43,,,0.42640308742012734,,,,0.0929427476919403
asymmetric,393,22,,,0.41540881527271184,,,,0.0027603787969781683
asymmetric,509,36,,,0.4250573167870751,,,,0.15731723587738977
asymmetric,416,29,,,0.4295784108420779,,,,0.13361984776536362
asymmetric,297,54,,,0.4133211743531139,,,,0.3439283011836053
jaccard,345,12,,,0.4161817801684978,,,,
asymmetric,167,190,,,0.39559912711800443,,,,0.14664325033133024
cosine,596,45,,,0.40818897193974774,,,,
euclidean,385,3,,,0.31674331899767055,True,exp,True,
asymmetric,425,30,,,0.4295840672879853,,,,0.10740440214116691
asymmetric,468,32,,,0.42750061682976703,,,,0.1294244336139902
asymmetric,524,21,,,0.4190143747635916,,,,0.4271793363516541
asymmetric,404,64,,,0.413732167198521,,,,0.15676270324098973
asymmetric,461,36,,,0.4204857914870568,,,,0.2835807960284605
asymmetric,486,42,,,0.4240401109876261,,,,0.11354679644892969
asymmetric,317,14,,,0.20876739092260482,,,,1.2405904333572952
asymmetric,370,144,,,0.3960700895141602,,,,0.089416341694549
asymmetric,425,29,,,0.4293585762597546,,,,0.11157440747157696
dice,248,28,,,0.4168856842637172,,,,
asymmetric,423,21,,,0.4240152570417231,,,,0.09226516090791548
asymmetric,446,32,,,0.4279241387257186,,,,0.12831177767161228
asymmetric,338,53,,,0.4156650162347894,,,,0.25596766342037536
asymmetric,497,37,,,0.4254467775046169,,,,0.10636675810444991
asymmetric,446,6,,,0.32729631223928823,,,,0.08150416699500845
jaccard,407,45,,,0.41391520234586154,,,,
asymmetric,540,30,,,0.4245324640327635,,,,0.24857571729691164
asymmetric,362,17,,,0.40512193351772857,,,,0.06753171433341904
cosine,427,39,,,0.4117649791125816,,,,
asymmetric,383,22,,,0.42864254282058334,,,,0.19818232656437906
asymmetric,388,24,,,0.42895046588933966,,,,0.20738295252923472
asymmetric,388,25,,,0.4281575923589015,,,,0.23259486480695113
asymmetric,318,25,,,0.42740973187985637,,,,0.26582103557051395
euclidean,388,13,,,0.04122730114272362,False,lin,False,
asymmetric,284,20,,,0.40004669666121695,,,,0.001029206633281196
asymmetric,335,26,,,0.42237105091404115,,,,0.3790350260608406
asymmetric,371,6,,,0.3595188032093139,,,,0.22871042090498767
asymmetric,300,24,,,0.41956315201218625,,,,0.0777135642916308
asymmetric,414,15,,,0.41870638931515314,,,,0.20123509868786707
dice,496,37,,,0.4123876175743775,,,,
asymmetric,395,29,,,0.4285612161864499,,,,0.18794326142170986
asymmetric,356,42,,,0.4187253384224242,,,,0.3065525809953844
asymmetric,389,29,,,0.4277885255036018,,,,0.2115155391528033
