{'topK': 25, 'shrink': 51, 'tversky_alpha': 0.8124063348128021, 'tversky_beta': 6.7297971145367015}
best = 0.14067279772604566
topK,shrink,tversky_alpha,tversky_beta,result
71.0,26.0,0.5938039827824713,5.672095678525931,0.13516699798448775
14.0,97.0,0.20956644762066098,4.2509335040212175,0.13679373352333024
19.0,76.0,0.7018593542011567,6.727820037861957,0.140101467787263
60.0,125.0,0.3711592403655792,3.7322553361571615,0.13135734046977673
3.0,49.0,0.15819911330206612,5.293814162852881,0.1124409210575952
60.0,46.0,0.055821799186519167,4.234974479879936,0.1347960266033085
53.0,93.0,0.990608917849333,4.904823458912057,0.1335492600081284
70.0,51.0,0.3120063108730314,6.88482853463926,0.1357855283949056
10.0,91.0,0.3690334096059396,4.152768106949512,0.13740768009998694
49.0,128.0,0.1469583530922041,4.20957453883114,0.1343440279163534
30.0,69.0,0.6499305552586148,6.74393053492289,0.13853258136652913
28.0,65.0,0.6472477294530177,6.907586141155346,0.1393610955977533
32.0,72.0,0.7381150909671222,6.200779702040688,0.1378690633624817
23.0,110.0,0.8135305829710175,6.195014255745857,0.1385536748326018
40.0,63.0,0.5167024616594387,6.915853395863459,0.13761485081233588
19.0,20.0,0.5037377973995223,6.310211514266616,0.13670120278227535
32.0,80.0,0.7687323673243779,3.0129555401947017,0.1344197849494926
2.0,108.0,0.6357646920881098,6.512276559602059,0.1132468233728251
43.0,35.0,0.916629208983445,5.876438066045818,0.13807925776404362
24.0,62.0,0.8399049411845788,6.603973302551382,0.1394985119958306
17.0,139.0,0.9052872867928031,6.538083869355846,0.13844625788508236
25.0,60.0,0.6999352735107537,6.981868282602674,0.13965038731923513
24.0,57.0,0.7358028020156238,6.527762454285575,0.14050119403865333
9.0,80.0,0.6974898143211543,6.988091614402595,0.1367282780265117
39.0,42.0,0.7050929592968097,5.978933764866347,0.13772351514074618
21.0,55.0,0.7833678101928399,6.4726336295192946,0.1394706209131525
11.0,37.0,0.562078708295045,6.653477251649021,0.1353497602045041
37.0,81.0,0.7107419027175741,6.130321998306545,0.13716974527019568
26.0,72.0,0.6058425926583122,6.397885938851222,0.13932985069549153
34.0,56.0,0.5934364925934655,5.689451125018612,0.13773100662995982
45.0,28.0,0.8324216058797228,5.782040948432207,0.13834421976328248
24.0,60.0,0.8517522984124394,6.6606178394282,0.13942968603232211
18.0,74.0,0.7587943921915842,6.68930169395758,0.1397196177892489
15.0,84.0,0.7392968613446682,6.727770850488362,0.13891110830974787
5.0,75.0,0.6984760461672225,6.362883066050567,0.13210910758160557
18.0,106.0,0.5663218712182292,6.009445114753034,0.13895990567461966
14.0,88.0,0.77675509110792,5.5034772690609035,0.13936252682469646
6.0,96.0,0.44610138769458824,6.973953315007064,0.1321566091480044
80.0,55.0,0.6606572019928346,6.321839560362566,0.13411091245200923
28.0,43.0,0.8929586247670137,6.735549867936857,0.138581117372739
13.0,100.0,0.9886713569061949,5.223795479863957,0.13906142368267435
22.0,66.0,0.8157826358675968,6.531475382222732,0.13986686811615578
20.0,67.0,0.7573538515462555,6.742075850740385,0.1400827489005393
21.0,69.0,0.7830593014256326,6.494708879806543,0.1395465855018043
8.0,75.0,0.7445694523058917,6.785835251882635,0.1360200705935727
35.0,50.0,0.8719695361255915,6.079826646202342,0.13734801019708093
60.0,87.0,0.8287254640133792,6.263243867443188,0.1348842294322628
29.0,66.0,0.65078808542391,6.739885821490396,0.13871684580005797
20.0,73.0,0.773227878405375,6.2161053830107456,0.13914064492046088
16.0,66.0,0.8082313749369163,6.48629109050486,0.139525894409394
11.0,48.0,0.9260632968617484,6.867480985033351,0.13822654689802166
22.0,58.0,0.7426408539035434,6.851872986565824,0.1389036581878124
26.0,76.0,0.6745885293326975,6.58091373568499,0.1396334333259621
31.0,69.0,0.7133817323835576,6.983842950411109,0.13837667459166833
25.0,62.0,0.7969866038929847,6.810136832065866,0.13998766012522812
19.0,53.0,0.8021072316126794,6.384295851134339,0.1396579450450101
1.0,63.0,0.8610526443294529,6.606420803177486,0.08649288115262564
13.0,78.0,0.766311353712472,6.818972415455946,0.13849759635314574
17.0,69.0,0.813037737583201,6.179571243401943,0.13920692621407338
28.0,91.0,0.6339915690561828,6.610866292156627,0.13890656644311197
23.0,83.0,0.6802112453227565,6.410922266362892,0.13931048340172886
18.0,54.0,0.8035122990550692,6.362753918802873,0.13974460429664484
19.0,47.0,0.7304606908547219,6.800244241568769,0.13907963411279117
26.0,60.0,0.8088019146954105,6.649044452414687,0.13950810241154754
12.0,65.0,0.750692009738943,6.4675451953933925,0.13834211354106804
15.0,71.0,0.8546854414976222,6.284643749305961,0.13926882335746885
22.0,38.0,0.786353339431528,5.969808673081743,0.13936621838636723
