{'topK': 180, 'alpha': 0.37856296613742724}
topK,alpha,result
92.0,0.3719302762813327,0.1382960154682799
103.0,0.39352976819638075,0.13955878494819107
172.0,0.5584311788866047,0.14085317125800625
178.0,0.3536748695258828,0.14223802658295295
235.0,0.153862540220729,0.1393730647643322
78.0,0.3978208016568969,0.13778679099360833
159.0,0.2339967112613795,0.14074073164264783
103.0,0.34667400221566846,0.1394508858022785
165.0,0.31037116451534974,0.1413623884629884
224.0,0.44783174747682497,0.14095490916613626
201.0,0.4873448836632457,0.1418305447815154
201.0,0.49415889526873286,0.14182665241759346
201.0,0.5960039768798516,0.1395182331975961
133.0,0.48295774531147867,0.1408603172603907
189.0,0.29440433143292666,0.14170337070951367
135.0,0.4441156174071705,0.1417867583464711
218.0,0.534097057901376,0.14031128696359682
56.0,0.4464031444780775,0.13756034190837751
184.0,0.505937315482748,0.14090456166598256
246.0,0.4224294679489421,0.13985088129061762
139.0,0.34671874812416054,0.14104371409438196
205.0,0.48443775516819254,0.14168931545797717
204.0,0.5200295584863734,0.14140648928303245
181.0,0.48155365615066714,0.14098496087255027
151.0,0.55076013863626,0.14097127631034526
217.0,0.4253207732659078,0.1416336142730554
184.0,0.584467527586607,0.13965559329697202
199.0,0.5031064152123186,0.14119063331758452
237.0,0.5514911459541831,0.1401009759595856
167.0,0.37795721883208866,0.14143140532188833
227.0,0.45273697684678754,0.14084543579827843
138.0,0.46777781364234744,0.14171240284396014
122.0,0.4204754461234361,0.1401230213687053
122.0,0.5131105429119233,0.1397425207405487
154.0,0.46542446742320087,0.14206635731695785
171.0,0.40819463440378473,0.1419570721290288
157.0,0.3901452383215425,0.14173306946161376
173.0,0.4154928543872181,0.14203310567847624
168.0,0.4044356058736031,0.14172251804069808
176.0,0.36860878471851477,0.1424841995300662
146.0,0.3692496027214256,0.1415094704482403
176.0,0.3577394236161454,0.1424079089265419
178.0,0.3571522466772183,0.14244529856145044
154.0,0.35696028619366604,0.14139068731912094
191.0,0.3192241802257258,0.14186528859364222
174.0,0.3347432656454879,0.1418803030025173
163.0,0.38234950152526714,0.1415393912459588
180.0,0.29464830572016487,0.14188506319390778
123.0,0.3612868285637809,0.14052821885269978
146.0,0.33229050849512304,0.14116496251916477
195.0,0.38936008338934625,0.1423734725484694
196.0,0.38479553183775644,0.1425796426617174
193.0,0.3845960648152997,0.14249319083685724
193.0,0.37902160116659644,0.14258934007149693
213.0,0.3757690671469684,0.14206612734752852
211.0,0.36413475415990193,0.14215116060156
190.0,0.34672696046574847,0.1423677246077066
187.0,0.3959154479600091,0.14270257753153778
194.0,0.399769699982199,0.14274714869104355
208.0,0.3977833779211806,0.14187904901658754
224.0,0.43271979868979077,0.14119389147730854
196.0,0.4014071130262492,0.14280962695505775
195.0,0.407478455725345,0.14274087315004574
194.0,0.4034266260195576,0.14284778764730874
198.0,0.40355004150990764,0.1426236124939775
186.0,0.40535020627392493,0.1426800632857183
185.0,0.4315695460916785,0.14169466436823738
232.0,0.4068633024656922,0.1408671728118308
205.0,0.4375980640292158,0.14210635575625336
218.0,0.41993578466441306,0.14138070923300536
200.0,0.3995329572602505,0.14265891681240367
202.0,0.40120464928514515,0.1425799901704129
184.0,0.4163145221777024,0.1423469847608361
214.0,0.3966929169197963,0.1420913136850454
187.0,0.44755193726295883,0.1414417016515611
200.0,0.4141401258563485,0.14265353530961433
207.0,0.4249005125917224,0.14187838518635182
222.0,0.4364232967252081,0.14108521760102935
244.0,0.41317029811371386,0.14020023247094074
200.0,0.391759206972226,0.14255384449993513
85.0,0.4633506755424283,0.1382762747598102
198.0,0.4056210409359765,0.14278232380285935
187.0,0.4101320797272279,0.14227614660344876
197.0,0.4280264047217219,0.14267325597532124
180.0,0.4264309955056516,0.1414618104556726
210.0,0.4011902850131759,0.1419675401851563
64.0,0.45353091975346793,0.13771570693836738
195.0,0.39245670138042926,0.14241155662863936
189.0,0.37153153903702824,0.14262371195834173
205.0,0.43728229708099153,0.14210605277442742
165.0,0.3752354480198368,0.14150731485823106
201.0,0.4078617976889812,0.14268327436625436
215.0,0.3901175983117754,0.14203408930898587
196.0,0.42103344849251184,0.14270392559085238
182.0,0.4246705719590197,0.14154625969869847
192.0,0.4117864915431053,0.14260565070677872
197.0,0.4464189567651176,0.14251558217503094
172.0,0.42922684025876606,0.1414253280402837
209.0,0.3849071161335883,0.14210361212918324
104.0,0.42024968827948017,0.13986344081087354
218.0,0.40798267922990145,0.14154792694768137
203.0,0.39290962823298026,0.14258457108628453
190.0,0.3998024048662163,0.14239572564804767
197.0,0.38247442365423456,0.14237831902213163
186.0,0.3669700763941335,0.14249358168309048
201.0,0.43918557069273134,0.14217393005791204
193.0,0.40573462079342953,0.14275560362830342
183.0,0.41210963490472824,0.14205548962893583
193.0,0.42848325845196694,0.1420785780878306
178.0,0.4208847729627426,0.14163777314466383
162.0,0.40504314792395796,0.1417960102179625
206.0,0.39631180308482167,0.14235107122155552
