best -> alpha = 0.251168127955914, beta -> 0.151393522942823, normalize_similarity = True, topK = 55
topK,alpha,beta,normalize_similarity,result
628,1.3860470654236838,0.10557105749102647,False,0.03461843957370822
465,0.3520753334779603,0.5287293717608277,True,0.11857732655187106
702,0.2696625933398522,1.89270703864291,False,0.0006684875924038518
111,0.04609572373607995,0.3761914680226428,True,0.13040474941151647
717,0.5721727444242621,1.2620556005355126,False,0.005309558640092608
144,0.1397329503785949,0.9813260343766592,False,0.006380199929679038
515,0.3611742795572266,1.064484081280091,True,0.006578031538671607
861,1.2519636837901662,1.395656627583436,True,0.004488749726209297
6,0.9539575126149751,1.3935202672568747,True,0.0028799652947335626
199,1.2738016483268044,1.94196375822947,True,0.0019537025388968003
310,1.9659389270075485,0.0014779841950383066,True,0.07222625560934098
359,0.10139851411745304,0.4726582769394134,True,0.12016123014669275
335,0.0023580177005613073,0.4873073249195596,True,0.11637618878077854
26,0.003802404147793273,0.47978236496233123,True,0.12730252538832834
24,0.5569922276681586,0.29938639669644435,True,0.1341259918451612
165,0.6038856522050254,0.30640989952716013,True,0.1317341467851459
204,0.6580447283746823,0.22531434468546196,True,0.13353188947833874
274,0.7176456309144319,0.7183899879666175,True,0.05965823724829223
948,0.8146513834752537,0.18018329813794634,False,0.12292503540478383
447,0.5428093041780018,0.01026837670150782,True,0.12949235153045527
64,0.8912952129423855,0.2955297547877629,True,0.12700965942021628
189,0.5882337954756792,0.2345274178458695,True,0.13350317670716566
227,0.4420079932866964,0.19873995115456408,True,0.13291246866073933
104,0.712953790886582,0.6315312728826807,True,0.09392761879203901
249,0.5256773033162053,0.22533533181968227,True,0.13118298688002936
404,0.7821541428444899,0.11737255774302865,True,0.12926340767573488
182,0.2701784650937167,0.3529162994751629,False,0.11555550169851055
555,1.031535236775685,0.6918985249121001,True,0.045404776098142315
67,0.6502304022188489,0.11164134499651306,True,0.1366111402915466
72,1.0774260767121775,0.09968734596932233,False,0.03786200654092963
6,0.6484114108272203,0.017285441014852965,True,0.07742909121366161
148,0.4479221446190639,0.19837667327361708,True,0.13722951281343265
104,0.45932030451077216,0.1466419299895196,True,0.13949736608938088
104,0.4231386638255522,0.10189477258395792,True,0.13903961897546058
120,0.41160075161740795,0.12382317687544162,True,0.13972499992137008
123,0.41289786909161663,0.36365186934044585,True,0.13351753897737656
302,0.26721517888417434,0.12843497779964316,False,0.10035426164532428
647,0.2124160552864015,0.37887539037252105,True,0.11887638313291375
154,0.42326461245430635,0.10500774029433768,False,0.10800356215960222
108,0.31387644704633755,0.01579631491790351,True,0.13782191577051217
99,0.3039026971441685,0.029211894638735386,True,0.13862157499480623
96,0.1438688980397635,0.004218044016309331,True,0.1357346012360541
243,0.3143498417680026,0.08451627137882883,True,0.13499636202222107
114,0.17810560864288244,0.4066026147819948,True,0.13105550015288872
43,0.32807624164042576,0.005518867770933333,True,0.1329288799491287
130,0.10648150572664028,0.2588546997167512,True,0.13477238507223846
362,0.36386129026444214,0.1542758998668766,True,0.12836432307170123
836,0.21564054867112833,0.5570332799126492,True,0.10647850850009337
281,0.4883479462766811,0.2938672115773427,True,0.12829497053784392
76,0.3419791411639573,0.41425649727544894,False,0.12216847426316359
224,0.050053493081609945,0.05757798178873859,True,0.13314195198119141
152,0.4769110712644392,0.1807832258913112,True,0.13741704745131006
167,0.48510075787829365,0.14821086749149726,True,0.13672879502889845
33,0.38784767583502133,0.07772564576052224,True,0.136534737880563
98,0.26913252067834764,0.18294667056577485,True,0.13950382242476494
110,0.29214410619273806,0.2662370788894597,True,0.13758055421049553
200,0.2292532501995444,0.07473381312325457,True,0.13585287048555614
53,0.12551020154375325,0.1976304357769975,True,0.1407203603088467
7,0.14226251765907533,0.29688512839263104,True,0.1258550458908665
46,0.07172917928861533,0.19474435537676263,True,0.14040544238176594
52,0.07374522070061197,0.4393853636015306,True,0.13016234258313988
87,0.016908355424084753,0.16890582859617967,True,0.13857682395795973
