{'topK': 382, 'alpha': 0.315418337663744, 'beta': 0.2785078064899183}
best -> 0.4245655033035255
topK,alpha,beta,result
347.0,0.3001197807935308,0.25061784906737855,0.42234476944912663
363.0,0.3013989778202994,0.3244187318420536,0.42238687708247763
385.0,0.32626191854497494,0.2949405055680026,0.4238296879268952
361.0,0.2709337328790209,0.3082285719456464,0.4234351163991325
348.0,0.30665194198086265,0.2751008150443186,0.423535038778742
409.0,0.3017868049252449,0.2587208922733981,0.42343870955049046
351.0,0.2866759636603545,0.259855818539592,0.42332355224472545
393.0,0.3011779708374398,0.3459974943598668,0.42240828314782036
409.0,0.32958874468351423,0.3027077357188513,0.4231462252932995
408.0,0.3110966163783879,0.27596926912499564,0.4235856156295276
382.0,0.32653191811617005,0.28482632717295053,0.4238394396801181
382.0,0.32911204786876114,0.28738973596936157,0.42339155610956697
385.0,0.3188296772365926,0.28896190857419163,0.42409636597230543
370.0,0.31808754426659036,0.2807696011643613,0.4235099982236307
395.0,0.3182278964186444,0.31303775777002885,0.4228150449597729
373.0,0.31963169895539634,0.2907627926170832,0.423692846935649
396.0,0.3134011728463322,0.270764959131284,0.423925558645966
398.0,0.31405443381062564,0.2689779461189985,0.42390474714962895
417.0,0.31084716404512747,0.2677290758724197,0.4238676520762249
391.0,0.32187485635153246,0.2974688717502126,0.42381245553923086
402.0,0.30897072656709257,0.2825152878893357,0.42420782254969003
402.0,0.30938311331056395,0.2858294748699544,0.4240047440472975
402.0,0.3076930284441686,0.2860989577615153,0.42395179463583305
420.0,0.29379295568496394,0.2820098514379712,0.42394921248689854
403.0,0.3157807900832179,0.2931572811945736,0.4240344777067949
389.0,0.31551156818727794,0.29460120032607706,0.42384145341232043
378.0,0.32473301909386665,0.30371477582548095,0.4240948586039064
375.0,0.32162778603831504,0.30330135716911477,0.42366858290141013
365.0,0.323964724241792,0.31531691091397474,0.4232143798152792
356.0,0.3213715290662493,0.29714708136702755,0.4236229298589425
377.0,0.3233905568383427,0.2788908700936444,0.42404806622846297
377.0,0.32486373004336866,0.2784178492885592,0.42404614919967815
368.0,0.31817853828075343,0.29069185407327336,0.42358620671766845
387.0,0.32397345406639283,0.30104427630990527,0.4234756029101294
378.0,0.32991768008223626,0.2796256065159044,0.4239825262106909
341.0,0.32488599611537616,0.28919848825242,0.42368943991167746
360.0,0.31700105879698387,0.30638724451358584,0.4235577194309462
384.0,0.312839037204989,0.27449966041041657,0.4237905067780202
387.0,0.30655667517579827,0.29793637403373874,0.42386175361357986
370.0,0.31929704369179124,0.25287318822770094,0.42299766972390557
414.0,0.32673919778205146,0.29280077707727076,0.42373065985871755
379.0,0.3241487775424957,0.27763355989954697,0.4240294622992156
377.0,0.32143760357005763,0.2831923176187426,0.42406342785593365
365.0,0.32121832954268964,0.2823084114475264,0.4239413190309884
373.0,0.3266381714405406,0.2849585484743862,0.4236523996277737
381.0,0.3153694148692077,0.2646773146311821,0.42351195217384924
385.0,0.3281540758106114,0.2749778015381326,0.42406248741186414
392.0,0.3281809291202484,0.2726910195968621,0.4237322188827242
383.0,0.3267994325802439,0.27375687109796276,0.42417319263193837
399.0,0.3204897808343313,0.2900201860386745,0.42373762170345297
382.0,0.31808695545106036,0.26266246012294125,0.4231899936088989
385.0,0.32729009851956875,0.27520573489156747,0.423982802840182
390.0,0.32814224705341594,0.271602667065843,0.4240273852391285
374.0,0.32898766830279536,0.28282786649324376,0.4239295525516182
394.0,0.3258067150138706,0.26737234520251846,0.42381063339315
384.0,0.3222007451551793,0.2876124760841437,0.42392283944531045
371.0,0.32068855983730027,0.27169990636659086,0.4231822309611911
388.0,0.3297879532648224,0.2757147240248533,0.423874157213584
411.0,0.32555993554522816,0.28331828750287724,0.4237671098930093
380.0,0.3195204447942024,0.29522957249221043,0.42394966183119054
406.0,0.32283626856408604,0.28546635221492617,0.4238510133942983
376.0,0.3237088603520974,0.27964611319845417,0.4242323678134819
