topK: 376 alpha: 0.31149747904824837 beta: 0.28155416772769626 normalize_similarity: True
KFOLD -> 0.4729107290180532
topK,alpha,beta,result
376.0,0.30013614950196243,0.27480601841357105,0.42455631240356934
382.0,0.3113843015569986,0.28163854026602175,0.4243843850518625
384.0,0.303697939050635,0.26119963355458375,0.42282910686994957
385.0,0.31831942327718976,0.2801248899701393,0.42440147075048573
377.0,0.3115572287999949,0.2846004908731918,0.4243921499435306
377.0,0.3094343764879264,0.26156456732865485,0.42227199905581914
377.0,0.3192611797372466,0.2654409273225307,0.4232885796088524
377.0,0.318121038157939,0.2812531029005494,0.42453448822743656
376.0,0.31230781376444017,0.2697770638956729,0.4235611630589451
384.0,0.31496900119968047,0.264285291331665,0.4234065031838514
380.0,0.3026338302027317,0.2750284050213369,0.42438399758168904
375.0,0.30086216624403656,0.2759691053511069,0.4245382776467775
375.0,0.3007470862387728,0.2752258138668815,0.42453763356037016
379.0,0.30003583968460384,0.271456262195946,0.4243246302455713
375.0,0.3048861803023219,0.27644254505096905,0.42423712910245953
379.0,0.3056645531339164,0.26922422691558184,0.42388659592042244
375.0,0.30662594266891946,0.2771737757866315,0.42423601195542576
379.0,0.3023745916624478,0.2732956741189051,0.42469926722645696
381.0,0.30282163105664023,0.2731072183317161,0.4245902450714838
382.0,0.30743441095245694,0.27199731610704336,0.4244649260238814
381.0,0.30232869991470585,0.2724016797497336,0.42436030804748476
380.0,0.30353349585878975,0.27372931027931974,0.42452489008495664
379.0,0.3019238695978632,0.2779075055378189,0.4244974132819097
378.0,0.300066150718999,0.27358661154219005,0.42459911560320934
378.0,0.3049451615313406,0.26874266672855995,0.4238653465869287
381.0,0.3035770721973195,0.2730480112693302,0.4245542020696238
380.0,0.3019881891936961,0.27108187605740636,0.4243638571607723
382.0,0.30140420382187666,0.2734393679033737,0.42452003819855183
378.0,0.3035453713518033,0.2783158387740897,0.42476645356318776
378.0,0.30028775770131183,0.2782855256569846,0.4245541692074873
378.0,0.3042132959074186,0.27448635909096253,0.4245783881626331
381.0,0.3030624586879155,0.27382133803008585,0.42447448816815536
379.0,0.3018346171536685,0.27855359445154,0.4246460293675897
378.0,0.3008060976439738,0.2789569216595888,0.42464536552995313
379.0,0.3019701930135409,0.2789504924644165,0.4247494374997951
379.0,0.30197415808655914,0.28084803604318587,0.42435663245982186
380.0,0.3039219571902174,0.2827668455457187,0.42456114649065513
376.0,0.30631958785318897,0.2783372217586584,0.4242613511630123
379.0,0.3044877271332857,0.2796395564221222,0.4247124709113061
377.0,0.30768795572769175,0.27953214064589266,0.42476007967881135
377.0,0.30790459921105795,0.2795347935788972,0.42485123441525063
377.0,0.3075504105466249,0.2799233309518066,0.42481159533590984
376.0,0.30844575482353065,0.2821872905129459,0.4247076075168039
