{'topK': 66, 'alpha': 0.30077950803045783, 'beta': 0.22779750090858622}
best = 0.1460532864046517
topK,alpha,beta,result
81.0,0.27469811042902587,0.2513429351102755,0.14284523548909275
111.0,0.3740958670550778,0.3057451094110646,0.14092544368592205
93.0,0.43659367163396723,0.31164873087585965,0.1413597995446194
58.0,0.2114566759160454,0.3173702844956561,0.14222749732716597
150.0,0.562241736662033,0.1694594379570304,0.14150925091487812
58.0,0.43399595101750155,0.17849097864863633,0.1423283633297026
58.0,0.3795117425273109,0.3200152204821422,0.14330357218222087
66.0,0.2962863205850526,0.16187734205788215,0.14337824936336055
59.0,0.20905844800949097,0.16234376692962646,0.14207880674161627
57.0,0.3403131317977131,0.20121035600891068,0.14287653594546648
128.0,0.18216791503743657,0.10814560113866314,0.141407700707725
40.0,0.3027886720069733,0.26206169815013686,0.14372707174469954
43.0,0.27746344347375224,0.26475203966052874,0.14340556454462558
43.0,0.2631850950898942,0.25514663402853155,0.14304572394310328
40.0,0.17438320799715515,0.2732736923339968,0.14214630254109406
74.0,0.15206899524019943,0.34856029804484673,0.13942155262724681
41.0,0.2424104926810497,0.2263883857538613,0.14272367204999217
89.0,0.3104844273886907,0.26737570767693164,0.14307532551315688
107.0,0.23379359426009258,0.22739936929341673,0.14315217306670475
74.0,0.30998907607566595,0.288387835764331,0.1441282868605648
107.0,0.3244363682507867,0.3006475058445847,0.14211643706012128
49.0,0.26651707894367,0.2941065210965907,0.1432398746191064
72.0,0.2905971249427341,0.2843993997241002,0.14317623862124143
49.0,0.33494251964426486,0.2434400062487717,0.14372084865368784
77.0,0.3349429824632546,0.2496858010227246,0.14399306743957122
82.0,0.36669649941186977,0.2838800912093517,0.14367349415151148
80.0,0.31784067181442843,0.24277486968188444,0.14406041802149075
100.0,0.4033940421793936,0.2353071691239636,0.1429550120609337
82.0,0.3640518755454628,0.2141616482639132,0.14531736179304497
85.0,0.34747175072382325,0.20579109433275924,0.1445263184631937
88.0,0.40952992122701065,0.21263021108824665,0.14463418337518893
85.0,0.409352579687919,0.211552518220577,0.1448694115971933
89.0,0.4204009740610836,0.20414133454017802,0.14399220879677277
98.0,0.45125792201461695,0.2112239003068988,0.14445851486271663
119.0,0.4687119411826786,0.21374221146517483,0.14247011652660807
86.0,0.38976704098070863,0.1906496338916109,0.14498556412464703
94.0,0.39431814986318875,0.19064619940276004,0.14445074505262315
69.0,0.46747544528177426,0.1863288518722282,0.14415343411284293
104.0,0.3760439309321873,0.22231510550145508,0.14358737850140682
88.0,0.4096746930160999,0.19273022865432793,0.1446471179753024
116.0,0.3604521837411747,0.1732006193685007,0.14301980280680557
90.0,0.4108324521414369,0.19265637882805361,0.1447330001516779
65.0,0.3921812800876958,0.1916996347487432,0.14325573426400603
94.0,0.4238748530355604,0.15939714484685508,0.14463042820890107
82.0,0.3800488841367121,0.17998914907300584,0.14442271143468322
149.0,0.4478446781967931,0.2002314620214027,0.14090831676072343
99.0,0.4314594323024936,0.19546914972401694,0.1437606914883201
89.0,0.360883087258088,0.1537649024830272,0.14337598918129357
65.0,0.39854543914520413,0.1789689445620535,0.14310886755955718
79.0,0.49338360377040547,0.21986746184897055,0.1436965919605246
92.0,0.3835187485372777,0.23585004519231323,0.14418529575315042
86.0,0.41354506247116685,0.20911200037614663,0.14467139086826694
85.0,0.41414571755970625,0.20238479844238655,0.14471964376609792
