trialid,accuracy,topK,l1_ratio,alpha
0,0.43182836546193465,1421,0.0003368120778609152,0.029412588869919515
1,0.43224775231866247,1444,8.487251969438844e-05,0.02620278860766713
2,0.43234030907061144,1333,0.00042124187439817343,0.025653231329091808
3,0.4294759896599962,2345,0.00044556791523338735,0.0346411982448424
4,0.4279349164034431,6723,0.00015670386438598153,0.01329188755025942
5,0.43279612330481937,6694,0.00013045499205925352,0.023804011567620346
6,0.4308648672534142,6525,0.00022620485743588898,0.0193330378986705
7,0.43103165886121797,4647,4.6396492505278836e-05,0.021638996944328068
8,0.43035621276590663,5778,8.336599714871639e-05,0.03467187465483611
9,0.4308493569471204,5311,0.0003261452238040304,0.0195941583232826
10,0.4248611598013252,3536,0.0001949509351422953,0.011411266544061608
11,0.4313828758081089,3106,0.00046874136728401603,0.02741721455481865
12,0.4294386367052493,806,0.00032216678402457294,0.02344751735508514
13,0.42903104555784355,4404,0.0001392944523632681,0.016423144364480703
14,0.42953140390188943,2930,0.0003815983548181886,0.03092515627756532
15,0.4319224897116453,2258,0.0002644936762263956,0.024349213115333963
16,0.4296979504784688,5873,0.00041645475230272795,0.030455777245443492
17,0.42948446602687407,4056,0.0002654023217683654,0.01698089436683235
18,0.4319746203209362,6991,0.0001387996427576088,0.026763578293228743
19,0.4304434244482554,4745,9.425035715054217e-06,0.021170544175979886
20,0.4320802893797146,2229,0.0003905583419670769,0.024637807661616655
21,0.4326242274787117,1272,8.252886204221298e-05,0.02692338187662506
22,0.4298796169385043,813,9.071485627846473e-05,0.02906109720603651
23,0.4294274656495047,1648,0.0004954181408404914,0.0319148417035993
24,0.43193974917915656,2985,0.00018679030191745706,0.025679600073716755
25,0.43278737174748794,1660,5.617681568500013e-06,0.027748252870859497
26,0.43274373910384273,1779,2.2556142498973747e-05,0.027626828417093335
27,0.43221786061943285,1993,5.172795773639052e-06,0.02814597200626133
28,0.43115158133165254,3455,4.594368263173319e-05,0.03209478396026479
29,0.4312411987405785,2645,4.375883309577427e-05,0.02257010087719728
30,0.43238315021313606,1827,0.00011036277971148445,0.02920695071179151
31,0.43223804617918477,1096,3.95734491059831e-05,0.028491648689873646
32,0.4312018101545651,1351,7.705532866784798e-05,0.02425849062318078
33,0.4319458816455168,1462,0.00011219384935341964,0.02655154516929584
34,0.4311127981247883,2595,2.1725206135634894e-05,0.032811522674867095
35,0.43205676639294543,1964,6.838405518898408e-05,0.025331208932732358
36,0.43224456984762333,1280,0.00011569551217242164,0.02746420988139797
37,0.43058813323003886,6026,0.0001873547074496004,0.03003414290675192
38,0.4318069992612266,5182,6.738943569485221e-05,0.022849816901020153
39,0.4296105563642463,1084,0.0001566439322467639,0.019829920322257846
40,0.43259394025457387,6289,3.2914856525374874e-05,0.025757310226752456
41,0.4327709677375616,6466,2.6306947189050255e-05,0.025587622166106355
42,0.43184063007228457,6593,6.663716559730782e-05,0.027719867282801725
43,0.43067467057687203,5410,9.985994481831383e-05,0.020469601491583975
44,0.4301982885411264,6158,2.171371823656072e-05,0.018158799759979062
45,0.4326878556097416,6865,6.373985510085908e-05,0.023526116497838853
46,0.4315511875853608,6921,6.173522503605552e-05,0.02176229515215827
47,0.4324510163545934,6413,8.11430429960889e-06,0.02371091831961522
48,0.4323682575813606,5611,0.0001295260575133137,0.02491371983708294
49,0.43227240221462815,6826,0.00023096804540212256,0.02322168821493594
50,0.4280614939381002,4982,2.8964311060126684e-05,0.013655446527733824
51,0.4322282023146524,6368,8.82911022104817e-05,0.026518894461387242
52,0.43218377154759874,6624,5.107851881790693e-05,0.02665441145472564
53,0.43104683664828486,4083,0.00016899731157462113,0.029739372627218395
54,0.4300827141542866,1760,5.048341390044041e-05,0.02157436298755222
55,0.4304345255301771,5853,8.838721047937165e-05,0.030903631962214982
56,0.4323029079587417,6723,0.00030394498804763514,0.023990716981179647
57,0.43265476465368696,3646,3.104827886725137e-05,0.025269448543236293
58,0.4324822521331198,3533,2.2203855131302927e-05,0.025167858516045694
59,0.43179859630009243,4451,8.414969653596541e-06,0.02853824508772589
