search with cutoff at 120
topK[1, 12000],l1[1e-5, 1],alpha[1e-4, 1]
best -> 0.3688799075293374 and parameters: {'topK': 2152, 'l1_ratio': 0.14551643960722144, 'alpha': 0.0015749065577089216}
topK,l1_ratio,alpha,result
6276.0,0.19565168142819334,0.5356610662967912,0.0020562867841200047
1606.0,0.8154650150733714,0.13768195605826597,0.0020562867841200047
6879.0,0.7019089822278197,0.9197494782990425,0.0020562867841200047
5614.0,0.27595374315576326,0.8605513020988884,0.0020562867841200047
1439.0,0.06423723091655871,0.21094745677879245,0.05917881503790961
9090.0,0.5793443881865546,0.08821936102552076,0.0020562867841200047
2424.0,0.4122197984407487,0.8312702066237669,0.0020562867841200047
5210.0,0.13480014995601072,0.12598833561616202,0.03252593828900755
9576.0,0.7244832728574899,0.46560147356944326,0.0020562867841200047
3692.0,0.48218864983942517,0.6295892713476274,0.0020562867841200047
347.0,0.9642401091860777,0.3038628675185887,0.0020562867841200047
4176.0,0.008582391346341478,0.2731306740117975,0.23633261409229622
3577.0,0.008564909200103,0.27702464719384245,0.23582831795443573
3898.0,0.004781446147704468,0.3419675816024622,0.2551910760595064
11801.0,0.3035759573134549,0.39507482473717986,0.0020562867841200047
4210.0,0.005691220721207195,0.6465665116193009,0.2050575719878147
8092.0,0.195786584902429,0.3629829192168215,0.0020562867841200047
2684.0,0.356491215024908,0.03390663410487904,0.06644028386118438
4527.0,0.13866453374737212,0.5100345214926013,0.0020562867841200047
7235.0,0.10538971356996425,0.23650794667573985,0.012301378885774499
411.0,0.22391317911365005,0.6087172186538885,0.0020562867841200047
3320.0,0.043728546639850756,0.26434532073922895,0.07342130786469828
4769.0,0.020017265231555278,0.38397654022965266,0.11987660140105917
3226.0,0.0013657328880480601,0.17877620797662885,0.3222365434565734
2152.0,0.14551643960722144,0.0015749065577089216,0.3688799075293374
1813.0,0.12353608118866799,0.018957491276621774,0.23740059651017661
2872.0,0.25564167012506545,0.15396013706444583,0.0020562867841200047
1050.0,0.378769763026554,0.06555433610951024,0.01221143029997725
2128.0,0.1670254417330556,0.1639992474043575,0.004330430868549124
6422.0,0.08037118930614226,0.7289990238617147,0.0020562867841200047
5823.0,0.19582434779630759,0.42964280518794606,0.0020562867841200047
2025.0,0.13172902391438338,0.02584622121865468,0.20413595411917387
1088.0,0.08230635640037078,0.027516918858890106,0.24129594424914133
1256.0,0.07526584637735495,0.0989065882001678,0.11749614584084699
130.0,0.283185211539419,0.18878808805642588,0.0020562867841200047
3061.0,0.560923518753924,0.005600303081241485,0.2084933555489227
973.0,0.07479354966049256,0.32342884210282347,0.013296168753416547
2516.0,0.21364487041261881,0.10232268105412963,0.016495462938173763
5065.0,0.33811326581932843,0.19880913997053412,0.0020562867841200047
3705.0,0.06388574795344505,0.07044357925123206,0.1816420961129951
1675.0,0.4172810409125013,0.14755028700293815,0.0020562867841200047
1813.0,0.13803414379195778,0.04705887939838782,0.13545908715350688
660.0,0.10227462147985804,0.09879550445790128,0.08246653446620807
1489.0,0.15623746338886463,0.020617641917186857,0.20874489982543126
2505.0,0.730340090930909,0.21954812906048501,0.0020562867841200047
23.0,0.9986027568063471,0.1369147476026866,0.0020562867841200047
3813.0,0.052497387467990264,0.33964124660200606,0.029401576340961372
3129.0,0.2578448658375409,0.012018735420884706,0.21119106445978017
2059.0,0.03605927273519659,0.07204661029168316,0.2308944452798391
905.0,0.10935891833615624,0.9544867528309888,0.0020562867841200047
4355.0,0.17638589237904023,0.17899790337784022,0.0020562867841200047
5249.0,0.014998645340730248,0.2759094365555624,0.1951244070077654
4351.0,0.001903005185729667,0.4432303210455722,0.27760832333410906
4114.0,0.8765532425228134,0.46686586657074236,0.0020562867841200047
3246.0,0.0023983905322507992,0.5248156806921214,0.2612891313516362
11782.0,0.0027583695310723225,0.5532680632015529,0.25371316244595493
7830.0,0.006960480633412009,0.5671128432871126,0.1997481830584322
10952.0,0.043989775768755277,0.5465235035284519,0.013296168753416547
8994.0,0.01145278224170778,0.674724840447355,0.12083410452381939
5483.0,0.04526721243429033,0.4323376826515556,0.023252950405018263
