First try
topK[1, 12000]log=True,l1_ratio[1e-5, 1e-3]log=True,alpha[1e-4, 1]log=True
best-> 
trialid,accuracy,topK,l1_ratio,alpha
0,0.34742422240041937,10,3.96056405663895e-06,0.08210021597128953
1,0.10721648268643612,1,1.5980669099844754e-06,0.008083478152153946
2,0.04566705736296058,1,0.00014393355676994632,0.0006167783108688381
3,0.28096070190595857,6444,3.623113852000188e-05,0.00010180903273361572
4,0.25103591079064375,530,1.9470987144007763e-05,0.000329177128003416
5,0.3772157904181865,611,5.477957503984038e-05,0.004410415610090107
6,0.36445023277840116,6689,3.6931497561185418e-06,0.0014195518267823854
7,0.42654225649453137,1998,4.1639965650465584e-06,0.014988951264433382
8,0.37212578697645715,4692,5.155856153335363e-06,0.0017775221839333212
9,0.14936146732290337,1,5.671199278852689e-05,0.45421270473105313
10,0.4185953095866053,108,1.3427967590462872e-07,0.045197912998323486
11,0.41494037043306703,77,1.0466587344868768e-07,0.05441293746035094
12,0.4201507817555074,177,0.0009308921373575469,0.028915344135125295
13,0.43105945850274974,1118,0.0005734246693842334,0.023342523114165833
14,0.39475214905302103,1427,7.140835318586666e-07,0.26762593202557106
15,0.4292201182692748,1618,0.0008491029959845992,0.016598886653217244
16,0.38093674959551704,44,0.0007100886735100125,0.1538320187998289
17,0.37421257052666174,413,0.00025791444518531904,0.004746570291703584
18,0.3559781883478505,24,0.0002593612213434855,0.01551146343273437
19,0.40651284017486333,1812,0.0003855326234957172,0.11644649969422229
20,0.3651873519392023,265,0.0001676649368416163,0.7830380759047878
21,0.4268661594761435,1839,1.1030322450508187e-05,0.015395361017120463
22,0.4305146537806298,905,1.4044857861158542e-05,0.027757604954207274
23,0.42827341529381724,11358,9.44763592371389e-05,0.031249002492366548
24,0.36999620703008373,905,0.00048225977810331384,0.0029778492616107984
25,0.4156367162881592,2928,5.08070192840664e-07,0.006898224713990418
26,0.4210580332303098,255,1.96698199692515e-05,0.023793160522543405
27,0.2725027815327195,4,0.0009129689413329875,0.06972510769234708
28,0.3988761788162654,776,0.00011764633002433146,0.19225132509257625
29,0.33882472151433646,9,0.00034179661231245,0.09959741228779913
30,0.4228720525893761,4058,2.6085333074419867e-07,0.009612160922723084
31,0.42842966809301697,9326,8.211643285973251e-05,0.031097224859611156
32,0.4262477090769248,11560,2.8384607158500005e-05,0.0459458586695113
33,0.430219371609787,1195,8.168543822762129e-06,0.02169161529014132
34,0.42672166125979966,1072,2.0576217419923533e-06,0.015135813842479983
35,0.38077681637903305,399,8.38479284136686e-06,0.005624059398920389
36,0.4209441080816718,3211,1.0516181993956036e-05,0.009151494261563567
37,0.41290005302523614,132,1.459882133015421e-06,0.021505498127118564
38,0.3382490063799077,493,0.00016887653751433105,0.0022334330888076305
39,0.3218153840144968,1076,2.2344761598209413e-06,0.0009229624477048959
40,0.3925387543836201,2414,3.492940606940311e-05,0.003465926866725655
41,0.42800103759593194,6372,6.89499493883443e-05,0.03717149056253645
42,0.42013173409438115,5950,0.0005664511886146027,0.06215224186361215
43,0.2692657688435166,1371,1.5431438598937343e-05,0.00010379293838167962
44,0.4270738579693581,670,4.888029751812339e-05,0.020707849085345703
45,0.4268174501111725,8310,4.321803730109616e-06,0.01235771674355521
46,0.42797173005186406,3673,5.579478354786539e-06,0.03673578961443006
47,0.3891162046649877,246,2.4549623457284766e-05,0.008177904681134586
48,0.40823703690856983,67,0.00022932935474325372,0.08365870026494528
49,0.43019617533976895,2170,0.0006210101350297019,0.02559840329086825
50,0.37241110223389956,1418,0.0006559012927814102,0.30005714604428985
51,0.4303460471679885,2385,0.0003754386535323425,0.023399334629749767
52,0.4305017336879339,2166,0.0003792742348529399,0.023671370590586945
53,0.42563951777214043,2261,0.0004033236701639356,0.04921108033854839
54,0.4293550172902904,4800,0.00028389273261431616,0.023537314675230434
55,0.4179501271249173,626,0.0001745304504388831,0.011716305424668736
56,0.40261115730154495,364,0.0005175141456242823,0.12905324223857473
57,0.41827547912146823,2520,0.0007007326796755414,0.06437247653769615
58,0.4305814159673251,924,0.00012795498491557399,0.02671308889691502
59,0.3993234927256104,1016,0.00011281282707258067,0.005817378332477585
60,0.42578708021760886,581,6.901706996951007e-06,0.018104163219893332
61,0.4306980124200045,1644,0.00021582495054283751,0.024067560861860925
62,0.428999661971283,1501,0.00019690778396834328,0.03776301237930276
