First try
topK[1, 12000]log=True,l1_ratio[1e-7, 1e-3]log=True,alpha[1e-4, 1]log=True
best-> topK: 1421, l1_ratio: 1.7705315926835813e-05, alpha: 0.026107565357229457
KFOLD->0.47591467085479183
trialid,accuracy,topK,l1_ratio,alpha
0,0.03445380182539486,1,0.016955368156505165,0.00039560079476615715
1,0.004064588714389914,27,0.4339762273409197,0.42683663563337176
2,0.04266610964846556,2,0.01778080751517699,0.5611335512252286
3,0.34920909933222893,4533,0.00033638329165141466,0.7921146621843873
4,0.28338497336427926,21,0.00013001009656685985,0.004058056668488994
5,0.18088415352225204,375,0.003999685922219144,0.8832369085259336
6,0.19787344869404636,7,0.023293159284419333,0.001444474259736969
7,0.009305147856139676,68,0.05536478263113541,0.35376514614250304
8,0.004064588714389914,86,0.744310221260518,0.11732846178790435
9,0.38097783335676244,201,0.02043615119055185,0.0032227060854838094
10,0.4270456279835839,1935,1.8966848754944434e-05,0.0274970301019771
11,0.42618257476635246,2343,1.871485619555816e-05,0.029851413742662446
12,0.42516334705682546,9119,1.2301531682262774e-05,0.031211432038280886
13,0.4277852670303279,1421,1.7705315926835813e-05,0.026107565357229457
14,0.4259573878021861,881,0.00011263008976217484,0.031425331908377624
15,0.2663509808815204,1232,0.0007070675482499062,0.00010647180512146516
16,0.41105311198425515,9507,3.8313212410324705e-05,0.09742476355939478
17,0.4119438685206117,482,0.001423003358317217,0.009386236261035968
18,0.41032486564115567,1998,5.8956094885245544e-05,0.10709952830849771
19,0.405706853348384,232,0.00025705828390909643,0.012316011047991423
20,0.3477138279452212,3117,1.1368070456083212e-05,0.000967098257650534
21,0.42770004209330104,1065,3.608778965262379e-05,0.033363373222892595
22,0.4162288908313736,856,3.788887024984226e-05,0.011213795509274283
23,0.42225156242425954,3919,2.9290533285937066e-05,0.043001012347570755
24,0.415074253865862,126,9.591508272178845e-05,0.0613379766495726
25,0.3990015096611618,1068,1.0555440408123728e-05,0.18595160378673226
26,0.4198551124689152,502,0.0002341320123881798,0.017124527815535782
27,0.41222301709638753,6345,0.0007991817096034492,0.005888423405120086
28,0.42227276606630426,1749,0.00284757935474141,0.01805100432880062
29,0.3863834797057016,36,7.142062811320921e-05,0.18279265437527972
30,0.07921300152881462,1,2.851760476274015e-05,0.0017278736391565918
31,0.42155672024476476,2606,1.9134547843566736e-05,0.052315286749122614
32,0.42296173054504327,655,2.1440562836249034e-05,0.022968614394369345
33,0.0767014633704026,1844,0.12514013398687296,0.06004335269345258
34,0.41362803613867954,5418,4.707491305992941e-05,0.006813524072511576
35,0.41788012522755236,233,0.0001690676052339086,0.02413928145433164
36,0.3875491697337095,1352,1.7986493480875795e-05,0.2975683524501296
37,0.4047425195875372,3647,0.0005148102370930213,0.004254161458263929
38,0.4147173732482433,305,7.264064103723756e-05,0.08020650631882349
39,0.38642653564798574,10088,0.008481053411607842,0.03521725822359167
40,0.3177703531269324,6,1.7968360431421327e-05,0.18152470248025782
41,0.4260602997404994,808,0.00011939531371843918,0.032552350138578885
42,0.423789084138306,2380,0.0001658541084878748,0.01354817134780573
43,0.404821774813146,693,5.77540729029439e-05,0.007821448892404137
44,0.41337115632318666,132,3.2272954666139285e-05,0.025219897016681675
45,0.4211941902896891,5358,1.0445620717902556e-05,0.04481335137616302
46,0.4162637154439605,437,0.00010700787471106999,0.0722828241459166
47,0.42407915885280495,1295,1.8477109538177238e-05,0.015323584675037765
48,0.403504514032224,58,0.0003542909112540782,0.03417867431376159
49,0.33367823639621197,11,4.6384084621041255e-05,0.5077339586411084
50,0.3460004111381337,702,8.67862288197119e-05,0.002165620756941917
51,0.42546509950466344,1015,0.00011017763398543366,0.022639144299967304
52,0.4260689605225289,1679,2.8023620219486415e-05,0.03210657404076836
53,0.4111041037031765,1658,2.5051080314054575e-05,0.10678285079124936
54,0.4235610998476194,3245,1.5151022149753758e-05,0.03911907586641332
55,0.42305202675170184,6965,3.877256195892749e-05,0.01110097068608888
56,0.2096002664730494,344,3.102842407123362e-05,0.00021747241653683532
57,0.40359382532346366,2373,1.0484058002147288e-05,0.1437492679490693
58,0.4253458963439936,4512,5.517735820857569e-05,0.02842247949399851
59,0.33747251959930374,561,0.040473915741409246,0.018589807578903734
60,0.39045319652297406,1064,0.00014794683270380815,0.004455713884731386
61,0.41415083722969154,1564,0.0012403468368842067,0.05079166793584923
62,0.4139092988914216,900,0.0002616537657230322,0.08096913328561973
63,0.4237351578059491,2785,1.3942533326936907e-05,0.03991411710225399
64,0.4162966985724987,2296,2.95364331499004e-05,0.008634522911166212
65,0.4115945721617243,143,6.748158974537915e-05,0.020300927353589144
66,0.06904351517401684,795,0.26254054013317657,0.030905917899745273
67,0.42551708926236465,11764,2.4816796766697397e-05,0.014393949703220072
68,0.41938192944095587,288,4.570008583750976e-05,0.05995967645178803
