SLIM optimized for recall. First step.
topK[0, 1e4],l1_ratio[1e-5, 1],alpha[0.0001, 1]
best:  accuracy=0.14843024977706742 and parameters: {'topK': 9940, 'l1_ratio': 0.05284130389391463, 'alpha': 0.001445383733256085}
topK,l1_ratio,alpha,result
4151.0,0.9884247107723153,0.062040873085862216,0.00011726793391015353
7462.0,0.7636570025759855,0.4339812619278645,0.00011726793391015353
6236.0,0.5134070195488599,0.6903076949981658,0.00011726793391015353
159.0,0.8925141088147035,0.2939608224229175,0.00011726793391015353
6763.0,0.8233521053110138,0.953192419133189,0.00011726793391015353
5768.0,0.4213949468742097,0.7541847187283265,0.00011726793391015353
8695.0,0.5917306198828916,0.1215526711234366,0.00011726793391015353
7014.0,0.5096419280434463,0.9314707193201881,0.00011726793391015353
6137.0,0.15958605699091652,0.5932894469239397,0.00011726793391015353
6060.0,0.06383256391110632,0.15391209944705678,0.06354381170707046
3289.0,0.017809721037996995,0.2811622702893726,0.08152856161079186
3299.0,0.018224832532606795,0.26452375228975716,0.08244442838798169
3145.0,0.2322070965309398,0.3401132616238233,0.00011726793391015353
2324.0,0.002768169591479906,0.28279842571545244,0.10560394970189872
1435.0,0.2810567803086418,0.4511811475087335,0.00011726793391015353
2032.0,0.3402484843887713,0.22497275479579515,0.00011726793391015353
4712.0,0.1347307097465828,0.005874645614593277,0.13136060237986988
4494.0,0.14745785542577847,0.009968097029961265,0.11723381194102044
4674.0,0.1787637994479534,0.05598902787418325,0.06258484924086621
9339.0,0.6601997307433216,0.0535467219795486,0.00011726793391015353
4780.0,0.38219162058675954,0.0018181886641117345,0.13509347943519587
4604.0,0.372067894693417,0.01775959166805361,0.0755027797207266
5153.0,0.12590298205911352,0.17714073400066047,0.013717999960688038
3901.0,0.27752736161594616,0.1297105757659888,0.00011726793391015353
5338.0,0.4375935079055635,0.010827902888157537,0.0854159039647381
7848.0,0.12082546024919882,0.11297665988583921,0.049734229947195036
4165.0,0.22714418560906885,0.39882125037781396,0.00011726793391015353
2567.0,0.3274106410835713,0.20021082289234055,0.00011726793391015353
5326.0,0.10785314371097066,0.004471219537420506,0.13769485087399502
5183.0,0.07333923581205337,0.5310384302936616,0.00011726793391015353
8414.0,0.6385263901228211,0.08872253523039375,0.00011726793391015353
3968.0,0.19621282794851397,0.006783657808922007,0.1208519930595964
3817.0,0.21287289162310202,0.08313716212544994,0.029307219662745687
5624.0,0.27451842334278154,0.01923996565356437,0.08200436543291022
6890.0,0.07211820242839362,0.20112955679192002,0.046214906053223544
1349.0,0.4439178444103347,0.0697550498242433,0.00011726793391015353
6499.0,0.9733278489730586,0.0005288888043985659,0.1395143905357139
6510.0,0.9743673000123648,0.3540109857015016,0.00011726793391015353
7092.0,0.7699873493306806,0.8346979193758324,0.00011726793391015353
7519.0,0.5744843019886898,0.6569967241317981,0.00011726793391015353
5903.0,0.3831169417951268,0.1373434925873807,0.00011726793391015353
4953.0,0.19952256442969427,0.00035068401961670136,0.14491641409222916
4992.0,0.9522986871936794,0.07713839045244174,0.00011726793391015353
6402.0,0.8868904671046425,0.14730693273113796,0.00011726793391015353
5519.0,0.10183921742917709,0.05103965200968569,0.0827197523747285
4805.0,0.48568675278424994,0.22046741126624073,0.00011726793391015353
6002.0,0.7260542624821386,0.10959337396833518,0.00011726793391015353
3438.0,0.3054889442743228,0.9887552970024003,0.00011726793391015353
4200.0,0.2518057857765559,0.16318336126272034,0.00011726793391015353
104.0,0.03900735450546505,0.0021143846141996594,0.14422044543753845
7987.0,0.05933156982142785,0.24362886227608754,0.046327592378751906
375.0,0.16239547076977578,0.04643624323824232,0.07056469685188993
574.0,0.028877233216927978,0.0016854356570835428,0.14618417733129513
473.0,0.0060754871908053065,0.000558437014422461,0.13020476838314302
887.0,0.044313059749030846,0.04932522585502554,0.10321265995153192
963.0,0.047300368554610894,0.0989057125281564,0.08515427880731914
88.0,0.08256760801008986,0.039738067068542875,0.09496818956840601
2789.0,0.5573251696810262,0.0895509535700218,0.00011726793391015353
1844.0,0.12438576310121424,0.17661239994520012,0.013987878015775581
620.0,0.19193790820842455,0.1145357562528467,0.013717999960688038
6707.0,0.02856518981436523,0.7866366884544426,0.013987878015775581
4429.0,0.1434166634355144,0.032867105724816395,0.08621929829474156
9794.0,0.10041817449917721,0.0025931434617147355,0.14474017599798183
9754.0,0.09796323462980004,0.0001429411129200346,0.12579297612807613
8924.0,0.16100881052532479,0.07080343595596843,0.05926795434368661
1499.0,0.028524053037833647,0.03803608297006965,0.11754866947438847
3633.0,0.001641043962634453,0.12902819655608117,0.11840507934968489
9693.0,0.2482379024831684,0.5185818809964359,0.00011726793391015353
7329.0,0.39525850748821056,0.06798639906070593,0.0031920915676650983
2894.0,0.10599405417336223,0.02771933200100371,0.09777726679808119
8983.0,0.34198538712353244,0.5744332126837465,0.00011726793391015353
5371.0,0.1297994422081788,0.006880352971943568,0.1287323178260722
4863.0,0.20408987004403195,0.0007355112422565832,0.147036590208299
4958.0,0.1682851271048751,0.09518628591220114,0.038847777634429106
4418.0,0.1973863522403796,0.03295952341299685,0.07536121753328485
6266.0,0.07795843306597883,0.07001958407645102,0.08096189859519681
8243.0,0.47160115761880234,0.0014450472387202797,0.13584143765601192
8577.0,0.8291407195816101,0.027523133782546245,0.012031707000666352
8130.0,0.6649860393849212,0.14758105108965597,0.00011726793391015353
7664.0,0.21171342840123664,0.31310238852312366,0.00011726793391015353
9274.0,0.5374640994844082,0.44839267080487116,0.00011726793391015353
5690.0,0.4656243293756833,0.002032149188462594,0.13049394844165974
5094.0,0.6037714279835078,0.052035815838708435,0.00011726793391015353
6601.0,0.5064190450734415,0.06845903379202375,0.00011726793391015353
7165.0,0.05155472736522168,0.025323021615605807,0.11655445036750024
5895.0,0.4261548968283404,0.11043800530865532,0.00011726793391015353
5337.0,0.2991802437005214,0.05408612860968885,0.03807157805190176
4742.0,0.09655782745920324,0.001090237943440651,0.14722892541551177
9512.0,0.10016923936330269,0.09761900607328773,0.06363124041363674
6137.0,0.027187671382965562,0.02487668939569808,0.12622270236601338
1045.0,0.7148184013514003,0.12477669812282195,0.00011726793391015353
8247.0,0.08101854990252849,0.00098734329074965,0.14791397745760781
8980.0,0.08529615261772477,0.024371123903717727,0.10711406251473472
8352.0,0.1451577630136105,0.08093647418144002,0.05813454874692188
9940.0,0.05284130389391463,0.001445383733256085,0.14843024977706742
9982.0,0.05810775286090148,0.05255841680940921,0.09516669575503175
8767.0,0.10485201963439375,0.04272374759748816,0.08746450100959074
