0.15126224272612784 and parameters: {'topK': 4488, 'l1_ratio': 0.028272222595853345, 'alpha': 0.0032698816134106856}. Best is trial 38 with value: 0.15126224272612784.
topK,l1_ratio,alpha,result
5958.0,0.24984058774886456,0.0010183245664616737,0.14695476231653318
8837.0,0.0885543140758093,0.0032700838313474935,0.1440784452948926
4725.0,0.25936828652902166,0.00433042448532802,0.12527836853020785
8100.0,0.1789673953465044,0.0029607102155559967,0.1371833596379824
10528.0,0.19160292139665658,0.0024907993836929113,0.13829570868904983
5776.0,0.03916365852158126,0.0030447536860637495,0.15009506597635688
9829.0,0.194818487252929,0.002460425547839251,0.138284348705333
11226.0,0.0818784219419284,0.004442656846732999,0.14047595157720374
6471.0,0.16498380538058458,0.0015678849283400163,0.14633427457542256
7275.0,0.26930476280532323,0.0009699648532263462,0.14682956913485842
4039.0,0.011902765947786182,0.003829804592551609,0.15008334934053608
4007.0,0.011912747221746648,0.0037692581848667002,0.15029152224518086
5123.0,0.012528317864177244,0.003567479718986797,0.15039978174127006
4722.0,0.09029567416032379,0.0036567426072260517,0.14203719357792946
4072.0,0.044633982554709066,0.004841431189533264,0.14475495133347852
5304.0,0.126791564832162,0.0019193435391051854,0.14604612210761472
6842.0,0.010481784427746272,0.003940662664407774,0.15002587475301207
5179.0,0.05217893283115863,0.003464268251315533,0.14700410494920538
7481.0,0.06578817559155235,0.004280067601188348,0.14332416299256887
8687.0,0.11802388196958469,0.0026352794873720784,0.14365964124809408
6112.0,0.13611198471040764,0.004984786179836727,0.1337265635043687
5578.0,0.03166827694838126,0.0029094696489437204,0.150896653885994
4775.0,0.02797795784310507,0.0021421034100082455,0.15101316838485196
5058.0,0.03206563562219345,0.0018785279324686833,0.15068488703897145
5616.0,0.03872407985462852,0.001889888315377373,0.15071416030075166
6653.0,0.06420217379163522,0.0021229394753904856,0.1499578031788662
5699.0,0.10457573659648944,0.00142813662064797,0.1491247089588304
7353.0,0.2941248387160707,0.000594052943503446,0.14858131041750205
4533.0,0.06550307134435276,0.0022479022962744455,0.1496217593451239
6071.0,0.22592498195791855,0.0014277958519620863,0.14385173052871042
5577.0,0.030319184996866932,0.002751699867702064,0.15030326771791355
4847.0,0.03207893052274221,0.0017645319936080096,0.150174454197273
6376.0,0.052241976705669727,0.002123741030944605,0.15071312274372287
6310.0,0.08539371656572983,0.002339525831323859,0.14734395593058225
7977.0,0.055685117966644306,0.0030815185490967933,0.14757975628672432
7049.0,0.10657587936164942,0.0011845335549176355,0.14961969389534682
5488.0,0.07471024772990054,0.002782814107142892,0.1463976984774864
4444.0,0.027347345751794032,0.0021827432086707703,0.15089956699000184
4488.0,0.028272222595853345,0.0032698816134106856,0.15126224272612784
4485.0,0.024731386601392114,0.0032703418765327205,0.15071443212867236
4310.0,0.025122139142948325,0.00295572495423549,0.15039730693966366
4484.0,0.0259366944036711,0.0033044423943680745,0.1512595777891878
4806.0,0.042849528842406726,0.0032981233511700935,0.14884680293824784
4398.0,0.020019319534100008,0.0030467173247349395,0.1507149235041242
9687.0,0.04749126059730356,0.0024464410918919157,0.15109983203373933
10122.0,0.07442443491895058,0.0026463945451918863,0.14713269335384424
11667.0,0.09580606505010682,0.0024946872616506874,0.1457071433638134
8894.0,0.05355439077324986,0.002480441178705162,0.15000356756796462
9088.0,0.14467329263276013,0.003978370824618236,0.13605143664713976
10681.0,0.20752301514863736,0.003388100787803861,0.13450477922870047
9719.0,0.017630934837426157,0.0016571564002964764,0.14953078064997039
4870.0,0.04140382659946791,0.0028700276066017,0.1503672930913569
4241.0,0.16423400429018192,0.0020939565767136605,0.14306539706635132
5296.0,0.03528637486316623,0.0031246401382302373,0.1507398878931702
4064.0,0.02239072297025558,0.0023761417920713183,0.15061419420540442
5101.0,0.04889392686494565,0.003668944910710175,0.14679952862799403
4630.0,0.06182307059168185,0.0025796077752735036,0.14804854620550872
5816.0,0.011468123243903273,0.003186495340078521,0.15024088304859656
8403.0,0.04040959471044363,0.0034687904343278803,0.14861443715105344
9290.0,0.07875443668866312,0.0020024816546529768,0.1492156600246355
