Try 2 with higher cutoff.
best -> 0.4228623157708209 and parameters: {'cutoff1': 231, 'cutoff2': 116, 'cutoff3': 229} (SLIM was 0.4153408133492012)
cutoff1,cutoff2,cutoff3,result
185.0,145.0,21.0,0.4137046565768991
193.0,240.0,43.0,0.41535516872083533
202.0,99.0,204.0,0.4193433244386928
51.0,110.0,50.0,0.34666408583280345
227.0,237.0,245.0,0.42092490088554996
158.0,89.0,109.0,0.3989083791618021
143.0,28.0,6.0,0.3634167077119499
199.0,72.0,110.0,0.41038388249838836
51.0,118.0,28.0,0.3430315369017379
246.0,135.0,231.0,0.41964321520353365
102.0,248.0,176.0,0.3968332093270387
249.0,185.0,248.0,0.42054594989123306
248.0,198.0,239.0,0.4204040966235029
0.0,187.0,170.0,0.39714994462391995
224.0,191.0,248.0,0.4208056988158097
117.0,216.0,199.0,0.4004305710301956
220.0,167.0,143.0,0.42057501481353704
164.0,218.0,215.0,0.41258829930598684
224.0,168.0,76.0,0.4192613324689632
78.0,227.0,171.0,0.38990840821292483
170.0,157.0,146.0,0.414597097852271
226.0,198.0,141.0,0.4196302683202848
219.0,171.0,225.0,0.42125316036372545
213.0,213.0,219.0,0.41988242094681305
180.0,180.0,194.0,0.41702685716971216
133.0,4.0,248.0,0.4062830340151777
230.0,232.0,229.0,0.4211855386142642
234.0,232.0,224.0,0.42082646056117207
210.0,245.0,185.0,0.4195517875503537
182.0,142.0,218.0,0.4177719292508949
153.0,206.0,164.0,0.41040171585184976
235.0,230.0,231.0,0.42094375822481594
195.0,229.0,231.0,0.4177458503843513
236.0,248.0,205.0,0.4204633239075405
191.0,231.0,206.0,0.41703420285403014
208.0,211.0,233.0,0.4199844679035405
235.0,154.0,189.0,0.4215971393227303
238.0,149.0,187.0,0.4210600789447082
199.0,154.0,156.0,0.41911554807505325
176.0,96.0,125.0,0.40957438960763687
211.0,74.0,187.0,0.419799119772744
236.0,127.0,208.0,0.42194124347858064
234.0,129.0,213.0,0.4221697807577523
218.0,126.0,211.0,0.4211457297027418
243.0,113.0,199.0,0.4198464708361172
232.0,132.0,222.0,0.4221854189058868
249.0,129.0,181.0,0.41862735915281113
202.0,103.0,77.0,0.41408204294130574
224.0,139.0,209.0,0.4214534387824271
2.0,137.0,196.0,0.40357069766284975
189.0,83.0,211.0,0.4184733686028291
218.0,168.0,237.0,0.4213669869185217
230.0,118.0,236.0,0.42254867446363276
230.0,113.0,242.0,0.4224362045497149
238.0,118.0,242.0,0.4217311822647314
249.0,120.0,241.0,0.41971116166834765
91.0,57.0,242.0,0.40614961884864414
241.0,106.0,220.0,0.420649152002986
204.0,92.0,248.0,0.4193053081170014
227.0,114.0,239.0,0.42191647645755453
230.0,133.0,222.0,0.4222778007900902
227.0,131.0,224.0,0.42196514456745127
215.0,129.0,225.0,0.421170201655129
226.0,129.0,216.0,0.4218392380607455
231.0,146.0,202.0,0.42194855514846286
64.0,147.0,224.0,0.4052152859720137
118.0,162.0,199.0,0.4088389402773778
229.0,106.0,97.0,0.42126390620127013
207.0,85.0,233.0,0.4192935173427426
242.0,141.0,2.0,0.41897737527237994
219.0,178.0,176.0,0.4203850475864419
235.0,123.0,204.0,0.4220974849948169
229.0,134.0,215.0,0.4220703157315641
21.0,119.0,31.0,0.3337772791414452
244.0,135.0,217.0,0.41940734859665335
197.0,111.0,225.0,0.41898171006041557
214.0,96.0,233.0,0.4196683550509159
222.0,134.0,215.0,0.42159001801510654
232.0,101.0,192.0,0.4217463124518379
212.0,159.0,248.0,0.42102143777547146
188.0,120.0,228.0,0.4181673736663168
230.0,149.0,203.0,0.4219062226385769
230.0,123.0,222.0,0.4221125715445499
240.0,123.0,236.0,0.4210812701581612
223.0,133.0,221.0,0.4216339130252056
205.0,113.0,212.0,0.41985356573777727
249.0,141.0,229.0,0.41994492639466147
235.0,107.0,220.0,0.42238427808381984
234.0,108.0,208.0,0.4222483414813799
140.0,109.0,206.0,0.4148204708810765
243.0,99.0,243.0,0.4198267012057615
236.0,115.0,214.0,0.4223376413789522
236.0,124.0,235.0,0.422237334610788
220.0,90.0,235.0,0.4198947515021581
237.0,79.0,219.0,0.4209430135948943
245.0,116.0,237.0,0.41988463757320504
216.0,106.0,228.0,0.42054825697203574
233.0,123.0,211.0,0.4220693315511948
210.0,97.0,194.0,0.4199965385422946
223.0,71.0,243.0,0.4188276337061545
241.0,104.0,129.0,0.4203480490434049
235.0,122.0,222.0,0.4220987129744298
237.0,110.0,221.0,0.42219001461911915
249.0,109.0,230.0,0.41938391452766316
229.0,116.0,211.0,0.42252821338126484
239.0,93.0,249.0,0.4213341629420091
222.0,114.0,182.0,0.4210579935408778
245.0,129.0,213.0,0.4195812705026162
227.0,101.0,199.0,0.420783724391983
159.0,118.0,208.0,0.4157303275612145
216.0,109.0,238.0,0.4206123581084536
231.0,125.0,221.0,0.42232889486987646
234.0,138.0,218.0,0.42201329833547485
239.0,116.0,208.0,0.4213034262995455
225.0,127.0,228.0,0.4216954123636309
230.0,127.0,226.0,0.42241880457172537
229.0,111.0,67.0,0.42097675909368065
218.0,144.0,232.0,0.42149053285820415
244.0,87.0,239.0,0.41973471358272
211.0,152.0,223.0,0.4213012771998916
200.0,104.0,245.0,0.41902237553333355
232.0,131.0,216.0,0.42224652456111555
232.0,135.0,217.0,0.4222297870335734
225.0,138.0,217.0,0.42162953660192626
237.0,126.0,227.0,0.42187613286317527
231.0,115.0,203.0,0.4225245147305732
221.0,116.0,199.0,0.42122586072865514
231.0,134.0,204.0,0.4221983453638424
207.0,144.0,192.0,0.4204898939046323
242.0,125.0,233.0,0.4205679514787997
216.0,19.0,211.0,0.41576533819326394
232.0,132.0,202.0,0.4220584432694976
230.0,136.0,206.0,0.42190829708734356
225.0,119.0,216.0,0.42167104332975036
233.0,129.0,226.0,0.42227550515660933
247.0,120.0,225.0,0.4190913100840493
239.0,126.0,235.0,0.42134190126490456
220.0,114.0,161.0,0.42098239745000315
227.0,141.0,214.0,0.4218263812805297
