topK,l1_ratio,alpha,result
5617.0,0.05229200278455493,0.0005517756563851622,0.08916538314907899
4669.0,0.0186071257338892,0.004218638464829446,0.09198097546346054
6921.0,0.05334820930559478,0.0024047968444129487,0.09267122891227371
6576.0,0.06940758159764682,0.0037671409098041617,0.08877533666201418
4121.0,0.0540543460978298,0.004687215492079334,0.08846511985843547
8328.0,0.08657952554298709,0.0037099153666237472,0.08753144827661329
4848.0,0.0549292734378662,0.003393562971285969,0.09059442331476095
8736.0,0.04402708212406398,0.0046721748983214375,0.08935498546260953
7504.0,0.06738656513089364,0.0012527200113467848,0.09336186938587707
8506.0,0.07123091331321753,0.0022952815351975136,0.09202288542502021
2117.0,0.09954174678918054,0.00119029968068196,0.0931092318099128
2178.0,0.09782086161102191,0.001165471999004507,0.09324820505188168
2394.0,0.09865998428104679,0.0016214514326369292,0.09245417177966511
3335.0,0.08058659579741305,0.000500870376188497,0.08994245028646494
7039.0,0.08619875797125116,0.001527532754524902,0.09299658148820672
6010.0,0.07088847282676217,0.0019863187501251932,0.09254165012056072
7523.0,0.03947446256812791,0.002964136097811384,0.09255909842061233
3439.0,0.0676492522324199,0.0010827330630277837,0.09320814161779312
7701.0,0.09570177200435606,0.0019269628026672815,0.09180352835773685
6193.0,0.07916809471369173,0.0010087257065766798,0.09315665158666464
2876.0,0.08927706301103164,0.0027037563775904037,0.09013239519067752
3696.0,0.06645545295252653,0.0010221278365970087,0.09312760405230339
2907.0,0.07787582691758471,0.0013938419550917763,0.09320861214618191
2686.0,0.077786111396404,0.001406098518824016,0.09320203646384317
2019.0,0.09006575448437479,0.0018180417577842467,0.09216443210214548
4829.0,0.09247373855633895,0.0008820939559565199,0.0931676100274771
3041.0,0.06211961273120532,0.0014101110081394558,0.09327710843137713
3921.0,0.06355518347276191,0.0007427124538943353,0.09174101827885511
4319.0,0.06154493154685265,0.0013898791903310262,0.09334647746743548
5394.0,0.06107764974661748,0.0005990095330982914,0.09023142275338869
4371.0,0.059541712917028256,0.0016888309563965575,0.09327835330057724
4418.0,0.060600157048763655,0.0017020641973784314,0.09326969556807113
5307.0,0.04832993759383855,0.0014611879239014303,0.09332057326629091
5449.0,0.04561913462460547,0.002129549964197055,0.09317169664801232
5153.0,0.05803706908051849,0.0016748163565068498,0.0932906937936524
5087.0,0.05041900808546276,0.002146111824360546,0.09307069787875578
5795.0,0.03509602113093749,0.0013007926187454462,0.09280025889507654
5231.0,0.05670321872062805,0.0007674797759810671,0.0916530708046981
6602.0,0.05101944125336782,0.0018602251394975804,0.09321956348561392
6427.0,0.05631088083899759,0.001584556329619815,0.09333660032901638
7811.0,0.05285182913165646,0.002452778489443372,0.09264734668585173
6474.0,0.05787735392379609,0.0014950801890208302,0.0933275461436743
6945.0,0.056020806638700696,0.0011891655624323206,0.09315416856821898
6564.0,0.04739990928087443,0.0013929260921283367,0.09322283802070176
7349.0,0.06545409114733629,0.0015426699110807204,0.09330853325964251
8032.0,0.07346656993813182,0.0009269066524475285,0.09293265700761688
6331.0,0.05543769621923042,0.00110490358200031,0.09303376949331445
8972.0,0.06506020140561411,0.001578838597969411,0.09332054803432423
7231.0,0.06834713066684417,0.0012699771791648228,0.09334743944411415
7223.0,0.06907809571101771,0.001247929408227769,0.09343822295103744
8088.0,0.07043348726702273,0.001239937583738951,0.09341399006379701
8238.0,0.07089539825309468,0.0012302148647605107,0.09341321054190749
8353.0,0.07179802033379473,0.0012445727574482586,0.09341439826408665
8379.0,0.0726856794177368,0.001219797639660472,0.09339172501485082
8325.0,0.07300228437900179,0.0012046973605877513,0.09339065149872684
8342.0,0.07400676793701051,0.0008567780721176026,0.09274477168034431
8639.0,0.0709409946226847,0.0010711967968495056,0.09323002595300418
8029.0,0.08306473387784813,0.0006421520425983581,0.09153723601637605
8954.0,0.07491278948332411,0.0005020644365524795,0.08965025452614153
8144.0,0.0701195617743745,0.0012082711109177296,0.09339068898432706
