SLIMen con rimozione 10% outlier item, log heuristcs. Step 1 di ricerca hyperparams.
topK [0, 1e4], l1 [0.0001, 1], alpha [0.0001, 1]
best: topK:6057.0 l1:0.17931851264121895, alpha:0.007032424930300668, accuracy:0.0875438582492453
topK,l1_ratio,alpha,accuracy
2042.0,0.34390590229930157,0.4466146351519789,0.049165824963116604
2716.0,0.07785307650774273,0.8904886371750892,0.05842267253939985
5228.0,0.35160619630113765,0.7174220243917345,0.040757698286843065
7133.0,0.16170695699757162,0.5686489167243746,0.05609445337591702
7047.0,0.14079181107613753,0.465241700884607,0.06063933928525291
2293.0,0.4748119645045019,0.8458417413944667,0.03315939504584623
9476.0,0.9677737049739737,0.6397973471266881,0.02318542278083348
3548.0,0.3942980449027007,0.8200265082144473,0.03668764463196787
7007.0,0.8708309671193507,0.704944646700874,0.023200570344772846
9961.0,0.19743966284956857,0.7582191263591932,0.04916713986539717
7131.0,0.02030741799329766,0.1882386827518736,0.081399585212299
7224.0,0.005597040182887647,0.2128338984898624,0.08265795514585442
107.0,0.013499533817674565,0.12178503378414157,0.08456599653638966
75.0,0.0016654636741071111,0.006965983539824416,0.07073754196604114
203.0,0.2377426205245074,0.24405528425167772,0.06283154516464559
5013.0,0.0019327637939017157,0.28769623874708383,0.08165753486506079
8593.0,0.2484606306997595,0.004163269512562573,0.08689611029318715
8634.0,0.2539789708464897,0.02198226774060872,0.0843887888164965
4080.0,0.5931413259402913,0.10149305335102571,0.06315319026940358
5947.0,0.11838399090828014,0.9843444786641217,0.05206980308536999
8527.0,0.26287148513238284,0.32735552709794746,0.05751479717950959
8827.0,0.26400107550645135,0.03311745177574252,0.08135439449126194
1056.0,0.13559553387780562,0.11738462658321341,0.07612719147686853
8670.0,0.21573900200440776,0.01239239409257643,0.08691526964679533
8071.0,0.10564526036856739,0.11793176123248054,0.07768193913835543
6057.0,0.17931851264121895,0.007032424930300668,0.0875438582492453
6218.0,0.2031292665911352,0.0012387581889976651,0.0805598413301325
7800.0,0.30991766491350925,0.3165488511025775,0.05605221781415672
5935.0,0.41133849068892736,0.17614163499312396,0.060229848080619534
9382.0,0.3376003510678882,0.39443942606954857,0.051376069571999194
4162.0,0.18573975121682584,0.0710339782825871,0.07792401189858458
1191.0,0.07447121059977146,0.08100859072804308,0.08169675679974164
3165.0,0.06730670963733444,0.13916979118538916,0.07874242447089207
8062.0,0.07834372755003483,0.07649531198320793,0.08181211236670459
6279.0,0.19065006653862024,0.18022913424772385,0.06910252438586208
4591.0,0.1404459493832837,0.04806214056809689,0.08208387003410639
5399.0,0.29765303374464297,0.14092826863818958,0.06706085301124
9230.0,0.16689522224142583,0.0006438199300010904,0.07415658071704458
2723.0,0.06527019605164538,0.06859659380853436,0.0830433337069244
9985.0,0.2356962271137912,0.14495019391606986,0.06965288758594339
1405.0,0.14127415679424765,0.23211541728995164,0.06907043609148868
8445.0,0.283160094890445,0.0380993600320543,0.08019302748184437
7470.0,0.2199790044238492,0.0455936271414459,0.08039411823516926
6652.0,0.34464186034433797,0.00596093021951222,0.08745413185084318
6465.0,0.3602880062610111,0.09688091339245544,0.06981004006877352
5461.0,0.3213848362638231,0.06774737000363157,0.07444559555821144
6738.0,0.18478624286221074,0.15524185612191804,0.07135715307851807
7576.0,0.3966571790304774,0.003425743212469011,0.08692025930451322
7566.0,0.41514828513714963,0.01876173652471132,0.08302521959107871
6917.0,0.3815409174216139,0.2101478801565311,0.058974460137004525
9168.0,0.4557554677895746,0.10204477645923475,0.0663517202030129
8050.0,0.3479373553494054,0.0017892040873753938,0.08416280876195939
