trialid,accuracy,topK,l1_ratio,alpha
0,0.089740321054232,7041,0.11910729559396256,0.0029078844605895963
1,0.09514418518119334,7683,0.2241088860804449,0.0007700162868911894
3,0.08509330840878992,4280,0.13785575593726546,0.0038657089310974364
4,0.09132714022039191,1175,0.21466207651540709,0.0014758230060111688
5,0.08823496140268594,1050,0.07290350053346797,0.0047603010410532665
6,0.07164776010151404,6521,0.21689935953729317,0.006287808111700106
7,0.09547819844857092,8685,0.038526293189380695,0.0021154784061001236
8,0.0917772664870831,6460,0.10897965634957857,0.0004149477062972281
9,0.08965160455804176,388,0.008537648784474473,0.0013607200942422637
10,0.09324905033540462,9108,0.00454339449313531,0.002404952468031292
11,0.08229301177274018,9720,0.24162547019945618,0.00010351693078367854
12,0.09323000156643477,8047,0.1657062953862014,0.0014854074530471655
13,0.089460151645652,5159,0.17540970511213724,0.002212820100258538
14,0.09410576453919763,8367,0.046506239064627516,0.0009346355052461891
15,0.09526990582456445,4948,0.04223798970517856,0.0022612842536311193
16,0.09390476698070734,3557,0.043788712569830884,0.0033523800601048233
17,0.09535370779702958,5439,0.036354807150344004,0.0019892826995497157
18,0.0940620498904293,3147,0.02389763135581078,0.004078849474345199
19,0.09497340418145941,5693,0.07218856378870554,0.0019554590503196604
20,0.09495376649893675,9360,0.020833050832602798,0.0028980911402949677
21,0.09548950049687291,4392,0.0419525517457482,0.002128404353352412
22,0.09131779192078812,3079,0.0011660046584354433,0.0015277869407043475
23,0.0941963094705174,3798,0.058200311070906986,0.0026434967691222316
24,0.09502946384456652,2423,0.028714122209042674,0.0018288356740611814
25,0.09524707861189766,4571,0.09523800928409278,0.0009523311889433693
26,0.09319150032383827,5863,0.062222215585727346,0.003081465831560504
27,0.09534508484260484,7231,0.029725832474039805,0.0024885528707566922
28,0.0951690629250818,8556,0.05395297406605147,0.002026260325262998
29,0.09296148045934043,6273,0.08407726409115635,0.002648318186871862
30,0.09437315983188817,7125,0.036626623385068974,0.0032831379557440137
31,0.09507942066736387,7164,0.022166321764657493,0.0026453216695585023
32,0.09549325649786142,7572,0.03698722350992818,0.0022012674688477157
33,0.09531040336578496,7712,0.06813476046623416,0.0018178024548776062
34,0.09457107918421408,8888,0.050945554738592934,0.0010693441511511429
35,0.09518325555244601,5597,0.03509482691667644,0.0019125926811983563
36,0.08825460803870701,9802,0.014968143364300385,0.0005641423056669604
37,0.0955675503321688,4006,0.08520784245149113,0.0013629291147717664
38,0.0955331951233803,4258,0.08350132440615354,0.0012539454716034813
39,0.09549457493776273,4401,0.08584127009394202,0.0012184087255768276
40,0.09535792550509134,2371,0.08773760720372097,0.0011786859691685866
41,0.09514438699749421,4344,0.10684503539109237,0.0008395594422754242
42,0.0956077133567652,4749,0.07673050295427719,0.0013473037900522248
43,0.09561609647443715,3808,0.07887919648219135,0.0013099540468821918
44,0.09564437478959686,3685,0.08125810000853637,0.0013503945179548192
45,0.09137110789872518,3777,0.07223550782356357,0.00045903918178251185
46,0.0951553642796785,2927,0.09987888155358629,0.0014190376841882746
47,0.09502539530408072,4970,0.11424353639331897,0.0007759513537959963
48,0.0856928738186051,1653,0.12098861021423607,0.00019795473614556873
49,0.09486438787276347,3944,0.09563447915723354,0.0015960517198529037
50,0.0952906775263958,3468,0.07904820328539043,0.0011796049497514224
51,0.09302922218133056,4093,0.07871953290011298,0.0005781292977090951
52,0.09541034466492075,4678,0.08998721985311796,0.001171596504076863
53,0.09539884624227074,5218,0.06522838371110068,0.0016504208970778333
54,0.09528843830777904,3408,0.10540315856108098,0.001212435934002329
55,0.09521378093811128,2853,0.12941671417875497,0.0007960517354019021
