SLIMElasticNet senza nessun preprocessing sulla URM (step3) (note: probably got stuck on a local minima..)
topK[7000, 1e4], l1[1e-5, 0.08], alpha[0.0001, 0.0026]
best: accuracy: 0.09525340374344587, topK:8961, l1_ratio:0.06784550883957426, alpha:0.0013492716206350524
trialid,accuracy,topK,l1_ratio,alpha
0,0.09485477953663847,8171,0.04121624107668459,0.001999152336457023
1,0.094989288816666,8724,0.06152051755483133,0.001200355966218069
2,0.09273558838549266,7891,0.054042813680265235,0.0007333989236780638
3,0.09487311776407263,9839,0.04187243662781403,0.0015002120956465928
4,0.0862369826006852,9625,0.004814579773069013,0.0006049030916370426
5,0.09395429765966887,9306,0.030862297498630023,0.0012760520273031287
6,0.09494926966328164,8352,0.05233857706827732,0.0018613370353252512
7,0.07593766254207153,9962,0.0023601849107852705,0.00019060228673166608
8,0.07477413492213007,9972,0.06255782572813436,0.00011221585196008929
9,0.0947680091612878,9051,0.06946250045153507,0.001075253705813802
10,0.09301087667533578,7297,0.07724959557243737,0.0024616967240902827
11,0.09510321584067884,8735,0.056776425025391805,0.0017012518641984832
12,0.094786706478385,8873,0.0770070983090099,0.0015898809212165081
13,0.09459760414536623,8661,0.06193989262686445,0.0010873228551323718
14,0.09494222033517857,7793,0.053138123426188316,0.0018390688224362978
15,0.09412502738107972,9298,0.06684306770559115,0.002231661258845475
16,0.09463613981629668,8632,0.03357594892223333,0.0015357014565276152
17,0.09393861798290104,7060,0.07882209976673082,0.0020806131475998176
18,0.09506188642390564,8140,0.05785994025092534,0.0017069378698313271
19,0.09510191954149502,7667,0.04653658006018152,0.0016867086233239717
20,0.09423029318701155,7571,0.04729085204662449,0.0024852891215749622
21,0.09505172866807818,8119,0.05532705093387443,0.0017305603631026407
22,0.09508613363620111,7576,0.04530444403616844,0.0017185843543028878
23,0.09499414317113124,7531,0.046624823086222796,0.0013843885540732856
24,0.09494956534985768,7081,0.03307432827051652,0.0019055785458509205
25,0.0947030625467698,7785,0.04745980654061154,0.002135159686199901
26,0.09504848690743714,7452,0.037618587960469754,0.0016748140052196619
27,0.09409562473271066,8341,0.025705702797906776,0.001442956864367047
28,0.09447383673894508,7902,0.04963741119378503,0.002237184458221756
29,0.09495032956453352,7287,0.04362107049371997,0.001957257605352156
30,0.09517268757512695,8432,0.039689589233748254,0.0017585956230775236
31,0.0952249162316303,8359,0.03970567021500629,0.0017676982041230369
32,0.09497687941850823,8432,0.039512372109377046,0.0019854416757097678
33,0.09496403482708785,9015,0.03918476522182853,0.001585524108773348
34,0.09510228648509841,8821,0.049758798458903034,0.0017968345474936504
35,0.09512650767839294,8786,0.056490218563743956,0.0013923360751155029
36,0.09508691459377791,8520,0.056672079384667284,0.001294096443583597
37,0.09385565601392078,9361,0.02461447864126052,0.0014245112507791102
38,0.09487425312396773,8231,0.05228369363826635,0.0012210667963675897
39,0.09513524144034775,9091,0.05976489268166361,0.0015388379443402437
40,0.09485744558979844,9668,0.04196067960141332,0.0015056115556782582
41,0.09483254523849077,9138,0.059314597949912985,0.0018447892346637657
42,0.09525043257364481,8822,0.06565155255991964,0.001363940512375205
43,0.09525340374344587,8961,0.06784550883957426,0.0013492716206350524
44,0.09506348533214029,8535,0.07101243960276554,0.0012161786849009682
45,0.09463225969878905,8960,0.06388458893861661,0.0010929633209906169
46,0.09523400434485108,9169,0.06700827437339117,0.0013299809381355076
47,0.09453665508993954,9442,0.07359293167913,0.0009539773122595905
48,0.09518504471097745,9256,0.0672933098925333,0.0013038664233305619
49,0.09521611218111943,9215,0.0660521033590874,0.0013305821899570222
50,0.0950818396409983,9642,0.07480940669897632,0.0013142656975680394
51,0.0951012438003061,9173,0.06767891231139901,0.0013661165667454584
52,0.09506951772179266,9448,0.06459556649210817,0.001260825874925734
53,0.0949768556208652,8910,0.07022626135459625,0.0011493169459656383
54,0.09438593120644777,9262,0.06643229836667597,0.0009601213696648149
55,0.09508888265925543,8657,0.06307599806620062,0.0014662764264718406
56,0.0950792687711414,9542,0.07235178692696849,0.0013309435471181882
57,0.09497811149267156,9228,0.06921884722922143,0.001605600695692182
58,0.09515313426365087,9763,0.07932769021624031,0.0011645262999553257
59,0.0950575562718538,9044,0.0762022221652941,0.0014743659686610698
