trial,topK,l1_ratio,alpha,accuracy
0,3539.0,0.089916,0.003834,0.087709
1,8251.0,0.049443,0.002398,0.093820
2,4318.0,0.092373,0.004905,0.084487
3,8807.0,0.027543,0.001707,0.094552
4,8938.0,0.076198,0.001013,0.094302
5,6418.0,0.085374,0.001199,0.094391
6,3309.0,0.014872,0.003210,0.094098
7,4482.0,0.027927,0.003540,0.093324
8,4948.0,0.028268,0.004117,0.092792
9,7673.0,0.094667,0.002692,0.090532
10,2113.0,0.054550,0.001931,0.094145
11,6487.0,0.067053,0.001005,0.094299
12,6446.0,0.044058,0.001746,0.094550
13,6769.0,0.042352,0.001810,0.094474
14,7237.0,0.034247,0.001844,0.094726
15,7762.0,0.010626,0.002466,0.093680
16,8991.0,0.032367,0.002185,0.094385
17,7300.0,0.062021,0.001641,0.094266
18,5606.0,0.021193,0.002694,0.094197
19,8337.0,0.037854,0.001413,0.094460
20,5789.0,0.022441,0.002087,0.094306
21,7077.0,0.042674,0.001592,0.094585
22,7229.0,0.035839,0.001516,0.094539
23,8261.0,0.046503,0.001392,0.094490
24,7078.0,0.038368,0.001919,0.094514
25,7801.0,0.030503,0.001497,0.094373
26,6154.0,0.051693,0.002186,0.093991
27,8250.0,0.042036,0.001732,0.094681
28,7545.0,0.044386,0.001302,0.094341
29,6823.0,0.057602,0.002036,0.093997
30,5059.0,0.039597,0.001226,0.094265
31,8440.0,0.034435,0.001728,0.094590
32,8461.0,0.048860,0.001639,0.094467
33,7959.0,0.034816,0.002343,0.094241
34,8538.0,0.043749,0.001911,0.094426
35,8071.0,0.039582,0.001668,0.094537
36,8634.0,0.050472,0.001155,0.094299
37,6035.0,0.034438,0.001410,0.094339
38,7472.0,0.025355,0.001826,0.094482
39,6942.0,0.031846,0.002287,0.094346
40,3569.0,0.048580,0.002538,0.093582
41,8897.0,0.027528,0.002060,0.094423
42,8689.0,0.021803,0.001604,0.094015
43,8106.0,0.030334,0.001141,0.093495
44,8128.0,0.042470,0.001741,0.094672
45,7471.0,0.042154,0.001784,0.094549
46,8037.0,0.035626,0.001300,0.094161
47,6617.0,0.046124,0.001963,0.094376
48,7808.0,0.040821,0.001509,0.094596
49,7743.0,0.053569,0.001729,0.094294
50,8319.0,0.039398,0.001466,0.094549
51,7160.0,0.040675,0.001104,0.093882
52,7734.0,0.046896,0.001572,0.094579
53,8715.0,0.041999,0.001872,0.094455
54,7448.0,0.033388,0.001032,0.093247
55,8231.0,0.037998,0.001342,0.094300
56,6252.0,0.045339,0.001730,0.094495
57,7929.0,0.036888,0.002169,0.094310
58,7280.0,0.032412,0.001485,0.094438
59,2670.0,0.051396,0.002008,0.094087
