Further run of slimen.
topK =[5000, 9000],l1[0.04, 0.1], alpha[0.0007, 0.003]
best: topK:8668	l1_ratio:0.04379366458351434	alpha:0.002121564814086149	acc:0.09544158037441956 (previous best which is l1_ratio= 0.06907809571101771 , alpha= 0.001247929408227769, topK=7223 scored 0.950093 on this split)

topK,l1_ratio,alpha,result
6146.0,0.063822314542667,0.002358937378110837,0.09460934102074114
5754.0,0.06786406374167483,0.001378391829617049,0.09519670653180204
7821.0,0.05795781273428374,0.001235382612733052,0.09480088073988681
7255.0,0.05998176790531538,0.0010493712706511798,0.0943484475183445
8474.0,0.0487090399331529,0.002511492130980545,0.09494082489097684
6154.0,0.08956167627322291,0.0017619013136486758,0.09458807600114241
8819.0,0.09275425286752012,0.001984287230305286,0.09423573289767595
8265.0,0.04745907039685748,0.0023845821951343563,0.09500037144732795
6511.0,0.09331539332021618,0.002932506263805105,0.09162365247513192
5470.0,0.043410942192460084,0.0012652256957156457,0.09450758797536624
5225.0,0.07859743907798754,0.0007500412932791962,0.09345018801822294
7817.0,0.07647765096983619,0.0018125404438385988,0.09484105561788342
7146.0,0.051901989642267984,0.0015403548818746847,0.09518519262115903
6920.0,0.06707003676701365,0.0015276943102840545,0.095305598705268
5760.0,0.06862690172097424,0.0015166632006951468,0.09526263343688754
5005.0,0.07179739823563809,0.0016025046938706068,0.09519798631935206
6908.0,0.08182579922688177,0.002038919346706788,0.09453892127759925
6637.0,0.06694239700493776,0.0009336619054125939,0.09411937675776454
5990.0,0.0994569026433033,0.0015183920876623664,0.09487042746003091
7582.0,0.07146220693494817,0.0010743670541089572,0.09473318480902192
6671.0,0.05699836183756337,0.0014012304618704343,0.09511585500286521
5225.0,0.07213007523955377,0.0016469603409759,0.09513924700578333
5585.0,0.06279691301882409,0.001619481918442167,0.09518708361806841
5048.0,0.07283308676995115,0.0013684086813986287,0.09515173067392164
5814.0,0.0654460678497306,0.0017015718921119455,0.09521766923072732
6423.0,0.06380887431223811,0.0019271814541101323,0.09521624415713495
5945.0,0.055597344617706365,0.0018120499282259356,0.09528445276920468
6342.0,0.05493233144947263,0.0018281637512841177,0.09531584450048236
6220.0,0.05335626558177634,0.0020835790711628195,0.0952990128744497
6371.0,0.04227408990204247,0.002044728953185377,0.09533574345929618
7018.0,0.04443947258141909,0.002180430990610184,0.09532890503566673
6899.0,0.04081081877144832,0.0021543329549890498,0.09542722926653487
7374.0,0.04095436771914584,0.002183135558351864,0.09540332543211744
7299.0,0.041446670301105354,0.0022590785571387265,0.09527530730776766
7533.0,0.04125354576325033,0.0021920615460750666,0.09540229529826748
7468.0,0.04147622814661571,0.0021717385151933267,0.09539869846411564
7490.0,0.046815115292040854,0.0024311791391055334,0.09503986489994172
8081.0,0.041320203432329734,0.0022721600102962774,0.09528068904845033
7725.0,0.050930891630166855,0.0025611833928904145,0.09471504925250093
8099.0,0.040168104363372197,0.002212525520234021,0.09538524286839528
7335.0,0.0454164869373763,0.001927252658838399,0.09540452909964718
7390.0,0.04549811857894601,0.0019219734214351728,0.09539132117715127
7175.0,0.04935752800764489,0.002143313453615868,0.09533896246035992
7670.0,0.0452548719986203,0.0019063508290492735,0.09537174034747276
7987.0,0.047956669853523363,0.002090752093325858,0.0953891059178937
8509.0,0.04351920815376579,0.002331146108636245,0.09512665021318967
6773.0,0.04078934704667532,0.0019747955935168373,0.0953817375097192
7405.0,0.04956810760336925,0.0021607881554981043,0.0953618545604824
7032.0,0.04619613985310813,0.002367001052352726,0.09500675019793625
7918.0,0.04343138888279563,0.0024989379994716206,0.09499713363737107
8349.0,0.048044104703639484,0.002003754820570354,0.09539414506511279
8919.0,0.04769351987973789,0.001979324889486975,0.09537698587288751
8579.0,0.04379898339366207,0.002116971470550396,0.09543507863242501
8668.0,0.04379366458351434,0.002121564814086149,0.09544158037441956
8703.0,0.04392731012601763,0.0022843233637219653,0.09511970262412761
8645.0,0.05133241197471596,0.0017567501522432099,0.09522526793733713
8998.0,0.04576183118516585,0.0020965276306703895,0.09543177295462045
8989.0,0.045497676477924166,0.0020886960886561403,0.09542769339904689
9000.0,0.04625505468527687,0.0018789324498384072,0.09531253143428715
8809.0,0.04973350558538804,0.0020852014942652187,0.09542027270754916
