slim bpr cython
range-> ("topK", 5, 1000),(lambda_i", 1e-5, 1e-2),(lambda_j, 1e-5,1e-2, log=True),("learning_rate", 1e-4, 1e-1, log=True),
best -> accuracy = 0.067, epochs =  250,lambda_i=0.00101188052936185,lambda_j=0.002767541864143895,learning_rate = 0.0033903025923327948,topK=317
trialid,epochs,accuracy,topK,lambda_i,lambda_j,learning_rate
0,135,0.024361819870901594,524,0.0008545859634007574,8.603327786948948e-05,0.02022805961152546
1,130,0.024716672272676262,369,0.00010889537120654698,3.3411693187258546e-05,0.030651012812258915
2,50,0.024351660980571167,378,0.0015033053493362497,6.769044427649696e-05,0.07432108261603869
3,125,0.02263135281021255,846,0.00014435310887963947,6.955957656994057e-05,0.0005887958279027144
4,90,0.02385197331539412,364,0.00016248877796721029,9.935679684465629e-05,0.0007143763118240354
5,115,0.022783708135120834,841,9.965904289988306e-05,1.1439310142152882e-05,0.0006151221569878943
6,250,0.02510906491759162,317,0.001011880529361857,0.002767541864143895,0.0033903025923327948
7,85,0.023910904489612833,386,0.00010990082913105577,0.00031029257356671283,0.00033999152415885536
8,95,0.022828712379671004,691,0.0003534262877132168,8.610265178464034e-05,0.00021112184310671635
9,105,0.024518259574263585,285,0.0008426973063883325,0.0001397703712381364,0.00020286403894632989
