slim bpr cython
range-> ("topK", 5, 600),(lambda_i", 0.0005, 1e-2),(lambda_j, 1e-5,1e-1, log=True),("learning_rate", 1e-4, 1e-1, log=True),
best -> result = 0.029642857142857318, epochs =  250,lambda_i=0.004703327686172411,lambda_j=0.0002247593672925485,learning_rate = 0.015361007641850789,topK=29)
trialid,epochs,accuracy,topK,lambda_i,lambda_j,learning_rate
0,60,0.024193655598801895,405,0.0011473801591066978,0.0803747668286765,0.0745818339756915
1,70,0.025085143273589232,332,0.0069073479903509465,0.03417142708476255,0.04742657624460189
2,250,0.02459797302708506,438,0.0009354613333686987,0.01838138894593335,0.007234427367974138
3,75,0.025584626719843705,167,0.00543588844304107,0.0005712214994464087,0.0006816338556970158
4,180,0.028489692950843405,25,0.005311458312889981,0.000545142831676272,0.0047355504653514915
5,125,0.02476789117934427,249,0.008768991291036294,0.00020970194813616175,0.00010999175036781394
6,235,0.029642857142857318,29,0.004703327686172411,0.0002247593672925485,0.015361007641850789
7,165,0.02706679960918107,156,0.009716169857053763,1.5190549395464266e-05,0.009664971488298852
8,95,0.02380847068056962,404,0.0011045790979252697,0.006834234060157227,0.0004074213908622992
9,115,0.02455131500969035,267,0.001706451588058069,8.519572165551917e-05,0.0002559736296501592
