slim bpr cython
range-> ("topK", 5, 200),(lambda_i", 0.0025, 0.0075),(lambda_j, 1e-5,0.05, log=True),("learning_rate", 1e-4, 0.04, log=True),
best -> result = 0.0297272035622188, epochs =  445,lambda_i=0.00357814405695588,lambda_j=0.0000517456087547006,learning_rate = 0.0110299013052305,topK=18)
topK,lambda_i,lambda_j,learning_rate,result,epochs
123.0,0.002956882507355479,0.004132070360577193,0.0019256079681970442,0.026434273541236217,70.0
179.0,0.00473255323048906,0.0003584282916957813,0.00973503551367362,0.026840509025675533,210.0
198.0,0.004400350280332335,0.00039308325344899884,0.004014048054323394,0.026101396697259478,220.0
126.0,0.003450521353451022,0.0021231137977959515,0.0011275815043668516,0.026347928979866393,185.0
67.0,0.002639788902798718,2.5551470247236156e-05,0.0025347439851268667,0.027804690628353675,315.0
198.0,0.0031624620469246885,2.0279700715589932e-05,0.010974065888720646,0.02641631428891774,160.0
165.0,0.0039797902768263895,0.02385791565203471,0.0001574357281563377,0.025612712828151786,150.0
93.0,0.006247983382827259,0.00010077480309737125,0.00525024565508254,0.027487310396745363,115.0
94.0,0.004650272474525807,2.051127815935298e-05,0.0002126614083609485,0.026613930133102683,230.0
108.0,0.002508732620669786,0.048479966801700726,0.002051211646650132,0.026478132558102278,90.0
23.0,0.0025090160639795857,1.2188608794358605e-05,0.03470593721665966,0.029436628065286238,145.0
12.0,0.0025246874246803,1.4408638657611625e-05,0.029374315356192823,0.028979790335239473,70.0
6.0,0.0025137564556866423,1.0791653227616239e-05,0.036322711757572984,0.028475365591914693,55.0
7.0,0.0030538412720209403,8.069385953474032e-05,0.03315875974707597,0.02890355661268896,65.0
44.0,0.003605631759894962,6.752398747031083e-05,0.019455125909419377,0.02902382153668745,145.0
43.0,0.0036336055596474844,9.403357767768401e-05,0.013908525719004887,0.029044763986994127,185.0
44.0,0.003804664764338041,4.83489401657489e-05,0.014942014100710306,0.029068052952765464,190.0
41.0,0.002955965297993677,5.7376556792655575e-05,0.01989861384858943,0.029117149584354535,90.0
67.0,0.002834848678563139,0.0002042916044425583,0.007402576792061756,0.028415789726587048,330.0
26.0,0.003279036803555575,1.0880207743232812e-05,0.020948389534136552,0.029399364118335068,180.0
24.0,0.003288527807803527,1.0012655355058903e-05,0.02306023149866431,0.029450030432623946,145.0
26.0,0.003328855685507661,1.0657650595670909e-05,0.02378029712567595,0.02930374961959244,135.0
64.0,0.0028591293230338347,3.221416894609941e-05,0.03223665271690721,0.028239324555924,125.0
29.0,0.003290868993279166,1.0091360758375268e-05,0.015728379347233826,0.02933975621866658,195.0
26.0,0.0028052587550607667,3.0945586224850567e-05,0.039183059261302874,0.029121574327679426,65.0
79.0,0.0032192163197158315,3.1425081812365515e-05,0.007339861777540661,0.027985720692582566,265.0
56.0,0.002733708097647572,1.990832912350436e-05,0.02123123729275822,0.02855248426313019,115.0
25.0,0.003106770025101517,4.238136706659577e-05,0.011918997937403641,0.029425524161901716,270.0
14.0,0.002706528055403026,0.00015538102611687598,0.01039311244535437,0.029528446494642428,365.0
144.0,0.0026891123891913415,0.0001431627057337532,0.03808301243078434,0.026710533692117924,70.0
15.0,0.0029286764933267235,0.0010763028809074942,0.010451998908646048,0.029612953085707893,305.0
17.0,0.0029974039324932094,0.0014844521359028812,0.009041512199406857,0.028727351721045083,85.0
36.0,0.0027223990271825426,0.0007098469913416848,0.015538598549797387,0.02876815145836345,135.0
15.0,0.002946623600623577,0.00023759904187465144,0.025382032264648094,0.02956635913699504,150.0
51.0,0.0030040981039093063,0.00027557947682087475,0.005688331173641201,0.02784547835279428,105.0
6.0,0.003401933476844288,0.0005698598961933508,0.010209066190089504,0.02898065926673411,180.0
15.0,0.002908894440839469,0.00018252418591772752,0.003422803733571906,0.028542465523040902,155.0
35.0,0.0031702487683654477,0.00036519216185215095,0.024509677101836325,0.02901219307097223,150.0
79.0,0.004092415361268974,0.00012633417789219192,0.011366591563566468,0.028116617013438452,210.0
145.0,0.0034942825431129,0.000744817476750074,0.0047868240007784245,0.02651150433264461,155.0
58.0,0.002701991431165553,0.0002360931017261113,0.008932068709321516,0.02815518635977773,130.0
22.0,0.0026447095939753245,1.918107711717056e-05,0.02729981525554037,0.02950417247289113,125.0
16.0,0.0028623319110015143,0.00011482308410025792,0.02644185365484163,0.029038733522336088,55.0
17.0,0.0026728598274861136,2.14207932176054e-05,0.015976798760586,0.029344961799048736,190.0
36.0,0.0030902819618281213,1.7059564902116808e-05,0.02430880834967743,0.02933101084362452,225.0
185.0,0.002571179776741523,4.533008549916187e-05,0.012341693048375972,0.026412249931927038,105.0
6.0,0.002624095346829714,6.90415380747735e-05,0.017961136151017573,0.028899524290039016,155.0
113.0,0.002923028443499559,1.573613829103055e-05,0.03015013732810291,0.027360678647510215,100.0
14.0,0.0031381102209843445,0.00048131031797934005,0.013464777936918212,0.029429164063876644,140.0
49.0,0.002582574245425185,0.00031514655420615914,0.027400445038253084,0.028586893149456283,125.0
32.0,0.0027634051902246204,0.00016905093051486543,0.018007417677506212,0.029340088574952412,130.0
21.0,0.0025020271998167773,2.3608399462298636e-05,0.03917841480363948,0.02913095638524509,145.0
10.0,0.002608594706795311,8.744027327954861e-05,0.03034910283799956,0.02909058110294247,95.0
22.0,0.0027997766874003583,1.5469392453518617e-05,0.0245337332897044,0.02949583153140185,170.0
