topK,lambda_i,lambda_j,learning_rate,result,epochs
25.0,0.0031898697567870503,1.1386741271389837e-05,0.029331892286150935,0.029359501385485428,115.0
13.0,0.003120264550778606,9.510900213307469e-08,0.010579558634916306,0.029378577835439672,210.0
25.0,0.002718253660215043,2.0932606944438304e-05,0.032233711766857395,0.02919410407957344,100.0
9.0,0.0025113189520581305,2.472617908069614e-06,0.018250645965270137,0.02898025483318129,100.0
14.0,0.0020195831494256035,2.8290882063196574e-05,0.022936559616205016,0.029551975717969844,230.0
11.0,0.003003047656114716,1.138289205164679e-05,0.02845523724035235,0.029047811253664114,75.0
6.0,0.0031647705117885186,0.00018754146786346563,0.015487485453232011,0.029223439527173323,100.0
15.0,0.0024303121269614717,2.214551588153953e-06,0.017562400624954736,0.029515881024458342,135.0
9.0,0.0025530447238226992,3.899808384016112e-05,0.020302452670765993,0.029002454631364916,125.0
8.0,0.003572490007884169,1.3578473977813953e-06,0.01932321448769671,0.029226735059984466,155.0
19.0,0.0020902925513187343,0.000199729716299648,0.009294520685968193,0.02961178783656096,370.0
20.0,0.002015649514763225,0.0002490772589842028,0.008593504146524733,0.028788833629651085,100.0
18.0,0.00201803134213381,7.827274213491935e-05,0.012668902559382675,0.02929069963000344,185.0
19.0,0.002220144377342337,7.533875148805373e-05,0.00800832721705859,0.028666494482084883,115.0
16.0,0.002214618186038968,0.00011916533301790102,0.013326677139196027,0.029324764147165873,160.0
22.0,0.0022285528424316765,0.0002415902072065827,0.024619536194349464,0.029539994874505655,155.0
14.0,0.002017950017646548,2.8183271151933806e-05,0.0370023249090712,0.028987634744446177,80.0
22.0,0.0023094042360702516,6.560686376861728e-06,0.022388013333703237,0.02940750484519422,100.0
17.0,0.0021253576425144345,5.092486074772261e-05,0.023532986058367223,0.029011852706101047,55.0
12.0,0.0023741132346844973,7.27629635083435e-05,0.01565918937149411,0.029179604536062744,90.0
21.0,0.002104455142597338,1.359392941874548e-08,0.010728862823301138,0.029337089359793848,195.0
23.0,0.0021940982977150325,0.00019134738423337602,0.024638110846933285,0.029274025755610174,190.0
19.0,0.0022670773587320026,0.00023171427892390928,0.024461848454689468,0.02962159034484989,125.0
18.0,0.0023563353315766518,9.319729759655338e-05,0.021407440903083993,0.029455996828600423,140.0
16.0,0.002092122764706224,3.503088153432013e-05,0.02789264412919196,0.02921607563307883,130.0
20.0,0.002280329552459413,9.686867713501961e-05,0.020855504221292023,0.02925097704739499,150.0
14.0,0.002142988442370317,0.00014211942630076846,0.025846931861849474,0.029115067352201686,75.0
17.0,0.0020022649165421444,4.378434290097321e-05,0.033033998171306575,0.029311694136114116,125.0
23.0,0.002292831321053843,1.7640723025377258e-05,0.03966826516607831,0.029001829961719076,80.0
25.0,0.0021358738934494116,9.09762779764637e-06,0.026506668121505945,0.029413078820495722,180.0
19.0,0.0024432626382651216,0.00012294868688439577,0.02266304315802739,0.029357835599763127,160.0
