SLIM + toppop(cold start) + rimozione outliers + log heuristic + secondo step hyperpar optimization
topK': 8530, 'l1_ratio': 0.15043627455495323, 'alpha': 0.009644207182365711
range: TODO
trialid,accuracy,topK,l1_ratio,alpha
1,0.0867564322732928,7471,0.02539043335963321,0.00831811505197633
2,0.07265131315868793,9998,0.2803771665176411,0.09257103468283463
3,0.06682272012473459,8807,0.29415663991934565,0.15261809436332235
4,0.0833563966692117,5681,0.22789263586911257,0.03255447372716924
5,0.08227056112973075,6820,0.07086211886083713,0.08821954398729516
6,0.08832257551163741,8530,0.15043627455495323,0.009644207182365711
7,0.0782184792377358,9721,0.04778089603792872,0.19452542292495392
8,0.06607766442226094,9736,0.2679401367102792,0.17646654679359045
9,0.061904543635601814,5596,0.2836295135673144,0.2406595129952181
10,0.07976476921085389,8219,0.12666829715294517,0.08467209401883621
11,0.08158187465239657,7682,0.004319877645904732,0.0036060131006261115
12,0.08824387922653261,7622,0.13995147910692293,0.01130322189441451
13,0.08240702857401112,8515,0.1366886902971422,0.054895792751742487
14,0.08782826115818335,8895,0.09617150101351174,0.007388952492280512
15,0.080291315231355,6685,0.16463833178643783,0.06405716939573655
16,0.07445927952855642,8135,0.17074894464056412,0.11904877037522946
17,0.08521305833479813,9200,0.1099314819886678,0.040333884300204875
18,0.08615945325909428,7247,0.15235135223985172,0.026017543365024598
19,0.08334222572685733,8079,0.08640028609666517,0.06511231077352826
20,0.08673976588317414,6001,0.19239821471831578,0.018396138487702343
21,0.08800774065705778,9066,0.10452130534225326,0.007993761329406407
22,0.08640448494701189,9336,0.12395938626707809,0.028537474938559293
24,0.08331445070622306,8498,0.14542063633088326,0.0022719467514130103
25,0.08698046040382088,7852,0.0682649916250062,0.03462849498436517
26,0.08348220126509567,7284,0.11988563498806493,0.05104501175766773
27,0.08640477902763556,8494,0.14196802139808623,0.025535067326871802
28,0.07964892401840895,7838,0.17320896363149355,0.06717344067297294
29,0.08038655808380242,6751,0.22017695298562917,0.05021224271474697
30,0.0866401007026427,8691,0.1843423390439144,0.019485359451251655
31,0.08458876650455852,9238,0.10622222196338832,0.003194019991683228
32,0.08794781408305917,9023,0.09582119370439743,0.017727862877044684
33,0.08379259394981076,8296,0.1543540802595002,0.04007357794958416
34,0.08309576113122193,9484,0.1272743710202503,0.002286288728959509
35,0.08803828667661473,7472,0.11561294475133586,0.014251058400497688
36,0.08498823680567762,7441,0.14159318287872033,0.03547419464802846
37,0.0876401829153654,7066,0.07926099276756587,0.023122113409122416
38,0.08673049927742149,6317,0.05006783497762504,0.04632427059577313
39,0.0811088184465632,7615,0.11575759035094046,0.07494059641460962
40,0.08720318517778228,7978,0.1568245253940189,0.0184297263118139
41,0.08803250607927396,8709,0.10269660706400403,0.014791520177034945
42,0.08766190733829997,8694,0.13781445705880768,0.01633047827114979
43,0.08557985456536493,7062,0.12943379129570803,0.03348086109413767
44,0.0880301421458576,8276,0.11517748282395641,0.014159833962317639
45,0.08556395778164967,7557,0.09487709800684663,0.04175959706603915
46,0.0817749453836625,8411,0.1631650605995113,0.0531947226293267
47,0.08817657268834697,8778,0.07104169539284835,0.009814640889277419
48,0.07693777641559744,8883,0.06390154263921484,0.0011441358155333935
49,0.08721805944664172,7848,0.08305952871058454,0.027671019650614206
