Further step of optimization.
V12 of XGBOptuna di Fede
best-> 0.06596726634148026 and parameters: {'n_estimators': 895, 'learning_rate': 0.019777126001855726, 'reg_alpha': 24.480905106240083, 'reg_lambda': 0.11097482669122213, 'max_depth': 3, 'max_leaves': 4}
n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,result
1166.0,0.00213382844000872,12.151999300164965,22.80795643421132,1.0,5.0,0.06469474363819598
1053.0,0.0029080066766708395,2.571924520433247,0.36947675855783485,2.0,5.0,0.06409133565700828
1190.0,0.009832105323169254,2.2517610285911984,2.691119271578529,4.0,2.0,0.06473038662849334
972.0,0.04321859805219207,50.44601278086222,0.1783729094738446,3.0,3.0,0.06527543452823291
1151.0,0.006764181278120181,2.8735974462632647,14.059812272686157,5.0,3.0,0.06331756568290188
1162.0,0.03695926175835808,9.782133847409643,7.011994493131461,3.0,2.0,0.06456023652199074
1181.0,0.0032701378882071274,5.51345417112325,0.8031442932453944,2.0,4.0,0.06500587376826088
888.0,0.02689524374426421,38.38190379052682,0.2858929062127773,2.0,5.0,0.06544507287250464
1023.0,0.0347200940659668,6.264952711989833,0.245055285398133,1.0,4.0,0.06451236795531197
1099.0,0.006683966758041405,2.364359691650034,26.294447778289268,4.0,5.0,0.06441442714693721
846.0,0.01569906643667633,94.49210585532488,1.0247066182512283,2.0,1.0,0.024075395537423994
915.0,0.04774344806340603,49.33772758574308,0.10035539831821506,3.0,3.0,0.06540397271849886
895.0,0.019777126001855726,24.480905106240083,0.11097482669122213,3.0,4.0,0.06596726634148026
802.0,0.018079966920940094,23.630462733071028,0.10204161426739808,4.0,4.0,0.06566405209523296
811.0,0.01615267467238471,23.41959551632987,0.11395527563944793,4.0,4.0,0.06566500865504431
950.0,0.01168595231470301,21.358900392316336,0.8812948831046339,5.0,4.0,0.06556002256952045
806.0,0.0010645973176419098,1.1763659342132131,2.187645880718302,4.0,4.0,0.06398524259367329
869.0,0.021359702127535823,19.910130979238033,0.4222919428070911,5.0,2.0,0.06507750005178375
927.0,0.011533951093346949,85.47665619725775,0.16722737918496036,4.0,4.0,0.06534954164923765
843.0,0.004326853638999151,14.10097079218062,4.608451893833873,3.0,3.0,0.06566953692221199
849.0,0.004506356617025392,10.6156533690463,4.585077576417135,3.0,3.0,0.06561477225476514
839.0,0.004970456100302377,30.184380109631743,9.432436695490521,3.0,3.0,0.06549467502070276
894.0,0.023904276398701702,13.867643704609236,1.8644287528001058,3.0,4.0,0.06554871885383892
824.0,0.008650924094056534,16.33970809012228,0.5819620829722083,4.0,3.0,0.06570046709109768
981.0,0.008384997954480887,6.452218699631237,46.94495780167053,3.0,2.0,0.06511143988850404
874.0,0.0016596232434137163,15.711568385990908,3.4530276257027275,2.0,3.0,0.06394069433134113
931.0,0.004704626716456205,8.973774797033194,1.4325763486053513,4.0,1.0,0.024075395537423994
832.0,0.012882490024716269,4.095369670460708,0.5663750073245185,3.0,2.0,0.06482017557922608
907.0,0.003354771241652845,34.69234678231017,4.805630235401794,5.0,3.0,0.06543468961035483
864.0,0.0022123126884469545,15.589340981887487,1.280431871062673,1.0,5.0,0.06462852402587667
954.0,0.005794969400962107,7.775417799994955,0.5443163287661564,4.0,3.0,0.0658714364012433
1009.0,0.007388238965130677,8.685254316617515,0.6823153159912835,4.0,3.0,0.06519605726444706
953.0,0.005000238979634503,11.86956750468023,0.3789447972278724,3.0,3.0,0.06558992595262554
830.0,0.002632459359554345,16.847106528981673,0.18248010971614476,4.0,2.0,0.06462852402587667
1044.0,0.009235426321881963,4.273544167601532,0.5588651885254863,4.0,3.0,0.06495411239500469
981.0,0.006194443821029552,27.786062392771008,2.67879364571305,3.0,3.0,0.06573223424361008
987.0,0.006511796360286175,61.78327487588123,2.891598706319375,5.0,2.0,0.0656814129249105
1094.0,0.00586411624466939,28.669475369318523,1.7765904430852877,2.0,3.0,0.06570776557574236
1105.0,0.0059775964287705425,29.88371283595095,1.6542465206261134,2.0,4.0,0.06551189121004744
1104.0,0.0037092787485225433,45.15503816557863,9.330452878524106,1.0,2.0,0.06522395053265526
1064.0,0.005977325670170113,60.73911500786157,1.125857450322504,2.0,3.0,0.06559412739256976
962.0,0.008639663054812863,27.982748175138664,0.29239123417234336,2.0,3.0,0.06578982928911215
964.0,0.03340240094891549,30.16186915366176,0.25793139499269696,2.0,3.0,0.06573238651576094
954.0,0.029464673181194757,39.03341464063553,0.24614159740545466,2.0,3.0,0.06559472327034722
967.0,0.035392165001965285,7.358636000633378,0.1413417152730327,2.0,4.0,0.06428152019615421
1004.0,0.01936258065012435,58.294471415211646,0.2967766261081973,1.0,5.0,0.06495818243855186
1019.0,0.043427627469759846,22.335442837987483,0.23386199128374643,2.0,2.0,0.06502066272495337
927.0,0.03134583430754745,76.51646826632786,0.13759013957171587,3.0,3.0,0.06516245688635375
993.0,0.015291362431454217,26.83068909155714,0.42548867444163985,3.0,4.0,0.06569701118540425
1036.0,0.010528564706249499,41.31884740382883,0.179899145110394,2.0,4.0,0.06539459697220303
967.0,0.013250895898549248,35.76755026294344,0.3310322163689427,3.0,3.0,0.06560504662024286
940.0,0.007340324343205001,19.28622288995356,0.21285277504450217,2.0,3.0,0.06565664535796865
1066.0,0.005742082971429503,25.11642037747697,0.8924764209999408,2.0,3.0,0.06574546185616711
1131.0,0.026738814997896546,25.62352823379482,0.8472274740392155,1.0,3.0,0.06515601798280121
1064.0,0.003641977209457977,33.43191501617299,0.12842058026511488,2.0,3.0,0.06536304476876711
902.0,0.008018900184130939,19.253879609763988,0.42336263348029346,2.0,4.0,0.06552592592460146
974.0,0.010107049499226712,50.503974059186405,0.6887358513288521,3.0,3.0,0.06591734999746246
968.0,0.010430048932967345,46.98529030314417,0.6746659222708642,1.0,3.0,0.06510745905941873
914.0,0.022348409307713278,52.46055690343219,0.4993330219866904,3.0,2.0,0.06506630727061874
942.0,0.016758000007763,79.4305756702863,0.3235545847215321,2.0,3.0,0.06553298942871688
1022.0,0.005230027661025912,4.905009547255775,0.9211215652570255,3.0,4.0,0.06479846868582638
999.0,0.003983925226549871,24.582230029485114,0.7107634064358906,3.0,3.0,0.06567316147287174
976.0,0.013828494290162656,3.1431030265910547,0.2689126776058027,3.0,3.0,0.061839600731229426
882.0,0.04012669489050831,12.258906379586444,1.1163192635198902,3.0,3.0,0.06535289062670514
957.0,0.009385082117491447,30.420889413575313,2.579384451406039,3.0,3.0,0.06581423402188025
957.0,0.008932906174727131,32.32233190408596,0.4714448717323354,2.0,3.0,0.06565920756288057
939.0,0.01169922453715945,1.064243778253758,0.19527684397934705,4.0,3.0,0.06300357218082699
921.0,0.010058668006515885,38.95704843534642,0.15477984800601824,3.0,2.0,0.06558976431039032
895.0,0.007560048858185343,66.71066866437889,0.36127789341484573,4.0,3.0,0.06588238633829213
860.0,0.007350828401911137,69.6923932631169,2.2069193115850103,4.0,3.0,0.06561144544433499
893.0,0.005241883749373508,55.19711966593894,0.3628452146657626,4.0,4.0,0.0650598295954442
958.0,0.008509957161807835,45.952365960603565,0.6287692936525319,5.0,3.0,0.06553089764840145
1193.0,0.011380495057313082,98.29131695148457,0.49846929952508884,4.0,3.0,0.06550797199837302
911.0,0.0067535981211121945,68.58618798323964,0.10519519749551635,3.0,3.0,0.06543974902556411
988.0,0.008104010522318806,18.02866463579867,0.3664628053845983,4.0,3.0,0.06560617405993477
933.0,0.005546543614732505,23.09329860827354,0.792674582372104,2.0,3.0,0.06581336823269307
934.0,0.00422052744550828,20.894750283210335,1.4969962806152042,4.0,3.0,0.06553072804324958
881.0,0.0028973734401135055,10.20757167571659,1.003197106554948,3.0,4.0,0.06489938736003531
897.0,0.005603955039265548,13.21141836558487,0.7583388543734114,5.0,2.0,0.06521752589944341
946.0,0.009479487400094121,7.817980751417685,1.2125015098859675,2.0,5.0,0.06557842172375761
924.0,0.004650941948435673,41.22080741096542,2.6127475205380253,3.0,3.0,0.06546558309353864
962.0,0.006741668479941481,30.735752550499946,0.2760696221846517,2.0,3.0,0.06572623260514984
981.0,0.007703231416394661,22.214444141885874,3.5767963791651667,2.0,3.0,0.06547959297571304
1012.0,0.02039689984222794,35.47195891543708,0.5623178148099298,2.0,3.0,0.065456988027588
949.0,0.024502046544489172,1.8091057427321113,0.8234418067287105,2.0,3.0,0.06126793250416222
975.0,0.014708958536074044,25.94383973227665,1.9635072163486367,1.0,3.0,0.06505485108412727
917.0,0.017953978760171904,14.920294062977517,0.4248360594480337,2.0,3.0,0.06543162853949484
1035.0,0.04689543043378238,87.59782431276327,1.3754505719204488,3.0,3.0,0.06499657945561484
1165.0,0.005571145241728916,28.549659273568135,0.21973803935392525,2.0,3.0,0.06582388878479144
1155.0,0.005395430854307886,23.925225892207965,0.22483759365787506,2.0,3.0,0.06580882745000612
1155.0,0.006404324970424645,18.102430954214142,0.21109485595086672,4.0,2.0,0.06557144213652959
1176.0,0.005509863025407222,22.772209269287956,0.3050847788991662,2.0,3.0,0.06578944177155317
1177.0,0.005346875529304429,29.073301739215882,0.3125021692001911,2.0,3.0,0.06580566784426428
1127.0,0.004726825863212905,49.948210589218284,0.11950813830861019,2.0,3.0,0.06576640629618805
1185.0,0.006939155908289671,28.61301050634044,0.15967577461687807,2.0,3.0,0.0656603106833955
1172.0,0.004103739107476148,42.5943960210344,0.2306707595833917,3.0,3.0,0.06546270363014675
1142.0,0.006159231626900942,34.807529093359484,0.381665562845745,2.0,3.0,0.06564989566890977
1163.0,0.005006427266173462,11.2439846360147,0.19500020556614656,1.0,3.0,0.06562802534534361
1117.0,0.0033896026999753605,6.412869978605365,0.3259917749704964,2.0,4.0,0.06480582703306065
1197.0,0.012112523770171761,63.88244990339853,0.4791135131566054,3.0,3.0,0.06554369918699172
