collaborative item-item + log/outliers + hyper_param 3 optmization
range: topK: [1, 120], shrink: [50, 280], asymmetric_alpha: [0.18, 0.35, log=False]
best -> similarity: asymmetric, accuracy: 0.08269473320523577 topk: 34, shrink: 128, asymmetric_alpha: 0.2960590514567226
topK,shrink,asymmetric_alpha,result
105.0,131.0,0.2496979097702407,0.08098451850973695
107.0,114.0,0.2492816943793167,0.0813143695668511
20.0,110.0,0.208175200462215,0.07844482100575265
119.0,57.0,0.3393319328622651,0.0790503848537498
73.0,179.0,0.33194604320969556,0.07885823623311515
94.0,276.0,0.19999326553977173,0.08017316259856644
6.0,91.0,0.2913171269061664,0.07598074418562636
74.0,252.0,0.29613859393329656,0.07923999290646569
63.0,120.0,0.21186754887914888,0.0809833691887462
3.0,138.0,0.23298446422381427,0.06816694312456469
32.0,186.0,0.18180512138270993,0.07954369971060912
118.0,158.0,0.25263029234155177,0.08088215469190535
91.0,216.0,0.2537655233672448,0.08025953695463599
97.0,79.0,0.27163676511843343,0.08179643356369562
46.0,50.0,0.2869707224390968,0.08195153979075989
42.0,57.0,0.28236242260431077,0.08177122001187122
48.0,71.0,0.2756051145928536,0.08177248599904394
57.0,87.0,0.3074714313068749,0.08164259853040906
82.0,85.0,0.3130379002155519,0.08038773430234807
27.0,51.0,0.28136655837003177,0.07987748330790866
60.0,157.0,0.26809696754497814,0.0813049462266385
39.0,76.0,0.27291099298659316,0.08182472731446978
41.0,100.0,0.26543178873304213,0.08234701538521791
44.0,101.0,0.29680957903990374,0.08229711764951779
17.0,103.0,0.31761519305406577,0.08183485603582241
49.0,141.0,0.2950239037039612,0.08168878057779463
34.0,103.0,0.32213335766059525,0.0823090989122806
33.0,105.0,0.32403793094975264,0.08213157300732739
10.0,128.0,0.3463111921391641,0.08044165770746867
25.0,202.0,0.32910589588529354,0.08117253739979198
36.0,149.0,0.3019930942623405,0.08253296723495678
37.0,142.0,0.30171133903150194,0.08255063600703084
36.0,149.0,0.3194662796279813,0.08148754979529348
53.0,128.0,0.3061217039536596,0.08125431251798361
14.0,116.0,0.3076171668792873,0.08117723441823044
27.0,165.0,0.3356655454022223,0.08170038675364759
23.0,177.0,0.32583969976651467,0.08156503233183882
66.0,139.0,0.3398421120345838,0.07975539009412146
34.0,115.0,0.26103574382261285,0.08210317626887037
54.0,194.0,0.306106795151778,0.08024091113941423
40.0,212.0,0.30115298985666356,0.08117267481578352
44.0,101.0,0.294511874329901,0.08233729380414834
29.0,98.0,0.28989580045812935,0.08257022760366534
21.0,69.0,0.28728444997738417,0.08083518923040568
29.0,92.0,0.2919151154885129,0.08249364327742022
9.0,124.0,0.28281809425816407,0.07908111527892138
15.0,236.0,0.26063208081079675,0.08129726525919201
29.0,171.0,0.2896610264807977,0.08211414672657416
38.0,92.0,0.27731996303436357,0.08230235974857944
71.0,149.0,0.299986350599659,0.08050057986614859
1.0,64.0,0.24016521131943128,0.045437144367271545
49.0,95.0,0.2907889882797004,0.08213162075366863
43.0,113.0,0.2954857749843624,0.08239056039127811
30.0,133.0,0.31350968735441515,0.08219393911330954
41.0,112.0,0.2793225664129404,0.08227281322226422
20.0,120.0,0.28591343797280516,0.08215136735151621
51.0,81.0,0.2690322733509602,0.08212329486245658
56.0,152.0,0.30015625810501634,0.08108962347706056
30.0,93.0,0.2757173883886946,0.08189778479331873
38.0,142.0,0.29139407386079397,0.08238886633650806
46.0,165.0,0.2860049688640996,0.08191663108630924
38.0,143.0,0.29334999686881014,0.08234234859829564
33.0,110.0,0.300710358197676,0.0823398011725854
25.0,134.0,0.31349489428373256,0.08251562304819249
26.0,131.0,0.3162274909627704,0.08224858839410955
23.0,135.0,0.313004577763241,0.08257854412624996
20.0,275.0,0.3116124045540821,0.08098944070189451
13.0,156.0,0.309461837470233,0.08125333161510798
23.0,135.0,0.31895585950052785,0.08238462429302706
9.0,123.0,0.3035908725514695,0.07896636723794281
17.0,108.0,0.29683332391319955,0.08151124702703481
31.0,141.0,0.3121698747368928,0.08225719421950867
25.0,146.0,0.3049355878234165,0.0826383708354741
25.0,126.0,0.3053312071227781,0.08229014395725602
36.0,149.0,0.3095858467094783,0.0819428343861302
28.0,161.0,0.32246118247952155,0.08196496141635663
23.0,117.0,0.2971708247357643,0.08249391399137977
23.0,86.0,0.3022506130738103,0.0820799844324996
6.0,178.0,0.31430409584078445,0.07837359674913259
17.0,135.0,0.3287767711765127,0.08163919387339141
19.0,169.0,0.3071742696696536,0.08211701211666411
34.0,128.0,0.2960590514567226,0.08269473320523577
35.0,119.0,0.29997927489779264,0.08254458051419496
35.0,145.0,0.29653110206886163,0.08255216852462749
35.0,154.0,0.3043442459806284,0.08238172599093346
31.0,144.0,0.31772003484485617,0.08233710573366497
113.0,130.0,0.29824607874456693,0.07947386223261382
45.0,147.0,0.28251739974523465,0.08194813705684302
33.0,122.0,0.3098321937727849,0.08244775628374161
26.0,159.0,0.30258572125331995,0.08258381645882881
40.0,185.0,0.3044813504953282,0.08113888533040188
27.0,160.0,0.2989471131436814,0.08239853372441434
82.0,135.0,0.29357714050987843,0.08043361390719922
36.0,138.0,0.2889567689451062,0.08263655781419675
36.0,173.0,0.2896586635693841,0.08172130208781088
42.0,153.0,0.28714880754181904,0.08221676335296756
36.0,146.0,0.30206337202532113,0.08254337457389692
32.0,139.0,0.29732355624894313,0.08244646401403104
28.0,162.0,0.29333404619248094,0.0824972083359585
47.0,127.0,0.30178102955245617,0.08193796945292284
12.0,146.0,0.30800494419354807,0.08071152438208071
36.0,150.0,0.30295050569978216,0.08236732448507561
38.0,156.0,0.28960584284579577,0.08211334302813617
34.0,138.0,0.28432815719916693,0.08254227435473196
34.0,139.0,0.2841379886266308,0.08251955049923035
30.0,121.0,0.2814812038723846,0.08238468354648237
42.0,130.0,0.29559238337855254,0.08214700295621032
22.0,106.0,0.28893105340242925,0.08219132827158032
26.0,145.0,0.27916859404934435,0.08251955035774089
32.0,138.0,0.2857508178150423,0.08250912908028143
39.0,115.0,0.29187675361179827,0.08239050657511904
18.0,158.0,0.29962483688110325,0.08193048156406588
36.0,167.0,0.3077662907684566,0.08143118012511734
50.0,144.0,0.2948398512930939,0.08159499683031353
28.0,151.0,0.30251848818215715,0.08258539430949788
25.0,98.0,0.30513284142489117,0.08214780910268683
15.0,126.0,0.3152792555294173,0.08184305859321046
29.0,137.0,0.31097331605848144,0.08221898392230183
33.0,131.0,0.3013140977236912,0.08253829801890882
21.0,163.0,0.2974736266504178,0.08220598319749389
28.0,153.0,0.2915526812376916,0.08216740787316991
33.0,132.0,0.30154957540653865,0.08252014295703546
31.0,118.0,0.3052299910795652,0.08232847627894614
39.0,141.0,0.29956531606535497,0.08228052205671842
44.0,148.0,0.294548261689495,0.08182248593863806
34.0,131.0,0.31161077949186494,0.08268347495063412
26.0,125.0,0.32063353639642383,0.0824888921312982
24.0,135.0,0.311180768812418,0.08240032122522631
35.0,151.0,0.3158048474226225,0.08175405641931108
41.0,142.0,0.307437310412532,0.08174092108215705
29.0,157.0,0.28673423234680573,0.08242813528363087
33.0,132.0,0.3026604121208714,0.08235998105814983
37.0,127.0,0.2989683023557754,0.08234469114762501
32.0,146.0,0.3098682665975044,0.08233727492675323
34.0,120.0,0.30415299132559154,0.08232703077941077
30.0,138.0,0.2962429962446823,0.08217905199613512
21.0,111.0,0.31397766744714206,0.08249621938870556
27.0,130.0,0.29309613242285104,0.08252849615719621
40.0,152.0,0.28922568517533276,0.0821950821818574
37.0,144.0,0.3004613462549357,0.08253458274896391
24.0,135.0,0.3069863368517077,0.08224675066148612
37.0,143.0,0.3011021230724324,0.08256385920088014
35.0,140.0,0.3035311825211295,0.08249941665792561
43.0,149.0,0.2972225619310548,0.08192497008718742
103.0,123.0,0.3179223538308439,0.07896111797541992
29.0,130.0,0.3111025247748054,0.08232420342587772
31.0,160.0,0.2938559054715402,0.08224334380194344
62.0,143.0,0.28319495109060633,0.08142165636025181
38.0,155.0,0.2999697184192553,0.0820004984464751
46.0,137.0,0.3073541995712027,0.08140642249667411
