collaborative item-item + log/outliers + hyper_param 4 optmization
range: topK: [5, 60], shrink: [50, 250], asymmetric_alpha: [0.25, 0.35, log=False] 
best -> similarity: asymmetric, accuracy: 0.08269473320523577 topk: 28, shrink: 152, asymmetric_alpha: 0.27865510251072656
trialid,accuracy,similarity,topk,shrink,asymmetric_alpha,normalize,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode
0,0.08126824406351237,,41,143,0.33706668448317684,,,,,
1,0.08315157300042324,,26,78,0.3085077002922816,,,,,
2,0.08118497762920196,,35,200,0.32757657737589485,,,,,
3,0.08285573803137626,,51,74,0.29644871497778424,,,,,
4,0.08199162773620718,,19,192,0.3408205092530868,,,,,
5,0.08228182430423842,,29,219,0.3002801426261234,,,,,
6,0.08182034329576157,,60,245,0.25237255097126454,,,,,
7,0.08162463630967204,,11,69,0.3142846359447132,,,,,
8,0.08302886177722824,,41,68,0.3175201548541695,,,,,
9,0.08318108568077501,,28,63,0.3147724322289196,,,,,
10,0.07830790434577581,,5,121,0.3492114819495339,,,,,
11,0.0832081578449974,,23,100,0.2967912462849632,,,,,
12,0.08308326483449195,,18,115,0.28806178596208615,,,,,
13,0.08304523384979894,,22,104,0.2842387117596434,,,,,
14,0.08299893854115142,,33,52,0.3245021595628782,,,,,
15,0.08200972013456871,,13,154,0.27558494794360094,,,,,
16,0.08310552717294765,,40,96,0.3042366172636125,,,,,
17,0.0829768679378002,,26,136,0.3166510662340263,,,,,
18,0.08150145412109709,,46,164,0.30506857463182807,,,,,
19,0.08255184015719527,,13,90,0.32694379544873814,,,,,
20,0.08308835367494882,,32,121,0.2968020115183762,,,,,
21,0.08318161774425727,,26,50,0.30940173526040166,,,,,
22,0.08301383131370081,,23,57,0.3113642176486921,,,,,
23,0.0829553667594585,,28,52,0.3178326853167226,,,,,
24,0.08276914942872865,,18,83,0.29276189249368717,,,,,
25,0.08294894476286353,,36,108,0.3076357317133247,,,,,
26,0.08334846981392977,,22,92,0.30278973515056745,,,,,
27,0.08109850022232656,,9,94,0.3020767870988979,,,,,
28,0.08304686493786062,,22,127,0.28132665701581105,,,,,
29,0.08320900496476873,,16,169,0.28974299860183783,,,,,
30,0.08321120147721728,,16,175,0.29216748271367976,,,,,
31,0.08314327677351828,,16,179,0.2910464376559226,,,,,
32,0.07739933861540774,,5,167,0.29619054959710367,,,,,
33,0.08291371841254137,,16,147,0.27788588134726033,,,,,
34,0.08298021790640973,,21,202,0.28770640136467646,,,,,
35,0.08061997614194225,,9,183,0.29904079285034424,,,,,
36,0.08320293746492685,,24,133,0.2940327940811152,,,,,
