collaborative item-item + hyper_param 1 optmization
best={'similarity': 'tversky', 'topK': 23, 'shrink': 37, 'tversky_alpha': 1.592038852030678, 'tversky_beta': 1.8276602073692012}
similarity =  ['cosine', 'dice', 'jaccard', 'asymmetric', 'tversky', 'euclidean'],topK= [1, 10000], shrink=[ 0, 1000], asymmetric_alpha,tversky_alpha,tversky_beta=[0,2,false],normalize= true
similarity,topK,shrink,result,asymmetric_alpha,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode,normalize
jaccard,7533,228,0.0608345337356771,,,,,,
asymmetric,7825,603,0.04376759157085468,0.341121231144512,,,,,
dice,6692,92,0.06578641057394498,,,,,,
cosine,3281,254,0.05362474092362516,,,,,,
tversky,1913,1000,0.059166993340439455,,1.4210024195369977,0.9607034305994697,,,
tversky,444,555,0.06255400402010297,,0.8732509618597899,1.263134297508308,,,
euclidean,1082,154,0.020401449875789065,,,,False,exp,False
tversky,3580,815,0.056208282292203586,,1.2983021274177213,1.2477105536425677,,,
asymmetric,4073,530,0.05536824557509911,1.1775207233981382,,,,,
cosine,7438,757,0.045187805364255665,,,,,,
dice,5841,30,0.06898777946509971,,,,,,
dice,5710,0,0.06583103833394188,,,,,,
dice,9934,34,0.06948874599216753,,,,,,
dice,9823,356,0.05806426023846584,,,,,,
dice,9447,377,0.057690982913745095,,,,,,
dice,5572,53,0.06807092025776956,,,,,,
euclidean,9136,362,0.02769519574368534,,,,True,log,True
jaccard,4616,185,0.06230438049495521,,,,,,
dice,2363,10,0.07614659532947511,,,,,,
dice,2583,265,0.06418486652964538,,,,,,
dice,21,129,0.07769389555954945,,,,,,
dice,1801,93,0.07302613654279203,,,,,,
dice,171,149,0.0732382116204839,,,,,,
dice,146,141,0.07423534858494488,,,,,,
dice,1119,300,0.0657888228232774,,,,,,
cosine,18,150,0.07301358009649782,,,,,,
euclidean,2455,422,0.027751211875914172,,,,False,lin,False
jaccard,980,104,0.07301011756732842,,,,,,
asymmetric,1711,195,0.04959701516210374,1.9777161868068507,,,,,
jaccard,2737,227,0.0653161280111847,,,,,,
dice,703,299,0.06643689037126731,,,,,,
dice,15,155,0.07656843459213103,,,,,,
dice,1487,99,0.07252976052303235,,,,,,
dice,142,9,0.0792569654213842,,,,,,
dice,669,71,0.07475449218700554,,,,,,
asymmetric,2349,456,0.04573440846026238,0.07926688378387325,,,,,
dice,1408,691,0.0593580789763464,,,,,,
tversky,3180,15,0.063307713050536,,0.13721245560533313,0.05972933150750892,,,
cosine,541,215,0.06242948858411138,,,,,,
dice,2065,1,0.0749803518497725,,,,,,
euclidean,3619,78,0.0315096908412747,,,,True,log,True
dice,1961,16,0.07743163397263017,,,,,,
dice,1107,124,0.07143540369606588,,,,,,
tversky,44,59,0.08140580040841852,,1.9212370501770781,1.9664661354020516,,,
tversky,34,73,0.08140418482925332,,1.9802725926124207,1.984269077369666,,,
tversky,628,56,0.07904485589699077,,1.9800871444343104,1.981807558484217,,,
tversky,632,64,0.07886980895879761,,1.9925973229438345,1.9991536664339948,,,
tversky,718,982,0.06317128276413658,,1.993606505415046,1.9872175771407192,,,
tversky,1284,63,0.07823721479760756,,1.9999034931673358,1.9860860382902739,,,
tversky,639,589,0.06732848467121287,,1.9984758488715406,1.992216205028615,,,
tversky,6467,252,0.0639827349096575,,1.8083155338566372,1.9900681351359355,,,
tversky,1254,48,0.07900604669909919,,1.9984432545998316,1.990633147921976,,,
tversky,449,53,0.07931901901528847,,1.7718375733509104,1.74313842966931,,,
tversky,388,54,0.07939515433525707,,1.681308683577317,1.7450591742180557,,,
tversky,378,181,0.07462746592722526,,1.6546577814681902,1.665128547225132,,,
tversky,8134,104,0.06842410457297252,,1.6585013543773435,1.6743390325360583,,,
tversky,314,37,0.08030925987524731,,1.7101396287951305,1.69610086602353,,,
tversky,982,0,0.07613214867335903,,1.674698668293189,1.6304521383200448,,,
tversky,308,178,0.07496466779181296,,1.7136755027850021,1.6804029759518218,,,
tversky,1623,37,0.07910853215437855,,1.5026250909608936,1.7233663234520604,,,
tversky,414,121,0.07649831670015272,,1.7216721370770738,1.7604694646739254,,,
tversky,866,42,0.07902139070919968,,1.5154265434216398,1.7431757429884427,,,
tversky,1623,34,0.07946429416155239,,1.7992734718668206,1.7771182470347218,,,
tversky,227,92,0.07842610740788873,,1.8218710879691937,1.8011577765908895,,,
tversky,27,86,0.08046370410625335,,1.7951431906742863,1.5074890823161533,,,
tversky,4785,142,0.06748555314789857,,1.7988590400584252,1.5098361620309264,,,
tversky,975,86,0.0772034674874858,,1.8174998819471124,1.8193585044856753,,,
tversky,421,176,0.07485314742763213,,1.8065869471769416,1.8184474726911093,,,
tversky,1563,894,0.061953756495655425,,1.8541586249636521,1.550823758953701,,,
asymmetric,4305,318,0.05758737444508937,0.9418166998031496,,,,,
jaccard,21,118,0.07857699813583198,,,,,,
cosine,275,30,0.07677841158444035,,,,,,
tversky,23,37,0.08334682857565742,,1.592038852030678,1.8276602073692012,,,
tversky,895,73,0.07767149301257562,,1.6201134191233597,1.852705933513658,,,
tversky,5343,39,0.07129888343779088,,1.8359003336358886,1.8351946993852932,,,
tversky,1304,155,0.07348691348180358,,1.6006156801380753,1.8521211503563708,,,
euclidean,413,100,0.04099126836067165,,,,True,lin,True
tversky,41,207,0.07625144443390647,,1.8394509013614848,1.5322674425209077,,,
tversky,2175,256,0.07033405227127214,,1.7326256184295672,1.8409372823623253,,,
tversky,855,697,0.06256152435705642,,1.3800079540243444,1.5458324619358619,,,
tversky,2982,28,0.0763806471687452,,1.558781100945307,1.6253441676933422,,,
asymmetric,1,4,0.002850815542522884,1.778915372295132,,,,,
jaccard,299,64,0.07695070724643605,,,,,,
cosine,548,86,0.0688513549146211,,,,,,
tversky,1212,122,0.07576104676095811,,1.8701795411125794,1.8666412893038022,,,
tversky,688,43,0.07905911580432504,,1.7140358461109493,1.4655339281812463,,,
euclidean,208,23,0.02223784200014818,,,,False,exp,False
tversky,864,64,0.07706276475299557,,1.2738186944440018,1.3891021992737649,,,
tversky,461,510,0.06827348753816433,,1.875746904898222,1.7385161894754366,,,
tversky,1886,110,0.0762441131592008,,1.8955681083811622,1.893090074042452,,,
tversky,215,140,0.07720539815078943,,1.919677664932436,1.8889321658446065,,,
tversky,3550,26,0.07513345369966369,,1.4881228002364777,1.7304731992179396,,,
tversky,1617,51,0.07830547647482171,,1.6045877491064717,1.718275109109736,,,
tversky,701,3,0.07815325582102597,,1.7484937577195054,1.9170464157770901,,,
tversky,1421,71,0.07783497190423562,,1.9023958985201137,1.6498846083196006,,,
tversky,1095,41,0.07880620094092852,,1.4774710002630433,1.9130033757122784,,,
tversky,522,166,0.07429332617746483,,1.7435102217629077,1.7612651019240766,,,
asymmetric,207,81,0.07458700259796966,0.595240146247945,,,,,
jaccard,1790,26,0.07856919304487725,,,,,,
tversky,2647,103,0.07401350897197688,,1.634285644697714,1.609790654476964,,,
cosine,756,132,0.0646432863930963,,,,,,
tversky,1089,50,0.07835444571172206,,1.718275424129181,1.4395199306895718,,,
