collaborative item-item + hyper_param 2 optmization
range -> similarity = "tversky", topK = [1, 1000], shrink = [0, 100],tversky_alpha = [1.6, 3] tversky_beta = [1.5,3]
best -> 'topK': 36, 'shrink': 29, 'tversky_alpha': 1.741341923073262, 'tversky_beta': 2.9148336121214324, 'result'= 0.08971920329907228
topK,shrink,tversky_alpha,tversky_beta,result
352,40,1.756875922,2.126099936,0.082880991
92,8,2.429675457,1.985696322,0.08259172
37,51,2.051752021,1.606769308,0.08298343
989,28,2.004251444,2.442419515,0.082080964
37,84,2.735693406,2.846500205,0.084855531
762,59,1.825327512,2.878493587,0.080959476
903,30,2.080409779,1.737584426,0.080891265
935,60,1.611017844,2.373796311,0.080401986
516,97,2.788035396,1.964985521,0.079332789
964,28,2.763528316,2.858395258,0.081947906
353,92,2.979262212,2.599588585,0.080866393
94,78,2.365171861,1.549501839,0.080582543
18,74,2.206254702,2.595878396,0.086388118
237,76,2.519451037,2.66538004,0.082361511
217,76,2.242543949,2.987032864,0.0833709
565,85,2.587490656,2.629533352,0.080775008
195,70,2.229217746,2.763502321,0.08392738
20,98,2.581407692,2.490136619,0.084302314
382,86,2.297749965,2.336219054,0.080805012
675,64,2.991751381,2.77001897,0.080924937
167,47,2.165408367,2.980211641,0.084728113
146,49,2.165320853,2.976207491,0.085019509
11,52,2.376183501,2.752791711,0.085523796
136,40,2.381183217,2.593468295,0.084123384
263,54,2.152842205,2.712975403,0.08336874
5,18,1.974374289,2.527584439,0.08274237
291,43,2.267504165,2.746081041,0.083395814
108,68,2.422984661,2.992981745,0.084607971
427,56,2.152496666,2.52803787,0.082228678
154,37,1.905387026,2.834553482,0.084879167
298,68,2.32874921,2.281678512,0.081879584
96,35,1.80454362,2.8736359,0.086357169
77,18,1.89886865,2.92233946,0.086893374
81,4,1.797629387,2.716359082,0.085627636
73,5,1.744530772,2.678615886,0.08583127
73,12,1.694543685,2.878937029,0.08663616
77,13,1.718780732,2.896290936,0.086877274
204,14,1.659399458,2.90329213,0.085149649
74,20,1.932981014,2.803754572,0.086913842
790,19,1.895098702,2.911941013,0.082572357
416,14,1.70744197,2.813563236,0.083281389
