trialid,accuracy,similarity,topk,shrink,asymmetric_alpha,normalize,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode
0,0.06960293290866308,dice,211,162,,,,,,
1,0.0654230528743905,asymmetric,690,866,0.39544737243866956,,,,,
2,0.02411445728791855,asymmetric,272,874,1.6562512933784146,,,,,
3,0.07418553863799432,tversky,717,21,,,1.258444554054224,1.2058944716799622,,
4,0.059495679940198685,jaccard,590,708,,,,,,
5,0.06456431589574721,jaccard,711,316,,,,,,
6,0.06123273697715747,dice,218,844,,,,,,
7,0.061003012708541256,dice,263,855,,,,,,
8,0.008249891898950843,asymmetric,81,79,1.8133193194367148,,,,,
9,0.04322032858599375,euclidean,68,19,,True,,,True,log
10,0.06390527204251907,tversky,953,472,,,1.3129865347370606,1.2519059926550806,,
11,0.07384376443935643,cosine,443,215,,,,,,
12,0.07334916058009888,cosine,470,250,,,,,,
13,0.07116085875466521,cosine,909,417,,,,,,
14,0.06443513898977318,tversky,452,195,,,0.5362731224180612,0.39949261557713744,,
15,0.06490103298910099,tversky,785,601,,,1.961916881807497,1.913863198011935,,
16,0.07226246291349492,cosine,550,355,,,,,,
17,0.0121049984693889,euclidean,402,6,,False,,,False,exp
18,0.05281617257072328,tversky,648,128,,,0.007031405098138377,0.9766194417778885,,
19,0.07270255940710878,cosine,828,230,,,,,,
20,0.06500081823937234,tversky,369,315,,,1.1943172529515178,0.24558407596509668,,
21,0.07335048715883005,cosine,508,242,,,,,,
22,0.07420936330010168,cosine,566,89,,,,,,
23,0.07426405109632539,cosine,611,80,,,,,,
24,0.07393761168100509,cosine,784,89,,,,,,
25,0.07434124258730537,cosine,618,67,,,,,,
26,0.07059934675916311,cosine,598,607,,,,,,
27,0.07435069199424037,cosine,550,89,,,,,,
28,0.06882971006855612,cosine,633,993,,,,,,
29,0.07478154345705454,cosine,351,142,,,,,,
30,0.04081845400241965,euclidean,136,177,,True,,,False,lin
31,0.07453522920670515,cosine,356,152,,,,,,
32,0.07487826727622711,cosine,337,142,,,,,,
33,0.07495079270300607,cosine,323,138,,,,,,
34,0.07491871913989533,asymmetric,338,132,0.025981034022771743,,,,,
35,0.07424315946150342,asymmetric,303,298,0.032068120330517376,,,,,
36,0.06314351083588386,asymmetric,203,391,0.727021571124564,,,,,
37,0.0695165317161308,jaccard,329,143,,,,,,
38,0.0761781416055265,asymmetric,226,275,0.054405666404994356,,,,,
39,0.07602616394389575,asymmetric,165,281,0.014452473059181736,,,,,
40,0.07626716682484788,asymmetric,146,280,0.01561514162929234,,,,,
41,0.07621833821755511,asymmetric,153,281,0.017602750106571845,,,,,
42,0.07870419240409028,asymmetric,16,457,0.048985664281623126,,,,,
43,0.07174355488139145,asymmetric,5,472,0.04523414993384441,,,,,
44,0.07392106991447064,asymmetric,157,553,0.006629158811816046,,,,,
45,0.07920157638808405,asymmetric,50,279,0.3178722202254543,,,,,
46,0.07619279037895764,asymmetric,8,362,0.392801025483631,,,,,
47,0.07679527901069264,asymmetric,9,410,0.37819873813780075,,,,,
48,0.06677563593953842,dice,69,436,,,,,,
49,0.07356322164713282,asymmetric,108,531,0.3592778785659343,,,,,
50,0.07796753023645321,asymmetric,45,351,0.3687284843128439,,,,,
51,0.0787817181245935,asymmetric,32,363,0.3361814139754138,,,,,
52,0.0785426989738318,asymmetric,40,384,0.32705956956903015,,,,,
53,0.07845646938714292,asymmetric,38,368,0.3606547420153691,,,,,
54,0.07869883430001778,asymmetric,50,345,0.3160407738597056,,,,,
55,0.07228712155437676,asymmetric,105,484,0.5776086874575602,,,,,
56,0.06796836356001922,jaccard,44,344,,,,,,
57,0.06625005024135916,dice,101,447,,,,,,
58,0.08006263924050787,asymmetric,45,380,0.2718202586814734,,,,,
59,0.06773291842831045,asymmetric,259,682,0.25755492392238,,,,,
60,0.07276240490370463,asymmetric,189,543,0.21224946476679019,,,,,
61,0.08041098905585624,asymmetric,49,389,0.23745272509097992,,,,,
62,0.07929588076361228,asymmetric,85,392,0.2278366559119913,,,,,
63,0.07939578832272969,asymmetric,72,431,0.18244637679034464,,,,,
64,0.04896352952369727,euclidean,83,508,,False,,,True,lin
65,0.07917303175121307,asymmetric,118,324,0.21531455973259955,,,,,
66,0.07903635310031129,asymmetric,127,325,0.21089501746005218,,,,,
67,0.08017254951585302,asymmetric,119,214,0.18163921216972836,,,,,
68,0.06847089361441212,jaccard,244,213,,,,,,
69,0.0727444372259162,tversky,80,188,,,1.970371867287728,1.9648391496132753,,
70,0.06532769485440108,dice,184,418,,,,,,
71,0.07895309046579625,asymmetric,126,318,0.18784738180707983,,,,,
72,0.08038749413768803,asymmetric,113,227,0.1907862164146875,,,,,
73,0.08057177627503725,asymmetric,73,259,0.18931771829900781,,,,,
74,0.08004528765646926,asymmetric,79,249,0.17298927985391008,,,,,
75,0.048954117463897065,euclidean,87,245,,False,,,True,log
76,0.07930788099384371,asymmetric,175,201,0.16864834908523513,,,,,
77,0.07965387260046576,asymmetric,171,196,0.16711753525157602,,,,,
78,0.07485631396743837,asymmetric,199,250,0.5245626803787876,,,,,
79,0.07898368708328116,asymmetric,290,168,0.17489385661223944,,,,,
80,0.07903845446809246,asymmetric,135,105,0.13596446580932092,,,,,
81,0.07907067616993989,asymmetric,165,211,0.15933591708433026,,,,,
82,0.07970411418356034,asymmetric,69,205,0.14129209913015967,,,,,
83,0.07164148841526498,asymmetric,69,47,0.1365132872758583,,,,,
84,0.06530114078306534,tversky,215,226,,,0.6558286064884742,0.18436269708962794,,
85,0.08000633120630854,asymmetric,63,244,0.11881192089144624,,,,,
86,0.07906944970984779,asymmetric,104,111,0.1122288446667068,,,,,
87,0.07535670661930816,asymmetric,26,249,0.491182371898882,,,,,
88,0.07014308203478396,jaccard,142,178,,,,,,
89,0.07872712375335979,asymmetric,101,259,0.11017181858134326,,,,,
90,0.08017181881765052,asymmetric,57,294,0.26834159324038875,,,,,
91,0.08030677653217981,asymmetric,57,303,0.2567777254534809,,,,,
92,0.0795764837746877,asymmetric,63,301,0.2777957544677977,,,,,
93,0.08006368578711535,asymmetric,58,296,0.2663148037170675,,,,,
94,0.08137150236104639,asymmetric,22,228,0.2786727592280957,,,,,
95,0.08109145876258947,asymmetric,22,269,0.27374088980387185,,,,,
96,0.05264791674032537,euclidean,19,308,,True,,,False,exp
97,0.06559080680803234,dice,5,291,,,,,,
98,0.08137326323181293,asymmetric,31,262,0.26752040107532504,,,,,
99,0.07781492137964446,asymmetric,28,262,0.4408431830227187,,,,,
100,0.0800907908290902,asymmetric,117,168,0.2798579564608906,,,,,
101,0.08110228281236435,asymmetric,53,162,0.2692350358632539,,,,,
102,0.08001300853146637,asymmetric,121,162,0.28082869539734917,,,,,
103,0.07559912925456796,asymmetric,100,225,0.433063539747661,,,,,
104,0.06417938882458495,asymmetric,957,333,0.2921772702728225,,,,,
105,0.06692934180531543,asymmetric,1000,268,0.05555010315270614,,,,,
106,0.08059456224012711,asymmetric,27,114,0.39424490836504245,,,,,
107,0.06118453333952396,tversky,29,31,,,0.05763014531389654,0.0049467971155383594,,
108,0.07157446490366429,asymmetric,498,108,0.3907840679498089,,,,,
109,0.06585927146893693,asymmetric,403,827,0.35012663013498413,,,,,
110,0.07469757334134794,jaccard,38,64,,,,,,
111,0.08071010636959824,asymmetric,91,155,0.259922678105618,,,,,
112,0.08082069141861101,asymmetric,53,127,0.24018003970513707,,,,,
113,0.07923676668851283,asymmetric,89,157,0.3345872881933972,,,,,
114,0.07701013826837101,asymmetric,7,122,0.232672649165734,,,,,
115,0.0797425186862324,asymmetric,31,186,0.08445486775833347,,,,,
116,0.07958852375206131,asymmetric,147,231,0.2176402247435709,,,,,
117,0.08081171294561425,asymmetric,45,145,0.3241348157560614,,,,,
118,0.07839645271536695,asymmetric,54,138,0.4205905975925553,,,,,
119,0.0702318470102803,dice,703,79,,,,,,
120,0.05117573306154556,euclidean,22,97,,True,,,True,lin
121,0.07978540644208827,asymmetric,92,123,0.3249468306108262,,,,,
122,0.08099163953060001,asymmetric,50,148,0.2598433645167599,,,,,
123,0.08091946447721506,asymmetric,53,155,0.25262486618575664,,,,,
124,0.07781228011500856,asymmetric,6,149,0.3389527320599378,,,,,
125,0.07947087134878168,asymmetric,41,65,0.2306328552189488,,,,,
126,0.0774689832069868,asymmetric,81,173,0.3881836889657001,,,,,
127,0.07720125728241058,asymmetric,46,128,0.07095621280788555,,,,,
128,0.07928638733011328,asymmetric,78,195,0.30993510168583027,,,,,
129,0.08032057124634678,asymmetric,29,151,0.22072752862986889,,,,,
130,0.07465827375468218,asymmetric,660,44,0.31322209731000245,,,,,
131,0.08027967161228095,asymmetric,26,149,0.23193360831003718,,,,,
132,0.07777726508201968,asymmetric,761,9,0.21216627747668657,,,,,
133,0.08057013960269245,asymmetric,62,182,0.21138920798734626,,,,,
134,0.07891801290218257,asymmetric,66,178,0.37194171878361126,,,,,
135,0.07988401532506031,asymmetric,104,204,0.16926594261625127,,,,,
136,0.07025118044650623,tversky,55,90,,,1.6037657841934303,0.654691797768858,,
137,0.07041339125075556,asymmetric,5,221,0.10475323270556786,,,,,
138,0.08083057822808794,asymmetric,84,129,0.28677848750756324,,,,,
139,0.08068086330476229,asymmetric,74,125,0.28437576596419356,,,,,
140,0.07164602153105934,jaccard,136,111,,,,,,
141,0.08058200804313632,asymmetric,77,137,0.2999363586962442,,,,,
